 Gender(0=Male;1=Female;2=Other;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Suburb;3=Big_City;) Ethnicity(0=White;1=Black;2=Hispanic;3=Asian;4=Mixed;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Other_Religion;6=Agnostic;7=Atheist;) Religious ACT GPA Party_Hours_per_week Drinks_per_week Num._Sex_Partners Num._Relationships First_Kiss_Age(26=still_waiting;) Fav._Life_Period(0=Kindergarten;1=lower_grades;2=middle_school;3=High_School;4=College;) Hours_call_parents Social_media(10=V10_or_more;) Texts Good_or_Well Parent_Relationship Work_Hours_per_week Percent_Parents_pay_tuition Career(0=No_Idea;1=Some_Idea;2=Nervous;3=Concrete_plan;4=Grad_School;5=Other;) 
 0 0 0 3 2 7 0 26 3.2 4 20 1 1 12 4 2 10 4 8 6 0 0 2 
 0 0 1 2 2 0 5 29 3.3 27 35 6 1 15 3 1 1 3 1 9 5 90 3 
 1 1 0 2 0 0 8 28 4 1 2 0 1 15 3 4 2 6 4 8 0 50 2 
 1 1 1 1 0 0 6 24 3.4 20 10 4 2 14 4 5 3 8 10 10 10 100 4 
 1 1 0 3 2 7 0 26 2.5 4 6 7 1 15 4 4 5 2 10 9 0 10 1 
 1 1 0 1 0 0 5 24 3.4 2 0 0 1 18 1 4 1 5 5 8 15 70 3 
 0 0 0 2 0 0 3 30 3.6 10 22 1 1 18 4 3 4 6 6 9 0 50 2 
 0 0 0 2 0 6 0 23 3.6 0 0 0 1 15 4 30 5 9 0 10 0 50 4 
 0 0 0 1 1 0 5 22 2.6 0 0 50 1 19 4 5 10 3 8 10 0 0 3 
 1 1 0 3 3 0 5 24 3.4 0 0 0 0 26 4 1 2 6 10 9 0 20 1 
 1 1 1 2 0 0 0 32 3.4 6 15 1 2 13 3 1 2 15 2 8 0 50 2 
 1 1 1 2 0 0 8 31 3.7 4 2 0 1 17 3 10 5 10 4 8 5 100 0 
 1 1 0 3 3 0 6 27 4 5 6 5 2 16 3 7 4 10 7 10 0 50 1 
 0 0 0 3 2 0 5 25 2.8 8 13 2 3 15 4 2 4 3 5 9 40 90 2 
 0 0 1 0 0 6 0 23 3.6 20 20 10 1 12 4 5 3 4 0 6 10 0 4 
 0 0 0 2 0 7 0 25 3.5 5 0 3 5 13 3 8 0 10 0 8 10 60 4 
 1 1 0 3 3 0 1 25 3.9 16 24 3 0 18 4 0 4 8 8 9 0 90 0 
 1 1 1 2 0 0 3 28 3.4 5 8 1 1 16 4 5 2 4 5 10 0 60 3 
 0 0 0 2 0 5 7 22 2.5 4 5 50 3 14 3 1 1 3 3 5 0 0 4 
 1 1 0 2 0 1 5 25 4 0 0 1 3 16 0 7 5 5 0 8 0 100 0 
 0 0 1 2 0 0 7 24 4 0 0 0 0 13 4 3 3 8 6 7 0 100 3 
 1 1 0 2 0 6 0 30 3.4 12 12 1 0 17 4 7 3 5 2 10 0 70 2 
 0 0 0 3 3 0 4 30 3.7 1 2 2 1 20 3 3 1 4 5 10 0 100 2 
 1 1 0 2 2 0 8 26 3.5 0 0 3 2 15 3 5 4 4 3 8 0 40 2 
 0 0 0 0 3 7 0 27 4 2 1 1 1 16 4 3 2 2 2 8 0 100 1 
 1 1 0 3 2 0 6 28 3 5 3 0 1 16 1 7 8 3 4 10 10 100 2 
 1 1 0 3 3 7 7 30 3 0 0 0 0 26 3 2 4 4 5 8 0 100 4 
 1 1 1 2 0 0 3 27 3 20 25 8 1 14 4 5 3 5 5 9 0 100 3 
 1 1 0 3 3 6 0 24 4 0 0 3 2 13 4 6 3 5 9 8 10 10 2 
 1 1 1 3 3 6 3 25 3.3 10 10 3 2 15 4 1 7 10 8 6 0 100 2 
 1 1 1 2 0 0 8 31 4 12 15 1 1 13 3 10 2 8 5 10 0 100 3 
 1 1 0 3 2 0 5 24 3.3 0 0 0 0 26 4 3 3 3 9 9 0 0 4 
 1 1 0 3 3 5 6 26 2.9 12 24 7 1 12 4 3 3 4 7 4 15 20 2 
 1 1 0 3 1 2 5 24 2.7 7 10 1 0 18 4 1 10 4 10 6 5 0 0 
 1 1 0 3 2 0 5 25 2.9 0 0 1 1 14 3 7 2 2 5 10 10 10 4 
 0 0 0 0 0 6 2 27 3.7 10 14 3 3 15 4 7 1 8 0 10 25 70 3 
 1 1 0 3 2 0 6 19 2.7 0 1 2 1 13 3 7 4 2 5 8 0 10 4 
 1 1 1 2 0 0 1 27 3.7 10 15 3 1 14 4 7 2 15 2 10 0 50 3 
 1 1 0 3 0 0 2 30 3.5 24 35 1 1 13 4 2 5 5 6 9 5 10 4 
 1 1 1 2 0 0 4 30 3.5 9 5 5 1 12 3 6 2 10 7 9 0 100 4 
 0 0 0 0 3 2 8 26 3.2 10 0 0 0 15 1 10 3 15 1 9 0 90 2 
 1 1 1 2 0 0 5 26 3.6 32 50 8 2 12 4 5 1 4 5 10 0 100 2 
 1 1 1 2 0 0 5 22 3.5 8 10 4 2 14 3 10 4 6 9 9 0 100 4 
 1 1 1 2 0 1 8 23 3.7 15 7 0 0 13 4 14 7 5 5 9 0 100 3 
 0 0 1 1 0 0 3 27 2.9 15 18 3 1 14 4 1 2 3 7 7 0 100 2 
 1 1 1 2 0 0 4 29 3.2 1 0 0 0 18 3 6 1 5 7 8 0 80 0 
 0 0 0 3 2 5 5 21 2.5 7 50 2 1 16 4 4 10 3 5 9 10 20 2 
 0 0 1 2 0 0 7 31 3.2 12 40 1 0 18 4 4 2 3 8 8 10 80 2 
 1 1 0 3 2 0 0 19 3.5 8 2 3 2 15 3 4 10 5 10 9 0 0 2 
 1 1 0 2 0 5 5 31 3.9 5 3 1 2 15 4 3 1 10 9 10 0 100 4 
 1 1 0 3 2 5 5 22 4 4 0 1 2 14 3 5 5 5 0 9 20 10 2 
 1 1 0 3 3 7 0 30 3.5 0 0 0 1 18 2 2 2 2 5 10 0 100 1 
 1 1 1 2 0 0 3 26 3.5 14 18 1 0 15 3 2 3 7 5 7 0 0 1 
 1 1 0 2 0 5 3 27 3.3 6 20 0 0 16 4 5 2 5 0 9 0 20 4 
 1 1 1 2 4 6 0 30 3.6 15 13 7 3 8 4 10 10 3 10 9 20 0 1 
 1 1 0 2 2 5 5 20 3.6 0 0 0 0 14 3 5 3 3 10 9 0 50 1 
 0 0 0 2 3 3 3 30 4 4 5 0 0 12 3 1 1 3 5 8 0 100 1 
 0 0 1 1 5 0 6 28 3.4 14 50 3 2 12 4 3 1 4 5 5 0 100 1 
 0 0 0 3 3 7 1 33 4 3 0 0 1 15 4 7 1 3 5 10 0 100 1 
 0 0 0 3 3 4 1 32 3.8 1 0 23 4 15 1 3 1 6 10 7 0 100 2 
 1 1 0 2 0 0 8 24 3.6 6 10 0 0 19 2 6 2 7 5 9 15 100 3 
 0 0 0 0 0 0 7 30 3.5 12 7 50 0 3 4 7 10 49 10 10 0 0 3 
 1 1 0 2 0 0 5 29 3.5 0 0 1 1 16 0 2 4 3 7 9 0 10 2 
 0 0 1 3 2 5 5 20 2.8 7 25 8 1 10 3 4 10 7 6 7 10 60 4 
 1 1 1 2 0 0 4 25 3.3 6 4 1 2 18 4 5 7 7 5 8 20 40 3 
 0 0 0 1 0 6 0 28 3.5 8 20 1 0 14 3 0 4 6 7 5 0 100 2 
 1 1 0 2 0 0 10 30 4 10 9 0 2 14 0 2 4 8 4 10 0 100 4 
 1 1 0 0 0 0 7 26 3.5 6 6 2 1 15 3 5 2 5 7 9 0 0 2 
 0 0 0 1 3 4 3 29 3.3 4 0 0 2 26 3 5 4 4 5 8 0 100 1 
 1 1 0 2 3 4 2 33 3.6 0 0 0 0 26 1 7 2 3 5 9 0 100 4 
 1 1 1 2 0 0 3 27 3.2 8 10 3 0 13 3 4 3 12 9 7 20 10 3 
 1 1 0 2 3 0 7 29 3.8 2 0 0 0 17 3 15 1 6 9 10 0 90 2 
 1 1 0 3 2 0 5 25 3.1 0 0 1 1 14 3 6 4 2 2 8 5 0 3 
 0 0 0 3 2 0 5 25 4 6 10 2 2 17 4 5 1 2 5 9 0 70 4 
 1 1 0 0 0 0 2 26 4 5 3 0 0 26 3 9 6 6 9 8 0 70 2 
 1 1 0 2 3 0 7 29 3.4 1 3 0 0 16 4 7 4 4 0 6 0 100 3 
 1 1 0 1 0 1 8 34 4 10 4 2 3 15 3 11 7 14 4 5 0 100 2 
 1 1 0 3 2 5 2 29 3.4 6 6 1 2 13 4 5 1 3 7 8 0 100 1 
 1 1 0 1 2 5 1 24 3.4 10 10 0 0 18 4 3 5 7 5 8 0 10 2 
 1 1 0 3 3 6 0 32 4 1 0 0 0 26 4 10 1 1 6 5 0 100 4 
 1 1 1 2 0 0 6 27 3.2 10 20 1 1 16 4 5 3 25 8 10 0 10 2 
 0 0 0 2 0 0 5 27 4 6 0 0 1 16 3 8 1 4 3 9 0 100 3 
 0 0 0 3 1 0 6 21 3.1 8 4 2 2 13 4 1 1 5 0 6 0 0 3 
 1 1 0 3 3 0 8 27 3.6 0 1 0 2 17 3 2 3 5 8 8 0 100 2 
 1 1 0 1 3 4 3 31 1 0 0 0 0 18 2 16 2 4 10 10 0 100 4 
 0 0 0 2 0 0 3 29 3.5 5 12 1 1 18 1 2 2 3 8 10 30 100 2 
 1 1 0 2 1 0 7 24 3.5 10 6 1 1 15 3 2 4 5 7 7 20 40 2 
 1 1 0 2 0 0 9 30 3.3 12 14 0 0 15 4 2 4 5 5 10 5 30 2 
 1 1 1 2 0 0 5 24 3.2 0 0 10 6 15 4 10 2 3 3 5 25 70 2 
 0 0 0 3 0 0 9 31 4 12 24 2 2 13 3 2 4 3 5 10 40 100 2 
 1 1 1 2 0 0 7 28 3.9 8 10 4 1 16 4 1 5 5 2 8 0 10 3 
 1 1 1 2 0 1 4 23 3.2 16 25 10 0 13 4 3 4 10 2 8 0 100 0 
 1 1 0 3 3 0 3 29 3.8 0 0 0 0 20 2 7 4 2 8 7 0 100 1 
 1 1 0 1 0 0 9 24 3.3 0 0 1 1 16 4 4 5 2 8 9 0 100 2 
 1 1 1 2 0 0 8 26 3.4 4 5 2 1 13 3 5 8 4 5 10 0 80 4 
 0 0 0 2 0 1 5 23 3.4 8 15 6 1 17 3 3 1 10 5 9 0 100 0 
 0 0 0 2 5 2 8 32 3.9 2 0 0 1 16 4 6 0 8 0 10 0 100 3 
 1 1 0 0 0 6 1 31 1.7 0 0 0 1 18 4 1 2 3 3 8 0 0 2 
 1 1 0 0 0 0 7 29 3.4 4 2 0 1 16 4 1 2 3 6 3 15 50 5 
 0 0 1 2 0 0 6 25 3.1 50 50 50 0 26 4 2 10 50 7 9 0 10 2 
 1 1 1 2 0 1 2 27 4 7 10 0 0 15 3 7 2 5 7 7 0 100 0 
 0 0 1 3 2 5 5 17 3.9 10 5 3 2 15 3 2 1 3 10 8 15 10 4 
 0 0 0 1 3 0 10 28 1.8 1 0 0 1 14 4 1 5 3 0 8 0 70 2 
 1 1 0 2 1 0 8 28 4 8 5 1 1 16 0 5 8 5 8 8 0 100 4 
 1 1 1 2 3 7 0 35 4 24 50 5 2 15 3 1 10 11 10 3 20 100 4 
 1 1 0 0 0 1 5 23 3.6 1 0 2 1 15 4 4 1 3 1 10 20 100 2 
 0 0 1 0 0 6 0 25 3.5 8 10 10 0 6 4 1 2 5 5 10 10 0 3 
 0 0 0 3 2 7 0 24 3.1 2 1 0 2 16 4 1 1 3 4 4 0 0 2 
 1 1 0 3 3 7 1 29 4 0 0 7 0 4 0 0 2 1 6 5 0 100 1 
 1 1 1 2 0 1 1 26 2.8 4 4 1 1 17 4 4 2 6 5 4 0 80 3 
 1 1 0 1 1 0 7 22 3 2 0 2 2 13 3 5 3 3 9 5 15 0 4 
 1 1 0 2 4 0 5 30 4 10 20 2 2 14 3 7 1 5 5 10 0 100 2 
 1 1 0 2 3 4 6 26 2.8 2 0 0 1 12 1 7 2 7 8 10 0 100 4 
 0 0 0 0 0 0 8 25 3.4 2 0 0 1 16 4 1 4 3 5 5 30 90 2 
 1 1 1 2 0 1 3 29 2.7 14 20 6 1 14 4 7 4 10 2 10 0 100 2 
 1 1 0 2 2 0 9 27 4 3 1 0 2 16 3 7 1 6 0 10 0 100 4 
 1 1 0 3 2 5 4 28 3.5 2 4 1 1 17 4 3 5 2 8 10 0 0 3 
 0 0 0 3 3 3 5 33 3.5 2 0 0 0 26 3 4 2 5 6 8 0 100 0 
 0 0 0 2 2 0 3 23 3 3 0 1 1 10 1 4 1 4 5 10 0 0 1 
 1 1 0 2 4 6 1 31 4 5 3 1 1 15 4 3 1 5 0 7 40 80 3 
 1 1 1 2 2 6 2 27 3.7 3 4 2 1 16 4 3 2 5 5 8 0 100 4 
 1 1 1 2 0 1 4 28 3.5 5 20 2 1 14 4 10 8 15 5 10 0 100 4 
 1 1 0 2 0 0 7 25 4 0 0 0 1 17 3 1 2 1 1 9 5 80 3 
 0 0 1 2 0 0 3 35 3.3 16 20 10 1 15 4 2 3 8 8 7 0 90 0 
 1 1 0 2 0 0 3 27 4 0 0 0 0 26 3 5 2 6 5 9 0 100 4 
 1 1 0 0 2 0 5 23 3.8 1 8 2 1 17 3 4 3 3 5 9 15 80 1 
 1 1 1 2 4 1 4 29 3.7 25 20 1 2 13 4 7 3 10 7 10 0 100 2 
 1 1 0 3 1 0 5 27 2.8 3 0 0 0 6 4 2 5 3 7 7 0 100 1 
 0 0 1 2 0 0 4 28 2.9 7 10 3 1 6 4 10 1 3 5 10 0 80 4 
 1 1 1 1 0 0 5 30 3 8 6 0 0 14 1 1 1 6 5 4 0 90 1 
 1 1 0 3 3 4 2 32 4 2 10 1 1 18 3 1 5 4 5 9 0 100 2 
 1 1 0 0 0 7 1 26 3.6 10 4 3 3 13 4 5 1 3 2 8 0 90 2 
 1 1 0 1 0 2 0 21 2.7 3 6 5 1 15 4 3 4 5 5 7 15 100 3 
 1 1 1 2 3 0 5 25 4 10 3 2 1 13 3 16 2 14 5 7 20 100 4 
 1 1 0 2 3 2 6 28 3.6 0 0 1 2 17 2 7 6 5 5 9 0 10 2 
 1 1 0 3 2 0 8 23 2 7 3 0 1 13 3 6 10 3 5 9 30 0 4 
 1 1 0 2 0 0 3 27 3.2 4 30 2 1 14 4 3 2 4 3 8 0 50 0 
 1 1 0 2 3 4 3 27 3.2 6 1 0 2 15 2 3 4 5 3 7 0 100 1 
 0 0 1 1 0 0 1 28 2.7 7 12 1 1 15 3 1 1 4 6 9 0 90 2 
 1 1 1 1 3 3 9 27 2.8 0 0 0 0 26 3 5 1 8 5 10 0 0 2 
 1 1 0 2 4 5 3 20 2.5 0 0 3 5 16 0 14 2 3 5 7 0 10 2 
 1 1 0 2 0 0 4 22 3 15 10 1 1 13 3 7 2 5 8 6 0 80 4 
 1 1 1 0 0 0 7 28 3.7 12 10 5 0 18 4 6 3 10 9 8 0 30 3 
 0 0 0 2 1 0 10 19 4 1 0 20 3 16 3 3 1 7 10 10 0 0 3 
 1 1 0 2 3 7 0 33 4 2 0 6 2 16 2 5 1 10 7 10 0 100 4 
 1 1 0 2 3 5 0 28 3.7 1 2 0 0 26 3 13 2 6 7 9 0 100 1 
 1 1 1 1 0 0 7 31 3.8 10 10 1 1 16 4 1 4 4 3 9 0 100 2 
 1 1 1 2 0 0 7 29 4 3 1 0 0 14 3 3 1 12 7 9 0 80 2 
 0 0 0 3 2 7 0 24 3 1 1 1 1 11 4 2 4 11 8 1 30 0 3 
 1 1 1 1 2 0 5 17 2.9 35 30 0 5 16 3 5 10 10 0 9 15 50 0 
 0 0 1 2 3 3 6 34 3.7 10 5 5 3 16 4 7 2 8 7 7 15 90 2 
 0 0 1 0 0 0 8 28 2.8 3 0 1 1 15 4 1 1 5 7 9 0 90 1 
 0 0 0 3 1 0 7 18 3.9 1 0 0 2 16 3 30 4 5 5 10 20 0 4 
 1 1 0 2 0 0 8 26 3.5 7 5 2 2 13 4 5 2 10 8 9 5 10 3 
 0 0 1 2 0 0 3 31 3.2 7 10 6 0 14 4 4 1 5 8 9 15 90 2 
 1 1 0 2 0 5 4 23 3.4 12 12 10 0 14 4 5 4 5 5 5 0 20 4 
 0 0 1 0 0 0 1 30 3.4 10 13 7 3 13 4 2 3 4 5 10 0 100 4 
 0 0 0 3 3 2 7 33 2.8 0 0 0 2 15 3 6 10 3 0 8 0 100 1 
 1 1 0 0 1 0 9 20 3.5 6 4 0 0 26 4 5 3 5 7 9 15 10 4 
 1 1 1 3 1 0 4 20 2.7 15 5 7 3 17 4 1 10 3 10 8 20 0 4 
 0 0 1 2 0 0 5 33 3.6 15 30 12 2 13 4 1 1 10 8 7 0 90 2 
 1 1 1 2 0 0 7 27 3.1 4 3 0 0 14 4 10 2 5 3 10 0 50 4 
 1 1 0 1 3 7 0 23 4 3 0 0 0 16 2 1 10 5 10 8 0 30 0 
 1 1 0 2 0 0 4 28 4 14 4 3 3 14 4 6 5 4 5 10 0 90 4 
 0 0 0 2 3 2 5 30 3 25 5 5 0 14 4 7 1 10 10 10 25 100 1 
 1 1 0 2 0 5 8 30 4 9 22 1 1 14 4 5 1 5 1 6 10 90 3 
 1 1 0 3 3 7 0 27 4 0 0 0 1 15 3 0 3 3 5 7 0 100 1 
 0 0 0 1 0 0 1 36 1.3 10 10 10 3 16 3 3 2 10 9 10 5 50 4 
 1 1 0 2 0 7 0 30 3.5 4 5 5 1 14 4 10 3 8 5 5 0 90 4 
 1 1 0 0 0 0 5 27 3.8 8 10 1 1 14 4 10 3 5 3 10 0 0 4 
 1 1 0 2 0 0 3 30 4 6 4 1 1 16 3 1 1 3 3 6 0 90 4 
 1 1 1 2 0 0 4 23 3.5 32 40 3 1 14 4 7 1 11 5 10 15 70 2 
 0 0 0 3 2 5 2 22 2 12 13 1 1 15 3 3 10 6 8 10 40 10 2 
 1 1 0 2 0 1 1 30 4 4 4 4 2 14 0 10 2 7 4 10 0 100 3 
 1 1 0 0 0 0 1 24 4 4 4 6 1 14 0 14 0 8 5 10 0 100 4 
 1 1 0 3 0 0 6 31 3.5 0 0 0 0 26 4 25 2 5 2 10 20 10 3 
 1 1 1 2 0 0 5 30 3.9 0 1 0 0 18 4 5 0 3 3 7 10 0 0 
 1 1 1 2 3 7 2 29 2.8 10 10 0 0 3 4 2 3 6 10 9 0 100 2 
 0 0 0 2 0 0 5 28 3.5 15 20 0 0 18 3 4 3 10 5 8 0 80 2 
 1 1 0 0 0 0 8 23 4 4 3 0 1 14 3 7 2 12 5 9 0 100 4 
 0 0 0 3 3 0 5 26 3.3 2 2 2 0 17 4 1 1 2 8 9 0 100 2 
 0 0 0 3 3 4 1 32 4 5 15 0 1 13 2 4 1 3 10 10 20 10 2 
 0 0 0 3 0 6 0 30 3.1 7 0 50 2 18 4 5 5 5 7 9 0 100 2 
 1 1 0 0 0 0 4 25 3.4 0 0 2 1 14 3 3 4 4 3 9 10 0 0 
 0 0 0 3 2 0 3 24 3 2 3 4 2 12 2 3 1 5 6 9 0 0 2 
 1 1 0 1 1 0 6 24 4 10 8 3 1 14 4 3 10 4 7 9 0 80 2 
 0 0 0 2 1 6 0 27 4 8 6 1 1 13 2 1 1 4 0 6 5 100 1 
 1 1 1 2 0 5 0 25 4 7 0 1 1 13 3 7 2 5 0 10 0 100 3 
 1 1 0 0 0 0 7 30 4 5 3 3 2 13 3 1 2 5 0 10 0 0 4 
 1 1 0 0 0 0 8 28 4 0 0 0 1 16 4 8 1 3 5 7 0 10 4 
 1 1 0 2 0 0 4 26 4 5 6 0 1 17 4 15 2 5 6 9 0 0 4 
 1 1 0 1 1 0 6 20 3.6 2 0 1 1 16 4 2 1 3 8 8 10 90 2 
 1 1 0 0 0 6 1 24 3 8 5 4 4 15 4 5 2 3 3 9 25 30 2 
 1 1 1 1 0 0 7 25 3 2 0 0 2 15 1 0 2 5 1 6 10 0 2 
 1 1 0 0 0 0 8 25 3.4 6 4 1 2 14 4 9 2 2 0 9 0 100 4 
 0 0 0 2 0 2 10 29 3.4 2 2 3 3 6 4 2 3 4 8 5 25 70 2 
 0 0 0 3 2 7 0 28 2.5 0 0 3 2 15 3 3 2 1 0 6 0 10 0 
 0 0 0 3 1 0 7 23 2.8 5 4 0 1 8 4 7 0 10 5 9 0 10 3 
 1 1 0 0 3 3 0 23 3 0 0 0 0 26 3 4 2 5 5 6 0 50 2 
 1 1 1 2 0 0 7 29 3.7 8 11 0 0 19 4 0 5 5 3 10 0 100 4 
 1 1 1 1 0 0 5 23 3.8 10 15 2 1 17 1 2 10 5 0 6 0 100 3 
 1 1 0 1 0 7 0 26 3.5 8 10 1 1 14 4 3 2 3 6 9 0 100 2 
 1 1 0 3 2 0 4 22 2.4 12 8 1 1 12 4 7 4 6 5 10 10 80 3 
 1 1 0 2 0 0 7 28 4 9 9 0 0 17 3 6 3 14 5 7 0 80 0 
 0 0 0 0 3 0 8 28 4 0 0 0 0 26 3 4 3 4 6 8 0 40 1 
 1 1 1 2 0 1 5 26 3.8 14 20 2 2 12 4 3 2 20 5 8 0 90 1 
 1 1 0 2 0 0 8 27 3.5 3 3 0 1 14 3 6 5 9 5 10 0 100 4 
 0 0 0 2 2 5 7 24 3 16 0 0 0 26 3 6 10 2 6 9 5 100 1 
 0 0 1 2 0 6 1 32 4 16 30 1 0 15 3 2 0 30 9 8 0 80 2 
 1 1 0 3 3 4 1 25 3 5 4 0 0 14 3 7 8 5 5 8 0 50 2 
 0 0 0 3 2 0 9 27 3.4 8 20 0 1 16 4 5 8 8 10 10 10 40 3 
 1 1 0 3 3 7 1 32 4 2 2 0 0 26 1 1 2 2 10 7 0 100 2 
 0 0 0 2 3 3 9 29 3.8 1 1 0 0 26 4 7 1 5 2 8 0 70 4 
 1 1 1 2 0 6 2 28 3.2 14 24 4 2 14 4 1 1 10 1 8 15 0 4 
 0 0 1 1 0 1 6 29 3.8 9 9 5 1 14 4 4 1 11 5 10 0 0 0 
 1 1 0 1 3 4 4 24 3.9 2 0 2 2 14 2 2 2 3 5 10 0 0 4 
 1 1 0 1 0 7 2 23 4 0 0 0 0 17 3 10 4 15 5 10 0 10 2 
 0 0 0 2 3 0 6 20 3.4 6 3 10 2 17 4 1 2 2 2 9 0 10 4 
 0 0 0 1 0 6 0 31 4 6 10 0 2 14 3 2 2 5 9 6 0 70 1 
 0 0 1 2 3 3 3 31 3.4 15 20 17 1 15 4 7 2 10 8 7 0 0 3 
 1 1 0 2 0 0 2 29 4 6 3 1 1 12 1 3 2 8 8 8 0 100 3 
 1 1 1 2 0 0 2 32 3.3 6 9 5 1 18 0 1 2 6 9 8 0 90 1 
 1 1 0 2 0 6 0 34 4 0 0 0 0 26 4 3 1 4 8 8 0 60 4 
 0 0 0 2 2 0 5 23 3.4 2 3 1 0 17 3 3 1 3 5 7 0 10 2 
 1 1 0 3 2 0 6 23 3 10 10 11 1 13 4 12 2 4 1 8 20 10 3 
 1 1 0 2 0 0 5 25 3.5 3 4 1 1 17 4 6 2 1 7 8 5 0 0 
 1 1 0 2 1 0 5 26 3.8 2 3 0 0 14 4 7 10 4 10 8 0 10 2 
 1 1 0 3 1 0 3 24 1.5 0 0 0 0 15 3 3 5 3 5 9 5 100 2 
 1 1 1 3 0 0 5 28 3 10 10 10 1 14 4 3 10 10 0 9 15 100 3 
 0 0 0 0 0 0 2 25 3.5 1 2 0 0 16 2 5 3 5 10 8 0 100 1 
 0 0 0 1 1 6 2 28 2.9 3 2 1 0 17 1 0 1 2 6 9 10 0 0 
 1 1 1 1 0 1 4 28 3.8 15 20 3 0 15 4 7 3 7 2 10 0 70 5 
 1 1 0 0 0 0 2 25 3 12 30 50 0 11 4 50 1 50 3 3 10 30 2 
 1 1 0 2 0 0 8 26 3 5 10 0 0 18 1 7 0 9 0 10 0 100 1 
 1 1 0 2 3 7 0 30 3.8 1 0 0 3 15 3 3 3 3 8 10 0 100 2 
 1 1 1 2 0 0 5 24 3.6 4 10 1 1 12 2 4 3 2 6 10 20 30 2 
 1 1 0 1 3 7 0 31 3.8 0 0 0 0 26 2 1 2 0 7 6 0 100 2 
 1 1 0 2 0 0 2 25 3.3 6 0 1 1 16 4 3 4 3 5 10 0 100 2 
 1 1 1 2 2 5 7 20 2.6 10 4 0 0 14 4 3 5 4 5 9 10 90 2 
 1 1 0 2 0 0 5 28 3.7 0 0 0 0 16 3 2 2 4 5 9 10 100 1 
 1 1 0 2 0 2 4 24 4 4 0 1 2 14 3 10 4 3 10 4 10 40 4 
 1 1 0 2 0 0 8 29 4 5 6 0 1 13 3 4 2 12 6 10 0 100 2 
 1 1 0 3 3 5 0 28 3.8 0 0 0 0 26 3 7 2 1 6 6 0 100 4 
 1 1 0 1 0 0 4 31 4 6 0 0 1 17 3 7 3 7 8 9 0 60 2 
 1 1 0 0 0 6 1 30 3.7 4 5 3 2 15 3 0 6 3 5 3 0 0 2 
 1 1 0 2 1 0 2 20 3.3 12 10 2 2 15 3 7 10 5 10 10 20 0 3 
 1 1 0 0 0 6 0 27 3 1 0 2 2 13 3 0 2 3 5 8 0 100 1 
 0 0 1 0 0 4 2 21 3.6 5 10 4 3 4 0 5 1 4 3 6 0 0 3 
 0 0 0 1 1 0 5 24 2.5 5 3 1 1 17 4 4 5 3 10 9 30 100 4 
 1 1 1 2 0 0 6 27 3 5 5 0 0 15 3 14 4 8 10 10 20 100 4 
 1 1 0 2 4 0 5 27 4 2 3 4 1 14 3 4 2 4 8 7 0 90 0 
 1 1 1 1 4 0 7 23 4 2 7 1 1 12 4 1 2 4 7 8 5 100 0 
 1 1 0 3 2 5 8 24 3.3 7 4 0 0 15 4 9 1 12 3 10 0 0 2 
 0 0 0 1 0 7 1 29 4 3 2 5 2 13 3 2 2 9 4 7 20 100 2 
 1 1 1 2 0 1 5 29 4 15 3 1 1 16 3 4 7 3 2 7 0 90 2 
 1 1 0 1 0 6 1 27 4 5 1 0 1 16 3 5 2 4 4 8 0 80 1 
 1 1 0 2 4 7 0 23 3.7 4 4 2 1 16 1 0 1 2 4 5 10 0 2 
 1 1 0 0 0 0 8 29 4 2 0 0 1 15 3 5 1 4 3 7 20 100 4 
 0 0 0 1 4 0 10 36 3.5 0 0 0 1 15 3 14 2 2 7 6 30 0 2 
 1 1 1 2 0 0 7 29 3.7 5 6 0 0 14 2 7 2 10 5 8 5 0 0 
 1 1 1 2 2 0 3 27 3.5 15 22 1 0 17 4 2 3 10 7 5 0 90 2 
 1 1 0 3 1 0 5 22 3.8 6 0 1 1 15 1 3 2 6 6 10 0 100 1 
 1 1 0 2 0 0 3 24 3.3 8 12 1 2 14 4 6 3 5 6 8 0 100 4 
 1 1 0 3 0 0 5 25 4 10 30 3 1 14 4 4 10 10 5 8 0 80 0 
 0 0 1 3 0 6 1 30 3.5 6 10 3 2 11 3 2 7 10 5 9 0 100 4 
 0 0 1 1 0 1 5 27 3 10 10 18 1 13 4 6 1 10 5 5 0 90 2 
 1 1 1 2 0 0 8 24 3.4 10 4 4 2 15 4 21 2 4 5 10 5 100 3 
 1 1 0 0 0 0 9 28 4 5 2 1 1 17 4 19 3 2 3 3 10 0 3 
 0 0 0 3 2 7 0 24 3.9 4 15 0 0 13 0 2 3 4 5 5 0 30 3 
 1 1 0 2 0 0 6 28 4 7 10 0 0 15 3 7 2 10 4 9 0 50 4 
 1 1 0 3 2 5 5 28 2.5 7 4 0 0 18 4 5 4 4 6 9 15 10 1 
 1 1 1 3 2 6 0 25 2.7 2 2 0 0 26 3 4 2 2 5 8 0 0 1 
 1 1 0 0 0 7 0 24 2.5 0 0 0 2 17 3 4 4 3 7 9 15 10 2 
 1 1 0 2 0 0 7 26 4 6 4 1 1 12 3 4 2 10 0 10 0 90 3 
 1 1 0 2 1 0 7 28 3.1 0 0 1 1 16 3 9 2 5 6 8 0 0 4 
