 Gender(0=Male;1=Female;2=Other;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Suburb;3=Big_City;) Ethnicity(0=White;1=Black;2=Hispanic;3=Asian;4=Mixed;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Other_Religion;6=Agnostic;7=Atheist;) Religious ACT GPA Party_Hours_per_week Drinks_per_week Num._Sex_Partners Num._Relationships First_Kiss_Age(26=still_waiting;) Fav._Life_Period(0=Kindergarten;1=lower_grades;2=middle_school;3=High_School;4=College;) Hours_call_parents Social_media(10=V10_or_more;) Texts Good_or_Well Parent_Relationship Work_Hours_per_week Percent_Parents_pay_tuition Career(0=No_Idea;1=Some_Idea;2=Nervous;3=Concrete_plan;4=Grad_School;5=Other;) 
 1 1 0 1 1 0 8 27 2.1 7 6 3 1 15 4 0 1 3 3 6 0 0 2 
 1 1 0 2 3 7 0 24 2.9 0 0 0 0 26 2 5 4 1 10 10 0 100 1 
 1 1 0 2 0 0 6 26 4 5 2 0 2 16 3 5 1 15 10 4 0 80 4 
 1 1 0 1 4 6 0 18 2.8 16 10 20 2 11 2 0 10 4 7 1 15 0 0 
 1 1 0 3 3 6 0 28 2.5 1 0 1 1 16 3 2 3 4 2 8 5 100 1 
 0 0 0 3 3 7 0 29 4 4 0 0 0 26 3 15 2 8 4 10 0 100 1 
 1 1 0 2 3 6 2 28 3.4 6 3 0 0 26 4 0 0 8 4 8 0 100 5 
 1 1 0 0 2 0 9 32 2.4 3 0 0 0 14 3 7 10 5 8 10 0 0 2 
 1 1 0 2 0 0 3 27 3.5 0 0 0 0 26 3 4 2 3 5 9 0 80 0 
 0 0 0 1 0 0 2 24 2.8 0 0 3 1 16 4 1 1 3 7 8 0 0 2 
 0 0 0 2 4 0 2 25 4 0 0 0 0 26 4 1 0 2 8 8 0 100 1 
 1 1 0 2 0 0 3 27 4 0 0 0 1 13 3 4 4 5 6 7 0 100 1 
 0 0 0 3 0 6 1 29 3.5 0 0 0 2 26 3 1 1 10 5 8 0 100 2 
 1 1 1 0 0 0 3 31 3.5 20 25 9 4 14 4 3 2 7 4 10 10 100 2 
 0 0 0 0 0 0 8 18 3.3 4 5 2 1 17 3 2 4 6 5 8 0 10 3 
 0 0 1 1 0 0 9 27 3.5 10 12 1 1 18 4 3 2 5 7 9 0 90 2 
 1 1 0 0 0 7 0 32 4 2 4 1 2 16 4 1 2 3 3 3 10 80 3 
 1 1 0 3 0 0 7 29 2.9 24 40 3 1 14 3 7 1 2 1 10 0 0 0 
 0 0 0 3 3 4 4 34 3.2 0 0 0 0 26 3 1 1 3 3 7 0 100 2 
 1 1 0 2 2 6 0 20 2.7 0 0 1 2 16 3 7 3 4 5 9 25 100 4 
 1 1 0 3 2 0 8 27 3.2 15 9 3 2 14 3 1 9 5 5 6 0 20 4 
 1 1 1 1 0 1 6 24 3.6 10 16 5 2 14 4 4 2 10 0 10 0 100 1 
 0 0 0 0 0 0 1 20 3.7 12 24 2 1 17 3 2 3 5 10 10 0 100 2 
 0 0 1 2 0 1 5 28 3.7 12 40 5 1 13 4 0 2 4 3 6 15 90 2 
 1 1 0 2 3 7 0 28 3 0 0 0 0 26 3 0 2 5 3 5 0 0 1 
 1 1 0 3 0 6 1 28 4 8 4 1 2 13 3 4 1 6 7 6 0 100 1 
 0 0 1 1 0 5 1 30 3.5 35 50 0 3 13 3 1 10 14 9 8 15 50 1 
 1 1 0 1 3 6 2 32 3.6 2 1 0 2 15 2 1 6 5 7 9 0 100 1 
 1 1 0 1 3 3 7 29 3.7 1 0 0 0 18 4 1 4 5 7 7 0 0 2 
 1 1 0 3 3 4 2 26 3.6 1 3 1 2 14 3 1 3 2 5 8 0 0 3 
 1 1 0 3 2 5 4 22 4 3 1 0 0 15 3 10 1 5 7 9 0 10 4 
 1 1 0 1 0 0 5 27 4 8 10 2 2 13 3 2 2 10 7 9 0 100 4 
 1 1 1 2 0 7 0 34 4 10 5 0 0 14 4 6 4 5 6 9 0 100 4 
 1 1 0 2 0 1 3 29 4 18 20 0 0 15 4 7 8 15 5 10 0 0 1 
 1 1 1 0 0 0 6 24 3.6 4 10 3 3 14 2 2 5 4 7 9 0 90 1 
 1 1 1 3 2 5 1 28 3.4 12 14 1 1 15 4 0 2 7 2 10 15 70 2 
 1 1 1 3 0 0 0 28 3.7 25 40 6 1 13 4 0 2 5 5 3 10 100 2 
 1 1 0 2 1 6 2 24 2.6 2 0 0 0 14 4 3 5 4 4 7 0 20 2 
 1 1 1 2 0 1 6 30 4 8 2 0 0 15 4 7 5 10 5 10 0 100 3 
 1 1 1 2 0 1 7 24 3.3 12 16 0 0 15 3 7 3 6 10 7 0 100 4 
 1 1 0 1 0 0 10 28 3.9 0 0 0 0 26 4 7 1 5 1 8 0 100 1 
 1 1 0 3 1 0 5 23 3.4 4 1 0 0 16 4 3 2 6 7 7 0 0 4 
 1 1 0 2 3 2 6 28 3.5 0 0 0 0 26 4 7 2 4 3 8 10 80 4 
 0 0 0 3 3 0 5 31 3.3 0 1 3 3 17 0 7 5 5 5 9 20 90 1 
 0 0 0 0 0 0 9 19 3 5 20 5 3 16 3 34 4 8 5 10 0 0 3 
 0 0 1 2 0 0 1 24 3.5 5 11 6 2 15 4 2 1 4 6 5 0 100 1 
 0 0 1 2 0 1 4 30 4 6 10 2 2 12 4 5 2 10 5 10 0 50 1 
 1 1 0 2 0 0 1 29 4 3 0 1 1 15 3 3 2 4 4 8 0 80 4 
 0 0 1 2 0 7 0 31 3.6 6 4 4 3 14 3 3 4 3 3 8 10 50 2 
 1 1 0 2 2 0 5 29 3.4 4 0 0 0 15 3 1 4 6 6 7 0 0 4 
 1 1 0 2 0 0 8 31 3.5 4 1 0 0 26 3 2 5 10 5 9 0 50 2 
 1 1 1 2 0 0 2 21 3.6 2 5 0 0 18 4 4 2 5 1 9 0 90 1 
 1 1 0 2 0 0 2 32 4 6 7 1 1 16 3 2 2 5 8 5 0 100 0 
 0 0 0 2 0 0 5 33 4 15 15 2 1 16 4 4 2 15 7 7 0 60 2 
 1 1 0 2 0 0 2 26 3.7 17 20 4 1 15 0 3 3 10 6 8 0 100 0 
 1 1 0 2 3 6 0 27 4 10 10 5 2 21 4 0 1 4 6 7 0 100 2 
 1 1 0 3 2 6 2 27 3.4 4 4 4 1 11 2 2 4 3 4 6 0 30 2 
 1 1 0 2 0 7 0 24 2.6 2 1 4 3 14 0 0 3 1 2 0 0 100 2 
 0 0 0 3 2 0 5 23 2.9 0 0 1 1 12 4 1 1 2 2 10 0 0 4 
 0 0 0 2 0 0 2 29 2.9 1 0 9 3 14 4 7 3 6 8 10 0 100 3 
 0 0 0 3 3 6 1 28 4 1 2 1 2 15 3 5 1 3 5 8 0 0 3 
 1 1 1 2 0 6 0 32 3.4 15 10 2 2 15 4 2 3 10 7 10 0 100 3 
 0 0 0 1 1 0 6 23 3.6 3 0 5 2 17 4 4 0 15 10 8 0 0 5 
 1 1 0 2 2 7 0 26 3.5 4 6 11 1 6 4 1 1 3 3 8 0 10 2 
 1 1 0 2 0 1 3 25 2.9 4 5 10 1 15 1 5 3 5 5 6 5 80 2 
 0 0 0 3 3 6 0 29 2.2 0 0 1 1 16 3 1 1 0 9 8 15 0 1 
 1 1 1 1 5 0 8 30 3 4 5 1 2 14 4 7 1 8 5 5 0 90 4 
 1 1 0 0 0 0 0 29 3.2 2 1 1 1 18 2 10 4 4 4 9 0 100 4 
 1 1 1 2 0 6 1 30 3.4 10 10 2 1 17 0 5 2 5 3 10 0 100 2 
 1 1 0 0 0 0 3 23 3.6 5 5 1 1 15 4 1 3 6 7 8 15 0 0 
 0 0 0 2 3 3 2 30 3 0 0 0 0 14 3 3 2 6 8 9 0 70 2 
 0 0 1 2 0 6 0 31 4 14 25 1 1 13 4 2 2 4 4 7 0 90 2 
 0 0 0 2 0 7 0 28 3.8 4 4 7 3 14 4 2 1 20 9 2 5 10 3 
 1 1 0 1 3 2 8 23 2.8 0 0 0 0 26 2 14 3 2 7 10 10 0 2 
 1 1 0 2 0 0 10 30 3.4 2 1 0 1 16 4 4 4 5 5 7 15 30 1 
 1 1 0 2 0 0 4 27 4 16 15 3 1 15 4 10 2 10 0 10 0 60 3 
 0 0 1 2 0 7 0 32 3.2 15 35 3 2 16 4 1 2 5 5 7 0 80 1 
 0 0 0 3 1 0 4 24 3.3 2 3 4 3 16 4 1 3 6 7 8 0 0 3 
 0 0 1 2 3 0 3 31 3.2 7 30 1 1 13 3 1 2 5 7 9 0 100 2 
 1 1 0 2 0 0 8 24 3 0 0 0 0 26 4 3 3 2 0 7 0 100 1 
 1 1 1 2 0 0 8 32 3.8 8 10 1 1 16 4 5 3 12 3 10 10 90 3 
 0 0 0 0 0 0 6 29 4 5 0 0 3 15 3 2 2 4 5 10 0 70 2 
 1 1 0 2 0 5 8 26 3 16 18 0 1 18 4 10 4 6 0 8 5 90 4 
 1 1 0 0 0 0 7 25 2.1 3 4 0 0 16 3 21 8 4 5 8 10 100 0 
 0 0 0 2 0 0 3 31 4 42 50 2 1 15 3 3 0 8 9 9 0 70 2 
 1 1 0 2 3 2 10 28 3.9 0 0 0 0 26 1 6 2 5 6 8 0 50 1 
 1 1 0 1 0 1 7 32 4 1 1 0 0 18 3 5 3 8 2 8 0 50 2 
 1 1 0 1 0 0 8 31 3.8 0 0 0 1 15 3 7 3 5 5 9 15 30 2 
 1 1 0 1 3 0 8 17 3.4 0 0 0 0 26 4 14 5 6 4 10 0 100 3 
 1 1 0 2 1 0 9 26 4 2 2 1 1 15 1 20 3 4 5 7 0 40 4 
 1 1 0 2 4 6 0 26 3 2 3 3 3 16 4 3 7 4 9 7 15 100 2 
 1 1 0 3 3 4 1 28 3.8 2 0 0 0 26 2 3 1 3 8 8 0 100 4 
 0 0 0 1 3 7 0 31 3 2 1 0 0 18 4 1 1 4 7 9 0 60 2 
 1 1 0 1 0 0 7 27 3.5 1 0 0 0 26 3 2 2 5 1 6 0 80 1 
 1 1 0 3 2 0 3 23 3 16 10 1 2 16 4 1 10 4 0 5 0 100 3 
 1 1 0 2 3 6 0 26 3.4 10 6 2 0 18 4 1 1 7 5 8 0 10 2 
 0 0 0 2 3 2 5 22 4 4 7 6 1 22 4 5 10 10 10 6 0 0 3 
 1 1 0 1 3 0 10 27 4 0 0 0 0 26 3 3 3 6 8 10 0 100 1 
 1 1 0 2 0 0 5 27 3 50 50 1 1 17 1 0 10 50 10 8 0 0 3 
 1 1 1 2 0 0 5 27 3.6 6 10 1 2 14 4 7 1 2 0 5 0 50 1 
 1 1 0 3 2 0 8 28 3.4 6 4 0 0 18 3 7 1 15 7 9 0 0 1 
 0 0 0 2 0 2 0 30 2.6 10 10 5 0 13 0 9 3 3 8 10 0 100 3 
 0 0 0 2 1 0 4 27 2.7 4 5 1 0 18 4 4 3 5 5 4 10 0 2 
 1 1 0 2 0 0 8 29 4 15 15 2 1 15 3 7 10 20 5 9 0 100 0 
 1 1 1 2 2 0 6 25 3.5 10 7 0 1 14 2 7 6 5 2 9 15 40 1 
 1 1 0 2 2 0 7 22 4 4 0 0 0 18 3 7 0 5 10 10 0 50 4 
 0 0 1 2 0 7 1 27 3.8 10 15 8 1 16 4 1 3 5 5 8 5 50 2 
 1 1 0 2 3 2 8 31 3.8 2 0 0 2 16 3 6 4 5 5 9 0 100 4 
 1 1 0 2 1 0 5 22 3.1 6 0 0 0 14 0 13 1 10 9 9 0 40 2 
 1 1 0 2 3 0 6 31 4 6 4 2 2 14 3 1 10 4 5 8 0 90 2 
 1 1 0 2 3 0 0 26 4 0 0 0 0 26 2 5 2 2 5 9 0 100 0 
 1 0 0 3 3 7 3 25 3.3 2 2 0 2 18 3 3 5 3 5 5 0 90 0 
 1 1 0 2 5 2 7 25 3.1 3 0 0 0 26 3 7 0 4 4 10 10 0 3 
 1 1 0 1 3 0 3 27 3.5 8 0 0 1 15 1 7 2 5 5 7 25 50 2 
 1 1 0 3 2 0 6 17 3 8 3 5 1 16 4 7 10 2 0 9 0 80 3 
 0 0 0 0 0 0 4 30 3.2 2 2 0 0 26 3 2 1 7 4 3 0 100 4 
 1 1 0 2 0 0 4 33 4 10 12 4 3 13 4 3 5 12 5 8 10 10 2 
 1 1 0 2 0 0 3 25 3.5 6 14 4 2 14 4 2 1 10 8 8 0 100 2 
 0 0 0 1 1 0 8 26 3.8 3 4 0 0 14 2 5 2 3 10 10 25 0 2 
 1 1 0 2 3 0 8 26 4 0 0 0 0 26 4 1 2 4 3 8 0 80 1 
 1 1 0 3 0 6 2 33 3.8 8 8 0 0 26 1 3 4 4 7 7 0 60 4 
 1 1 0 2 0 1 5 25 3.7 0 0 1 1 16 4 14 5 5 6 10 0 100 4 
 1 1 0 3 3 0 5 28 2.5 30 12 18 3 15 4 0 4 4 3 6 35 100 3 
 1 1 1 0 0 0 9 28 4 5 2 0 1 16 4 5 2 4 3 9 30 90 2 
 0 0 0 1 0 7 0 30 3 7 10 10 0 15 4 1 1 3 8 10 0 10 2 
 1 1 0 2 3 6 4 30 2.9 9 15 10 1 14 3 1 4 5 4 3 0 100 2 
 0 0 0 2 0 5 5 31 4 3 0 2 3 13 3 1 1 3 5 8 10 80 2 
 0 0 0 3 0 7 3 30 3.9 0 0 0 0 12 1 4 3 2 2 8 0 0 0 
 0 1 0 0 0 0 4 29 3.8 10 6 0 0 21 4 7 2 2 0 10 15 100 4 
 1 1 0 1 0 6 4 31 2.5 0 0 33 6 16 4 4 2 4 5 10 0 0 2 
 0 0 0 2 0 0 8 29 4 12 30 4 1 14 3 4 2 7 6 10 0 100 4 
 1 1 0 2 1 0 4 24 3.7 11 4 4 2 15 4 10 10 5 8 10 10 0 4 
