"city","latitude","longitude","population","country","province"
"Xangongo",-16.74002602,14.96998002,447,"Angola","Cunene"
"Qusmuryn",52.45799827,64.59997392,4345.5,"Kazakhstan","Qostanay"
"Taiyuan",37.87501243,112.5450577,2817737.5,"China","Shanxi"
"Idlib",35.92970481,36.63165523,115785.5,"Syria","Idlib"
"Weihai",37.49997072,122.0999784,356425,"China","Shandong"
"Bella Vista",-22.12961953,-56.5199974,11252.5,"Paraguay","Amambay"
"Tianjin",39.13002626,117.2000191,5473103.5,"China","Tianjin"
"Bismarck",46.80831728,-100.7833163,60288.5,"United States of America","North Dakota"
"Dulan",36.16658958,98.26660111,50,"China","Gansu"
"Toowoomba",-27.56453327,151.9555204,86711,"Australia","Queensland"
"Rotorua",-38.13458576,176.2454073,51497.5,"New Zealand","Auckland"
"Baraki Barak",33.9667021,68.96670354,22305,"Afghanistan","Logar"
"Abakan",53.70368451,91.44500199,161377,"Russia","Krasnoyarsk"
"Boulia",-22.89959837,139.9000288,402.5,"Australia","Queensland"
"Evensk",61.94997703,159.2333191,2024,"Russia","Maga Buryatdan"
"Lira",2.260390441,32.89002315,127384,"Uganda","Lira"
"Hetauda",27.41668439,85.03335201,158554.5,"Nepal","Narayani"
"Fuxin",42.0104706,121.6600052,729525,"China","Liaoning"
"London",37.12888226,-84.08335372,7844,"United States of America","Kentucky"
"Naples",40.84002525,14.24501135,1619486,"Italy","Campania"
"Hokitika",-42.72568188,170.9681006,2139,"New Zealand","West Coast"
"Chanthaburi",12.61327272,102.0978918,94950.5,"Thailand","Chanthaburi"
"Chililabombwe",-12.36959511,27.8199967,69698,"Zambia","Copperbelt"
"Lhokseumawe",5.191400166,97.14145015,114648,"Indonesia","Aceh"
"Bandundu",-3.309993063,17.37996212,107997.5,"Congo (Kinshasa)","Bandundu"
"Ali Bayramli",39.93230288,48.92025915,70452,"Azerbaijan","?li Bayramli"
"Berber",18.01702557,33.98328975,35975.5,"Sudan","River Nile"
"Keetmanshoop",-26.57389606,18.12999385,16823.5,"Namibia","Karas"
"Luan",31.75034751,116.4800114,1408227.5,"China","Anhui"
"Olmaliq",40.85043805,69.59501786,119768,"Uzbekistan","Tashkent"
"Pukatawagan",55.73327639,-101.3166171,431,"Canada","Manitoba"
"Rida",14.42949261,44.8341003,45233,"Yemen","Al Bayda'"
"Tula",23.00039064,-99.71999618,4683,"Mexico","Tamaulipas"
"Groningen",53.22040651,6.580001179,198941,"Netherlands","Groningen"
"Leeuwarden",53.25037884,5.783357298,108601,"Netherlands","Friesland"
"Pingdu",36.79037579,119.9400069,91077,"China","Shandong"
"Winton",-22.39962889,143.0332743,1157,"Australia","Queensland"
"Settat",33.01042564,-7.620010622,140415,"Morocco","Chaouia - Ouardigha"
"Ikela",-1.182939434,23.26657955,291,"Congo (Kinshasa)","Équateur"
"Balakhna",56.49434104,43.59438269,62487,"Russia","Nizhegorod"
"Chilpancingo",17.54997398,-99.5000096,173818.5,"Mexico","Guerrero"
"Lokoja",7.800388203,6.739939737,52650.5,"Nigeria","Kogi"
"Resolute",74.68333417,-94.90000615,239.5,"Canada","Nunavut"
"Castelo Branco",39.81099615,-7.487999559,33479,"Portugal","Castelo Branco"
"Blumenau",-26.9200248,-49.0899858,286326,"Brazil","Santa Catarina"
"Bekiy",-24.21615884,45.31660315,4286,"Madagascar","Toliary"
"Ar Raqqah",35.93037661,39.0199849,175600.5,"Syria","Ar Raqqah"
"El Daba",31.03377626,28.4332926,14212,"Egypt","Matruh"
"Mumbwa",-14.97961668,27.07001664,14408.5,"Zambia","Central"
"Kimberley",-28.74683836,24.77000199,153676.5,"South Africa","Northern Cape"
"Scone",-32.07960651,150.8501098,4624,"Australia","New South Wales"
"Clare",-33.8328845,138.6000048,2729,"Australia","South Australia"
"Thies",14.8103996,-16.93001083,293001,"Senegal","Thiès"
"La Esperanza",14.33300406,-88.16669954,5318,"Honduras","Intibucá"
"Yerevan",40.18115074,44.51355139,1097742.5,"Armenia","Erevan"
"Itajai",-26.89961261,-48.68001083,241421,"Brazil","Santa Catarina"
"Lamu",-2.26204362,40.91966643,17435,"Kenya","Coast"
"Qasserine",35.18039654,8.829993041,80072.5,"Tunisia","Kassérine"
"Winston-Salem",36.10543052,-80.25999536,237491.5,"United States of America","North Carolina"
"Matanzas",23.04152508,-81.577486,135303,"Cuba","Matanzas"
"Coquimbo",-29.95291461,-71.34361454,159082.5,"Chile","Coquimbo"
"Tolyatti",53.48039064,49.53004106,648622,"Russia","Samara"
"Carbondale",37.72683026,-89.22024947,28473,"United States of America","Illinois"
"Bhuj",23.25037539,69.80999182,289429,"India","Dadra and Nagar Haveli"
"Trujillo",9.38039512,-70.44000045,44231.5,"Venezuela","Trujillo"
"Bondo",3.809959939,23.67001745,20688.5,"Congo (Kinshasa)","Orientale"
"Cuauhtemoc",28.42574424,-106.8695856,84967.5,"Mexico","Chihuahua"
"Ticul",20.40039431,-89.53002385,30400.5,"Mexico","Yucatán"
"Huancavelica",-12.79003457,-74.99000696,42982,"Peru","Huancavelica"
"Yerema",60.38079632,107.7794055,745,"Russia","Irkutsk"
"Ulkan",55.90039797,107.7833329,10,"Russia","Irkutsk"
"Daejeon",36.33554567,127.425028,1458165,"South Korea","Daejeon"
"Aiken",33.5494625,-81.72060388,36716.5,"United States of America","South Carolina"
"Port Hardy",50.71707094,-127.4999801,2295,"Canada","British Columbia"
"Bijapur",16.83541811,75.70999345,270967,"India","Karnataka"
"Alatyr",54.8503587,46.59998734,44291.5,"Russia","Chuvash"
"Sao Borja",-28.65960854,-56.00997685,48450.5,"Brazil","Rio Grande do Sul"
"Atakpame",7.530042947,1.120024372,74757,"Togo","Plateaux"
"Douala",4.060409769,9.709991006,1622041,"Cameroon","Littoral"
"Eldikan",60.80002138,135.1833142,1516,"Russia","Sakha (Yakutia)"
"Zhubei",24.83333333,121.0119444,174003,"Taiwan","Hsinchu"
"Bristol",51.44999778,-2.583315472,492120.5,"United Kingdom","Bristol"
"Szolnok",47.18635622,20.17937781,92367.5,"Hungary","Jász-Nagykun-Szolnok"
"Rodos",36.44122398,28.22250443,56548.5,"Greece","Notio Aigaio"
"Turkistan",43.30155458,68.25489294,86743.5,"Kazakhstan","South Kazakhstan"
"Benha",30.46666512,31.18333563,167029,"Egypt","Al Qalyubiyah"
"San Ramon",-13.28959064,-64.70998845,5439.5,"Bolivia","El Beni"
"Ussuriysk",43.80002545,132.019993,140673.5,"Russia","Primor'ye"
"Honda",5.190340799,-74.74999577,31813.5,"Colombia","Tolima"
"Saginaw",43.4194802,-83.95082951,89457.5,"United States of America","Michigan"
"Hechi",23.09653465,109.6091129,3275189.5,"China","Guangxi"
"Mongbwalu",1.9504352,30.0332983,2819,"Congo (Kinshasa)","Orientale"
"St.-Jerome",45.7666496,-73.99998987,66693.5,"Canada","Québec"
"Nizhenvartovsk",60.93497438,76.58001786,136385,"Russia","Khanty-Mansiy"
"Tanjungkarang-Telubketung",-5.449604066,105.3000219,881801,"Indonesia","Lampung"
"Liaoyuan",42.89997703,125.1299743,485898.5,"China","Jilin"
"Kieta",-6.216275616,155.6333321,5284.5,"Papua New Guinea","North Solomons"
"San Juan",18.44002301,-66.12997929,1437115.5,"Puerto Rico",""
"Koneurgench",42.31665346,59.16666215,30700,"Turkmenistan","Tashauz"
"Cuamba",-14.78960244,36.53998124,68204.5,"Mozambique","Nassa"
