"city","latitude","longitude","population","country","province"
"Al Musayyib",32.778631,44.28999914,59677.5,"Iraq","Babil"
"Atikokan",48.75039512,-91.61658899,3625,"Canada","Ontario"
"Mesa",33.42391461,-111.7360844,762217.5,"United States of America","Arizona"
"Ragusa",36.93003135,14.72999467,67361,"Italy","Sicily"
"Gode",5.950010192,43.44999874,71671,"Ethiopia","Somali"
"Pyongsan",38.33668968,126.3866418,66260,"North Korea","Hwanghae-bukto"
"Chamdo",31.16668805,97.23327917,93140,"China","Xizang"
"Pula",44.86871991,13.84808467,60338.5,"Croatia","Istarska"
"Cuiaba",-15.56960651,-56.08498519,603143.5,"Brazil","Mato Grosso"
"Esperanza",27.58000775,-109.9299931,3836,"Mexico","Sonora"
"Santa Marta",11.24720624,-74.20165715,417211,"Colombia","Magdalena"
"Sanya",18.25910454,109.5040317,253721,"China","Hainan"
"Tolu",9.535837829,-75.57203862,19719.5,"Colombia","Sucre"
"Santa Maria",-29.68331867,-53.80000838,239211.5,"Brazil","Rio Grande do Sul"
"Dong Ha",16.8499981,107.1333007,17662,"Vietnam","Quảng Trị "
"Pittsburgh",40.4299986,-79.99998539,1535267.5,"United States of America","Pennsylvania"
"Chelyuskin",77.71697329,104.2500085,885,"Russia","Taymyr"
"Corrientes",-27.48996417,-58.80998682,339945,"Argentina","Corrientes"
"Rangoon",16.7833541,96.16667761,3694910,"Myanmar","Yangon"
"Macara",-4.379591859,-79.94998845,11748,"Ecuador","Loja"
"Montpelier",44.25997154,-72.57581323,8183,"United States of America","Vermont"
"Colonia del Sacramento",-34.47999901,-57.84000247,21714,"Uruguay","Colonia"
"Huanuco",-9.920028871,-76.24000818,153052,"Peru","Huánuco"
"Munster",51.97040529,7.620041055,253612.5,"Germany","Nordrhein-Westfalen"
"Kangirsuk",60.02482322,-69.99909713,549,"Canada","Québec"
"Espungabera",-20.45013548,32.77003048,393,"Mozambique","Manica"
"Frankfurt",50.09997683,8.67501542,1787332,"Germany","Hessen"
"Bayamo",20.37954287,-76.64329106,177623,"Cuba","Granma"
"Brokopondo",5.040375792,-55.02001144,6170,"Suriname","Brokopondo"
"Vicuna",-30.02949909,-70.73998214,13496,"Chile","Coquimbo"
"Novolazarevskaya Station",-71.30123475,-11.8502129,35,"Antarctica",""
"Ende",-8.862315655,121.6489465,60930,"Indonesia","Nusa Tenggara Timur"
"Monchegorsk",67.92912111,32.8287349,46934.5,"Russia","Murmansk"
"Port Charlotte",27.00004315,-82.10569666,56806,"United States of America","Florida"
"Kashmar",35.18143007,58.45146033,126643,"Iran","Razavi Khorasan"
"Slyudyanka",51.65383547,103.6988277,14920.5,"Russia","Irkutsk"
"Mekele",13.49998863,39.46998328,95856,"Ethiopia","Tigray"
"Nikolayevsk",50.01610598,45.42610551,9803.5,"Russia","Volgograd"
"Sopur",34.29995933,74.46665849,60725.5,"India","Jammu and Kashmir"
"Machiques",10.07043052,-72.54994918,44936.5,"Venezuela","Zulia"
"Pirassununga",-21.99004148,-47.42998377,51698,"Brazil","São Paulo"
"Hooper Bay",61.53108787,-166.0965648,623,"United States of America","Alaska"
"Ad Damman",26.42819175,50.09967037,1411656,"Saudi Arabia","Ash Sharqiyah"
"Salamanca",40.97040489,-5.670000449,160456.5,"Spain","Castilla y León"
"Pittsfield",42.44819582,-73.25982833,45202,"United States of America","Massachusetts"
"Goundam",16.41699404,-3.666582684,6217.5,"Mali","Timbuktu"
"Nagaoka",37.45041302,138.8600406,187560,"Japan","Niigata"
"Inowroclaw",52.77994244,18.24998653,78302,"Poland","Kuyavian-Pomeranian"
"Sdid Bouzid",35.01669608,9.500004482,42098,"Tunisia","Sidi Bou Zid"
"Boa Vista",2.816092955,-60.66599756,202299.5,"Brazil","Roraima"
"Abau",-10.04260537,148.5650297,230,"Papua New Guinea","Central"
"Mykolayiv",46.96773907,31.984342,352917.5,"Ukraine","Mykolayiv"
"Robore",-18.3295414,-59.75998051,9959,"Bolivia","Santa Cruz"
"Kaka",37.35034161,59.60002071,28463,"Turkmenistan","Ahal"
"Eau Claire",44.81135907,-91.49835331,71296,"United States of America","Wisconsin"
"Mundybash",53.23327395,87.31667517,5870,"Russia","Kemerovo"
"Las Lajas",-38.51626788,-70.36659408,1218,"Argentina","Neuquén"
"Puerto Suarez",-18.94955524,-57.8499679,17273,"Bolivia","Santa Cruz"
