"city","latitude","longitude","population","country","province"
"Ijevan",40.8755556,45.1491667,14737,"Armenia","Tavush"
"Villa Carlos Paz",-31.42000853,-64.50000126,60256,"Argentina","Córdoba"
"Kursk",51.73998008,36.19002844,398742,"Russia","Kursk"
"Naltchik",43.4981059,43.61794714,290333,"Russia","Kabardin-Balkar"
"Chittagong",22.32999229,91.79996741,4224611,"Bangladesh","Chittagong"
"San Martin",-33.06998533,-68.49001612,99974,"Argentina","Mendoza"
"Dubuque",42.50093162,-90.66445073,59834,"United States of America","Iowa"
"EdDamer",17.58997154,33.95998368,94398.5,"Sudan","River Nile"
"Sakata",38.92003908,139.8500577,86507.5,"Japan","Yamagata"
"Banja Luka",44.78040489,17.17997432,221422,"Bosnia and Herzegovina","Serbian Republic"
"Mango",10.35956016,0.470813353,40187,"Togo","Savanes"
"Kapiri Mposhi",-13.96960081,28.65999711,30078,"Zambia","Central"
"Scott Base",-77.84693819,166.7491023,49.5,"Antarctica",""
"Tikhoretsk",45.85310427,40.13774613,62368.5,"Russia","Krasnodar"
"Longview",46.13871991,-122.9369511,51290,"United States of America","Washington"
"Dedougou",12.455001,-3.464000439,45341,"Burkina Faso","Mou Houn"
"Kaga Bandoro",6.980386575,19.18000728,42673.5,"Central African Republic","Nana-Grébizi"
"Challapata",-18.89958413,-66.77999129,8565,"Bolivia","Oruro"
"Kakamega",0.290407327,34.7300142,63426,"Kenya","Western"
"Tecoman",18.92038129,-103.8799748,85450,"Mexico","Colima"
"Santa Cruz",36.97194629,-122.0263904,101530.5,"United States of America","California"
"Zhaltyr",51.63241559,69.83278113,694,"Kazakhstan","Aqmola"
"28 de Noviembre",-51.65003986,-72.30001612,5300,"Argentina","Santa Cruz"
"Lorica",9.241850605,-75.81600305,46688,"Colombia","Córdoba"
"Perth",56.40034161,-3.469979697,39654,"United Kingdom","Perthshire and Kinross"
"Caceres",-16.0500423,-57.51001449,85274,"Brazil","Mato Grosso"
"Hirosaki",40.56999005,140.4700199,171700.5,"Japan","Aomori"
"Ciudad Guzman",19.71041058,-103.4600004,90480,"Mexico","Jalisco"
"Itu",-23.26004148,-47.30001754,228878,"Brazil","São Paulo"
"Muisne",0.609974384,-80.02001001,8252.5,"Ecuador","Esmeraldas"
"Plumtree",-20.47953937,27.8199967,1959.5,"Zimbabwe","Matabeleland South"
"Qalat",32.11226341,66.8867594,12191,"Afghanistan","Zabul"
"Valencia",39.48501752,-0.400012046,806652,"Spain","Comunidad Valenciana"
"Killeen",31.11728538,-97.72748214,120464,"United States of America","Texas"
"Tarragona",41.12036989,1.249990599,107957.5,"Spain","Cataluña"
"Riohacha",11.5403408,-72.90997888,112808.5,"Colombia","La Guajira"
"Al Khums",32.66042116,14.25999752,192502,"Libya","Al Marqab"
"Allahabad",25.45499534,81.84000688,1137219,"India","Uttar Pradesh"
"Tunguskhaya",64.90044293,125.2500187,10,"Russia","Sakha (Yakutia)"
"Grand Forks",47.92527753,-97.0324858,53496,"United States of America","North Dakota"
"Las Heras",-32.82503904,-68.80167668,66663,"Argentina","Mendoza"
"Bloemfontein",-29.11999388,26.22991288,459866.5,"South Africa","Orange Free State"
"Mazar-e Sharif",36.69999371,67.10002803,365432.5,"Afghanistan","Balkh"
"Gila Bend",32.95037762,-112.7246546,2012,"United States of America","Arizona"
"Tombua",-15.80003172,11.85998897,40000,"Angola","Namibe"
"Almenara",-16.17003497,-40.70000696,22173.5,"Brazil","Minas Gerais"
"Mashhad",36.27001996,59.5699967,2318126.5,"Iran","Razavi Khorasan"
"Tataouine",33.00000315,10.46670359,62577,"Tunisia","Tataouine"
"Santa Cruz Cabralia",-16.28000242,-39.0299797,9980.5,"Brazil","Bahia"
"Marovoay",-16.09954832,46.63331864,16513,"Madagascar","Mahajanga"
"Tekax",20.1999931,-89.27998743,20577,"Mexico","Yucatán"
"Acapulco",16.84999086,-99.91597905,683860,"Mexico","Guerrero"
"Xichang",27.88001528,102.2999983,253390,"China","Sichuan"
"Mandalgovi",45.74998395,106.2660095,2984,"Mongolia","Dundgovi"
"Oktyabrsk",49.47306419,57.44490678,27284.5,"Kazakhstan","Aqtöbe"
"Mae Sot",16.71617474,98.57076859,45172,"Thailand","Tak"
"Cubal",-13.03958006,14.23999874,4837,"Angola","Benguela"
"Torbat-e Jam",35.22333966,60.61287878,81753,"Iran","Razavi Khorasan"
"Poughkeepsie",41.70023114,-73.92141585,100670.5,"United States of America","New York"
"Tlaxiaco",17.27040448,-97.68001734,17999.5,"Mexico","Oaxaca"
"Subotica",46.07001609,19.68002844,96704,"Serbia","Severno-Backi"
"Jessore",23.17043194,89.19997107,243987,"Bangladesh","Khulna"
"Los Angeles",-37.46000161,-72.35998661,135334.5,"Chile","Bío-Bío"
"Coroico",-16.18962034,-67.72001144,2361,"Bolivia","La Paz"
"Suzhou",33.6361111,116.9788889,1964000,"China","Anhui"
"Tonsberg",59.26400109,10.42100147,38914,"Norway","Vestfold"
"San Felipe",31.02411277,-114.8496153,18068,"Mexico","Baja California"
"Bestobe",52.49967531,73.0997135,7189,"Kazakhstan","Aqmola"
"Albany",31.57873008,-84.15582992,82280,"United States of America","Georgia"
"Pec",42.66032757,20.3107393,93481.5,"Kosovo","Ðakovica"
"Hios",38.36810895,26.1358101,25422,"Greece","Voreio Aigaio"
"Thohoyandou",-22.95003457,30.48004106,156876.5,"South Africa","Limpopo"
"Xinqing",48.23634381,129.5059346,42617.5,"China","Heilongjiang"
"Hubli",15.35997845,75.12501623,841402,"India","Karnataka"
"Kibiti",-7.729619935,38.95001501,15553,"Tanzania","Pwani"
"Aalborg",57.03371381,9.916593382,111917.5,"Denmark","Nordjylland"
"Limoges",45.82997906,1.249990599,146687.5,"France","Limousin"
"Bourem",16.90037539,-0.349989259,28743,"Mali","Gao"
"Parnaiba",-2.910017478,-41.76996749,125699,"Brazil","Piauí"
"Banska Bystrica",48.73329022,19.14998328,80784,"Slovakia","Banskobystrický"
"Mayumba",-3.416601543,10.65003699,3996,"Gabon","Nyanga"
"Brownsweg",5.020015278,-55.1699506,3639,"Suriname","Brokopondo"
"Bacolod",10.63168825,122.9816817,730587,"Philippines","Negros Occidental"
"Eau Claire",44.81135907,-91.49835331,71296,"United States of America","Wisconsin"
"Yian",47.88039654,125.2999898,39924,"China","Heilongjiang"
"Ongjin",37.93710166,125.3570922,66721,"North Korea","Hwanghae-namdo"
"Astana",51.1811253,71.42777421,335312.5,"Kazakhstan","Aqmola"
"Saratoga Springs",43.08296328,-73.78501591,41891,"United States of America","New York"
"Calais",50.95041587,1.833314167,83317,"France","Nord-Pas-de-Calais"
"Doctor Pedro P. Pena",-22.47998574,-62.29998051,6143,"Argentina","Formosa"
"Tessalit",20.20138837,1.088811807,5869.5,"Mali","Kidal"
"Sabzewar",36.22002301,57.63001176,215910.5,"Iran","Razavi Khorasan"
"Lansdowne House",52.21664349,-87.88332849,120,"Canada","Ontario"
"Uglegorsk",49.08334637,142.0333353,12139.5,"Russia","Sakhalin"
"Birjand",32.88002016,59.21994055,260842.5,"Iran","South Khorasan"
"Mt. Shasta",41.3103583,-122.3093925,3742.5,"United States of America","California"
"Cuito Caunavale",-15.15960569,19.16998205,149,"Angola","Cuando Cubango"
"Virginia Beach",36.85321433,-75.97831873,877475.5,"United States of America","Virginia"
"Thai Nguyen",21.59995933,105.8300154,415000,"Vietnam","Thái Nguyên"
"Tena",-0.979592673,-77.80998987,24149,"Ecuador","Tungurahua"
