"city","latitude","longitude","population","country","province"
"Ben Gardane",33.14039187,11.22002803,16603.5,"Tunisia","Médenine"
"Jizan",16.90655072,42.5565649,100397,"Saudi Arabia","Jizan"
"Turbat",25.99178428,63.07179846,111742.5,"Pakistan","Baluchistan"
"Cuenca",-2.89999225,-78.99999475,281921,"Ecuador","Azuay"
"Pallasovka",50.04773195,46.87733476,9960.5,"Russia","Volgograd"
"Albury",-36.06003538,146.9200138,68534,"Australia","New South Wales"
"Namtu",23.08374473,97.39998734,48591,"Myanmar","Shan"
"Itupiranga",-5.120011781,-49.30002466,21301,"Brazil","Pará"
"Mapai",-22.84265094,31.96305131,201,"Mozambique","Gaza"
"Santiago",8.100369892,-80.98333622,45655,"Panama","Veraguas"
"Nottingham",52.97034426,-1.170016725,565650,"United Kingdom","Nottingham"
"Graaff Reinet",-32.30000649,24.54004187,32958.5,"South Africa","Eastern Cape"
"Karluk",57.57228558,-154.4550273,96,"United States of America","Alaska"
"Ligonha",-15.17567706,37.74001135,3310.5,"Mozambique","Nampula"
"Linhai",28.85000775,121.1199865,202348,"China","Zhejiang"
"Aboa Station",-75.04959349,-13.41671106,15,"Antarctica",""
"El Calafate",-50.33332436,-72.30001612,6329,"Argentina","Santa Cruz"
"Needles",34.84842714,-114.6133507,6246.5,"United States of America","California"
"Bahia Blanca",-38.74002684,-62.2650214,279041,"Argentina","Ciudad de Buenos Aires"
"Harrisburg",40.27359987,-76.88474919,289210,"United States of America","Pennsylvania"
"La Victoria",-22.28960976,-57.93998824,5000,"Paraguay","Alto Paraguay"
"Birao",10.28369916,22.78330155,5641,"Central African Republic","Vakaga"
"Orleans",47.90042116,1.900028441,170725,"France","Centre"
"Aracaju",-10.90002073,-37.11996708,587765.5,"Brazil","Sergipe"
"Hungnam",39.82313641,127.6231555,548702,"North Korea","Hamgyong-namdo"
"Loncoche",-39.37001422,-72.62999597,8653.5,"Chile","La Araucanía"
"Montpelier",44.25997154,-72.57581323,8183,"United States of America","Vermont"
"Bilaspur",22.09042035,82.15998734,436780,"India","Chhattisgarh"
"Kohat",33.60268923,71.43268347,247227,"Pakistan","N.W.F.P."
"Sakata",38.92003908,139.8500577,86507.5,"Japan","Yamagata"
"Monte Plata",18.80700306,-69.78400153,15532,"Dominican Republic","Monte Plata"
"Tres Lagoas",-20.79001137,-51.72000615,64217.5,"Brazil","Mato Grosso do Sul"
"Fuan",27.07042645,119.6200264,81761.5,"China","Fujian"
"Santa Maria",34.94012697,-120.4366386,98092.5,"United States of America","California"
"Marrakesh",31.6299931,-7.999987428,855648,"Morocco","Marrakech - Tensift - Al Haouz"
"Saida",33.56302757,35.36878658,173894,"Lebanon","South Lebanon"
"Gyangze",28.95000165,89.63332963,10000,"China","Xizang"
"Ouagadougou",12.37031598,-1.524723756,992228.5,"Burkina Faso","Kadiogo"
"Bandjarmasin",-3.329991843,114.5800756,588206.5,"Indonesia","Kalimantan Selatan"
"King Sejong Station",-62.2248534,-58.77159876,53.5,"Antarctica",""
"Williston",48.15678794,-103.6280005,12767.5,"United States of America","North Dakota"
"Dover",39.15808657,-75.524703,54662.5,"United States of America","Delaware"
"Bo",7.970016092,-11.74001754,170690.5,"Sierra Leone","Southern"
"Tan An",10.53373557,106.416698,101149.5,"Vietnam","Long An"
"Brainerd",46.35800885,-94.20084986,21202.5,"United States of America","Minnesota"
"Kamenna Obi",53.7936015,81.33879716,40883,"Russia","Altay"
"Uruapan",19.42037661,-102.0700078,250919.5,"Mexico","Michoacán"
"Maizuru",35.4504059,135.3333309,62531.5,"Japan","Kyoto"
"Olinda",-7.999991029,-34.8499506,659554,"Brazil","Pernambuco"
"Satun",6.616701099,100.0666986,34544,"Thailand","Satun"
"Aqtobe",50.28001752,57.16998816,260493,"Kazakhstan","Aqtöbe"
"Crateus",-5.165590394,-40.66600387,40338,"Brazil","Ceará"
"Rankin Inlet",62.81666831,-92.09531946,2403,"Canada","Nunavut"
"Valenca",-13.3596122,-39.08002832,56584.5,"Brazil","Bahia"
"Tessenei",15.11038129,36.65749345,9504,"Eritrea","Gash Barka"
"Coronel Oviedo",-25.44998533,-56.4399506,69693.5,"Paraguay","Caaguazú"
"Kita",13.05040367,-9.483307741,26102,"Mali","Kayes"
"Tampa",27.94698793,-82.45862085,1319232.5,"United States of America","Florida"
"Muscat",23.61332481,58.59331213,660779,"Oman","Muscat"
"Maladzyechna",54.31878908,26.86532629,96055,"Belarus","Minsk"
"Luzhou",28.87998008,105.380017,1537000,"China","Sichuan"
"Puerto Plata",19.7902171,-70.69024747,119897,"Dominican Republic","Puerto Plata"
"Zheleznogorsk",52.3547746,35.40439164,94212,"Russia","Kursk"
"Fresnillo",23.17043194,-102.8599854,102629.5,"Mexico","Zacatecas"
"Beaufort West",-32.34961587,22.56998124,28070.5,"South Africa","Western Cape"
"Caracarai",1.816231505,-61.12767481,11368,"Brazil","Roraima"
"Tumbes",-3.570028871,-80.45998316,105783,"Peru","Tumbes"
"Ouahigouya",13.5704236,-2.419992108,70300,"Burkina Faso","Yatenga"
"Escanaba",45.7456948,-87.06436039,14970,"United States of America","Michigan"
"Ukiah",39.15423667,-123.2108621,21826.5,"United States of America","California"
"Codo",-4.479585756,-43.8799679,83288,"Brazil","Maranhão"
"Perugia",43.11037762,12.38998246,141998,"Italy","Umbria"
"Siracusa",37.0703587,15.28996049,123110,"Italy","Sicily"
"Mercedes",-33.68958576,-65.4699679,49345,"Argentina","San Luis"
"Porvoo",60.40035585,25.66601965,12242,"Finland","Eastern Uusimaa"
"Denizli",37.77039349,29.08002315,342791,"Turkey","Denizli"
"Ipora",-16.45001788,-51.12999048,23354,"Brazil","Goiás"
"Shahjahanpur",27.88037701,79.90503454,320434,"India","Uttar Pradesh"
"Goba",7.010023009,39.97000443,33197,"Ethiopia","Addis Ababa"
"Maastricht",50.85299707,5.677002477,122378,"Netherlands","Limburg"
"Amahai",-3.328131491,128.9404911,26172.5,"Indonesia","Maluku"
"Goiana",-7.559604473,-34.99999312,57764.5,"Brazil","Pernambuco"
"Barletta",41.31999595,16.27000403,99962,"Italy","Apulia"
"Tacloban",11.25043601,125.0000081,234548,"Philippines","Leyte"
"Batouri",4.433694477,14.366606,42271,"Cameroon","Est"
"Tumut",-35.30959023,148.2200378,4873,"Australia","New South Wales"
"Springfield",37.18001609,-93.31999923,180691,"United States of America","Missouri"
"Zeya",53.75001243,127.2665881,26999,"Russia","Amur"
"Ayan",56.45424113,138.1673305,1286,"Russia","Khabarovsk"
"Volta Redonda",-22.51956989,-44.09496769,352971,"Brazil","Rio de Janeiro"
"Corumba",-19.01601113,-57.65000594,70035.5,"Brazil","Mato Grosso do Sul"
"Cao Lanh",10.46700013,105.6359976,149837,"Vietnam","Đồng Tháp "
"Kerewan",13.49399711,-16.09499647,2751,"The Gambia","Lower River"
"Macas",-2.309589011,-78.11999679,20644,"Ecuador","Morona Santiago"
"Manily",62.54999208,165.3000288,10,"Russia","Kamchatka"
"Sao Jose de Ribamar",-2.549987774,-44.06998214,41521,"Brazil","Maranhão"
"Bur Safaga",26.73372866,33.93331864,21035.5,"Egypt","Al Bahr al Ahmar"
"Put Lenina",68.51663047,107.7999727,298,"Russia","Sakha (Yakutia)"
"Yaupi",-2.854310284,-77.93633875,293,"Ecuador","Morona Santiago"
