"city","latitude","longitude","population","country","province"
"Troll Station",-72.01629026,2.533323119,25.5,"Antarctica",""
"As Suwayda",32.70041872,36.5665946,65650,"Syria","As Suwayda'"
"Baures",-13.58001219,-63.58005742,2422,"Bolivia","El Beni"
"Achacachi",-16.08332192,-68.66656865,8447,"Bolivia","La Paz"
"Palmeira dos Indios",-9.416597067,-36.61663863,41095,"Brazil","Alagoas"
"Bayamo",20.37954287,-76.64329106,177623,"Cuba","Granma"
"Bifoum",-0.332913799,10.38323157,134,"Gabon","Moyen-Ogooué"
"Knysna",-34.03292397,23.03331213,33887,"South Africa","Western Cape"
"La Barca",20.28037579,-102.5600037,34897,"Mexico","Jalisco"
"Kenema",7.880409158,-11.18997359,133918.5,"Sierra Leone","Eastern"
"Norman Wells",65.28372703,-126.8499681,650,"Canada","Northwest Territories"
"Diebougou",10.95200113,-3.248000411,12732,"Burkina Faso","Bougouriba"
"Urubamba",-13.30421507,-72.11661646,5985,"Peru","Cusco"
"Manisa",38.63039268,27.43996822,237700,"Turkey","Manisa"
"Fort Yukon",66.56468243,-145.2737789,833,"United States of America","Alaska"
"Wamba",2.140423603,27.98996049,82122,"Congo (Kinshasa)","Orientale"
"Leipzig",51.33540529,12.40998124,523750,"Germany","Sachsen"
"Khorgo",73.48330406,113.6300044,10,"Russia","Sakha (Yakutia)"
"Pogradec",40.89999612,20.66400062,35000,"Albania","Korçë"
"Saint-Georges",46.117145,-70.66665328,26149,"Canada","Québec"
"Mansehra",34.3417914,73.19681352,66486,"Pakistan","Khyber-Pakhtunkhwa"
"Rustenburg",-25.6500248,27.2400321,145020,"South Africa","North West"
"Matamoros",25.87998232,-97.50000248,451394.5,"Mexico","Tamaulipas"
"Chiradzulu",-15.7,35.1833333,1580,"Malawi","Chiradzulu"
"Bitam",2.083657042,11.48337113,13967,"Gabon","Wouleu-Ntem"
"Lamu",-2.26204362,40.91966643,17435,"Kenya","Coast"
"Novoaltaysk",53.39925865,83.95884395,76218,"Russia","Altay"
"Chita",52.05502545,113.4650016,293153.5,"Russia","Chita"
"Karibib",-21.93900292,15.85299646,6898,"Namibia","Erongo"
"Kendu Bay",-0.359578838,34.63999385,91248,"Kenya","Nyanza"
"Sayhut",15.21050437,51.24544023,189,"Yemen","Al Mahrah"
"Castello",39.97041424,-0.05000757,176360,"Spain","Comunidad Valenciana"
"Baykonur",45.69135703,63.24134884,36175,"Kazakhstan","Qyzylorda"
