"city","latitude","longitude","population","country","province"
"Dibaya",-6.509539369,22.87001461,603,"Congo (Kinshasa)","Kasaï-Occidental"
"Luebo",-5.349506817,21.41000036,17682.5,"Congo (Kinshasa)","Kasaï-Occidental"
"Kununurra",-15.76659707,128.7333203,5229.5,"Australia","Western Australia"
"Yichang",30.69997235,111.2800187,675862.5,"China","Hubei"
"Kapan",39.20152061,46.41498572,37724,"Azerbaijan","Z?ngilan"
"Chegdomyn",51.11779584,133.0241178,7485.5,"Russia","Khabarovsk"
"Rancagua",-34.17002155,-70.73998214,222981.5,"Chile","Libertador General Bernardo O'Higgins"
"Sorong",-0.855414206,131.2849991,125535,"Indonesia","Irian Jaya Barat"
"Faisalabad",31.40998069,73.10999711,2561797.5,"Pakistan","Punjab"
"Brindisi",40.64034751,17.93000606,96759,"Italy","Apulia"
"Americana",-22.74994342,-47.32998987,337747,"Brazil","São Paulo"
"Jena",50.93044293,11.58000606,99941.5,"Germany","Thüringen"
"San Luis Obispo",35.28318097,-120.6585889,54759,"United States of America","California"
"Laverton",-28.62700071,122.4040425,316,"Australia","Western Australia"
"Aqsu",52.45019513,71.9597314,8543,"Kazakhstan","Aqmola"
"Zabol",31.02145144,61.48145626,177978.5,"Iran","Sistan and Baluchestan"
"Chauk",20.90847699,94.8230387,85016.5,"Myanmar","Magway"
"Moroni",-11.7041577,43.2402441,85785,"Comoros",""
"Chiramba",-16.89210976,34.65585852,556,"Mozambique","Sofala"
"Kitwe",-12.81003335,28.22002397,402907.5,"Zambia","Copperbelt"
"Paracatu",-17.19958453,-46.86999211,51673.5,"Brazil","Minas Gerais"
"Gore",8.148996048,35.53700451,9352,"Ethiopia","Addis Ababa"
"Lisburn",54.52037884,-6.670016929,12899,"United Kingdom","Dungannon"
"Florence",34.19567629,-79.76279057,43977.5,"United States of America","South Carolina"
"Tsavo",-2.982777894,38.46663367,414,"Kenya","Coast"
"Bandung",-6.950029278,107.5700126,2046859.5,"Indonesia","Jawa Barat"
"George Town",5.413613156,100.3293679,1610101,"Malaysia","Pulau Pinang"
"Tobol",52.69800946,62.57492956,3913.5,"Kazakhstan","Qostanay"
"Gyda",70.88142153,78.46610429,10,"Russia","Yamal-Nenets"
"Ankara",39.92723859,32.86439164,3511689.5,"Turkey","Ankara"
"Chinandega",12.63037762,-87.13004114,132705,"Nicaragua","Chinandega"
"Aswan",24.08750775,32.8989115,277351.5,"Egypt","Aswan"
"Djougou",9.700427265,1.680041869,152708.5,"Benin","Donga"
"Kaedi",16.15000775,-13.49998763,21656,"Senegal","Matam"
"Sorocaba",-23.49000161,-47.46998132,561071.5,"Brazil","São Paulo"
"Cowell",-33.68286782,136.9166451,537,"Australia","South Australia"
"Dong Ha",16.8499981,107.1333007,17662,"Vietnam","Quảng Trị "
"Chinhoyi",-17.35962645,30.18000769,52812,"Zimbabwe","Mashonaland West"
"Puri",19.82042971,85.90001746,201026,"India","Orissa"
"Benoni",-26.14958087,28.32993974,1795672,"South Africa","Gauteng"
"Borovichi",58.39781659,33.89740352,57229,"Russia","Novgorod"
"Berlin",52.52181866,13.40154862,3250007,"Germany","Berlin"
"Lushnje",40.94000113,19.71600348,41469,"Albania","Fier"
"Santos",-23.95372393,-46.33294266,1060201.5,"Brazil","São Paulo"
"Aba",5.100397968,7.34998002,874385,"Nigeria","Abia"
"Kohat",33.60268923,71.43268347,247227,"Pakistan","N.W.F.P."
"Kilkenny",52.65454958,-7.252255291,21401,"Ireland","Kilkenny"
"Tambacounda",13.78035911,-13.68002832,89212,"Senegal","Tambacounda"
"Takamatsu",34.34473696,134.044779,329861.5,"Japan","Kagawa"
"Baton Rouge",30.45794578,-91.14015812,322710.5,"United States of America","Louisiana"
"Kyrenia",35.3259991,33.33300361,26701,"Northern Cyprus",""
"Moranbah",-22.00156533,148.0380334,7357,"Australia","Queensland"
"Penticton",49.50037518,-119.5832799,34035,"Canada","British Columbia"
"Mwene-Ditu",-7.000000388,23.44000565,153328.5,"Congo (Kinshasa)","Kasaï-Oriental"
"Yomou",7.570428079,-9.269987428,2607.5,"Guinea","Nzerekore"
"Chibemba",-15.74959552,14.0800085,1502,"Angola","Huíla"
"Somoto",13.47599712,-86.58299659,20316,"Nicaragua","Madriz"
"Albury",-36.06003538,146.9200138,68534,"Australia","New South Wales"
"Avare",-23.1100248,-48.9300214,70709,"Brazil","São Paulo"
"Aybak",36.26100015,68.04000051,24000,"Afghanistan","Samangan"
"Sivas",39.74541506,37.03498979,245801.5,"Turkey","Sivas"
"Pointe-a-Pitre",16.24147504,-61.5329989,81887.5,"France","Guadeloupe"
"Yingkow",40.67034568,122.2800191,693079.5,"China","Liaoning"
"Arcoverde",-8.420017071,-37.06999597,53066,"Brazil","Pernambuco"
"Bir Lehlou",26.11916669,-9.652522218,350,"Western Sahara",""
"Ratnapura",6.693003132,80.38600257,47832,"Sri Lanka","Ratnapura"
"Spring Hill",28.47894513,-82.54771102,91887.5,"United States of America","Florida"
"Huanren",41.25633059,125.3459818,91384,"China","Liaoning"
"Hagere Hiywet",8.980393696,37.85003048,39412.5,"Ethiopia","Addis Ababa"
"Trondheim",63.41665753,10.41666622,144336,"Norway","Sør-Trøndelag"
"Umuahia",5.532003041,7.486002487,264662,"Nigeria","Abia"
"Ikare",7.530430521,5.759999551,899965.5,"Nigeria","Ondo"
"Standerton",-26.93950682,29.24001339,46057,"South Africa","Mpumalanga"
"Aracati",-4.559994284,-37.77003076,28126.5,"Brazil","Ceará"
"Sicuani",-14.28958128,-71.22997807,20924.5,"Peru","Cusco"
