"city","latitude","longitude","population","country","province"
"Taksimo",56.33153444,114.8899792,10359,"Russia","Buryat"
"Pugachev",52.01476951,48.79437537,26690,"Russia","Saratov"
"Heze",35.22998008,115.4500484,796301,"China","Shandong"
"Yevpatoriya",45.19689109,33.36306921,90588,"Ukraine","Crimea"
"Artashat",39.9538889,44.5505556,20562,"Armenia","Ararat"
"Gorgan",36.83034751,54.48002315,262980,"Iran","Golestan"
"Oum Hadjer",13.30041424,19.68333573,11582.5,"Chad","Batha"
"Oyo",7.850436828,3.929982054,475016.5,"Nigeria","Oyo"
"Fortaleza",-3.750017884,-38.57998132,2958717.5,"Brazil","Ceará"
"Ype Jhu",-23.91002765,-55.45998458,598,"Paraguay","Canindeyú"
"Caracas",10.50099855,-66.91703719,2400339.5,"Venezuela","Distrito Capital"
"Beni",0.490446797,29.45002641,211275.5,"Congo (Kinshasa)","Nord-Kivu"
"Santa Cruz Del Quiche",15.0333031,-91.13329763,23618,"Guatemala","Quiché"
"Isfahan",32.70000531,51.7000378,1572883,"Iran","Esfahan"
"Klyuchi",56.29996014,160.8500162,1089,"Russia","Kamchatka"
"Jacksonville",34.75432436,-77.43055567,72651.5,"United States of America","North Carolina"
"Kanash",55.50912986,47.46866817,49011.5,"Russia","Chuvash"
"Astoria",46.18838096,-123.8299974,9773,"United States of America","Oregon"
"London",51.49999473,-0.116721844,7994104.5,"United Kingdom","Westminster"
"Paita",-5.089987774,-81.12002039,47891.5,"Peru","Piura"
"Szolnok",47.18635622,20.17937781,92367.5,"Hungary","Jász-Nagykun-Szolnok"
"Zalantun",48.00000165,122.7199922,135128,"China","Nei Mongol"
"Itaberaba",-12.5196118,-40.2999797,31722,"Brazil","Bahia"
"Bristol",51.44999778,-2.583315472,492120.5,"United Kingdom","Bristol"
"Vellore",12.92038576,79.15004187,177081,"India","Tamil Nadu"
"Black River",18.03099607,-77.85199748,4229,"Jamaica","Saint Elizabeth"
"East London",-32.97004311,27.87001949,338627,"South Africa","Eastern Cape"
"Keetmanshoop",-26.57389606,18.12999385,16823.5,"Namibia","Karas"
"Puttalan",8.033004084,79.82600454,45661,"Sri Lanka","Puttalam"
"Tunja",5.550448017,-73.37002832,139445.5,"Colombia","Boyacá"
"Chennai",13.08998781,80.27999874,5745531.5,"India","Tamil Nadu"
"Sefra",32.76041506,-0.579949383,51118,"Algeria","Naâma"
"Cody",44.52321128,-109.0571007,8976.5,"United States of America","Wyoming"
"Abbottabad",34.1495034,73.19950069,1032323.5,"Pakistan","N.W.F.P."
"Pine Creek",-13.81617348,131.816698,505,"Australia","Northern Territory"
"Pedro Juan Caballero",-22.54458128,-55.75999211,66029,"Paraguay","Amambay"
"Porto-Novo",6.483310973,2.616625528,267084,"Benin","Ouémé"
"Hoskins",-5.474615459,150.4099816,871,"Papua New Guinea","West New Britain"
"Batemans Bay",-35.68961871,150.2073067,5604,"Australia","New South Wales"
"Saratov",51.57998985,46.0299963,814586.5,"Russia","Saratov"
"Pozo Almonte",-20.2696297,-69.80001367,10830,"Chile","Tarapacá"
"Prachuap Khiri Khan",11.80299605,99.80000169,33521,"Thailand","Prachuap Khiri Khan"
"Baia Mare",47.65945396,23.57906693,134630,"Romania","Maramures"
"Nieuw Amsterdam",5.909986795,-55.07000838,4935,"Suriname","Commewijne"
"Eirunepe",-6.66002114,-69.87380762,19462.5,"Brazil","Amazonas"
"Rafha",29.62021914,43.4948022,64755,"Saudi Arabia","Al Hudud ash Shamaliyah"
"San Matias",-16.35999754,-58.42001062,6352,"Bolivia","Santa Cruz"
"Carora",10.18998395,-70.07999658,121749.5,"Venezuela","Lara"
"Calbayog",12.06718203,124.6041666,55015,"Philippines","Samar"
"Lesozavodsk",45.47475527,133.4297778,39241.5,"Russia","Primor'ye"
"Dubuque",42.50093162,-90.66445073,59834,"United States of America","Iowa"
"Fresno",36.7477169,-119.7729841,540768,"United States of America","California"
"Yendi",9.433725198,-0.016650433,30841.5,"Ghana","Northern"
"Enterprise",31.32781516,-85.84399561,23388.5,"United States of America","Alabama"
"Nigde",37.97600412,34.69400163,91039,"Turkey","Nigde"
"Varzea Grande",-15.65001504,-56.14002059,242088,"Brazil","Mato Grosso"
"Marsabit",2.329998595,37.9799967,15910.5,"Kenya","Eastern"
"Ziniare",12.57699605,-1.293002442,12703,"Burkina Faso","Oubritenga"
"Hagere Hiywet",8.980393696,37.85003048,39412.5,"Ethiopia","Addis Ababa"
"Graz",47.0777582,15.41000484,242780,"Austria","Steiermark"
"Milagro",-2.179622784,-79.59998397,55433.5,"Ecuador","Guayas"
"Labinsk",44.6347807,40.74427242,51594,"Russia","Krasnodar"
"Sasovo",54.34914899,41.90869747,30591.5,"Russia","Ryazan'"
"Ciudad Valles",21.97998781,-99.02001306,112234,"Mexico","San Luis Potosí"
"Bol'sheretsk",52.43898134,156.3593859,10,"Russia","Kamchatka"
"Presidente Dutra",-5.250029685,-44.51998051,30330,"Brazil","Maranhão"
"Aksu",41.15000633,80.25002641,309704.5,"China","Xinjiang Uygur"
"Dondo",-9.690017071,14.43001298,2353,"Angola","Cuanza Norte"
"Yulara",-25.24054075,130.9888932,930,"Australia","Northern Territory"
"Livingston",15.83065388,-88.75623452,12302.5,"Guatemala","Izabal"
"Hamar",60.82000207,11.06900156,29479,"Norway","Hedmark"
"Andoas",-2.902059307,-76.40247888,10,"Peru","Loreto"
"Xianyang",34.3455556,108.7147222,1126000,"China","Shaanxi"
"Goodland",39.34848838,-101.7110374,4258.5,"United States of America","Kansas"
"Lihue",21.98151227,-159.3710063,10694.5,"United States of America","Hawaii"
"Sheberghan",36.65798077,65.73830237,74441,"Afghanistan","Jawzjan"
"Melilla",35.30000165,-2.950011435,107384,"Spain","Melilla"
"Pisco",-13.71003009,-76.21998356,71538,"Peru","Ica"
"Brownsville",25.91997988,-97.50000248,174707,"United States of America","Texas"
"Paulo Afonso",-9.330659161,-38.26565943,85350,"Brazil","Bahia"
"Aleysk",52.49176882,82.77767574,22477.5,"Russia","Altay"
"Autlan",19.77001935,-104.3699966,44912,"Mexico","Jalisco"
"Ambler",67.08648521,-157.8514091,258,"United States of America","Alaska"
"Herisau",47.38329903,9.283302472,15438,"Switzerland","Appenzell Ausserrhoden"
"Makeni",8.880425638,-12.04997278,83116,"Sierra Leone","Northern"
"Rangoon",16.7833541,96.16667761,3694910,"Myanmar","Yangon"
"Komatini",41.13330309,25.41670256,45631,"Greece","Anatoliki Makedonia kai Thraki"
"Colonia del Sacramento",-34.47999901,-57.84000247,21714,"Uruguay","Colonia"
"Baddeck",46.09998842,-60.75397669,852,"Canada","Nova Scotia"
"Yala",6.550490335,101.2850732,120849,"Thailand","Yala"
"Angra do Heroismo",38.65039146,-27.21666976,11136.5,"Portugal","Azores"
"Lundazi",-12.28954832,33.17000606,9540.5,"Zambia","Eastern"
"Ternopil",49.53598024,25.5821488,240222,"Ukraine","Ternopil'"
"Bauru",-22.33002073,-49.08001225,307929.5,"Brazil","São Paulo"
"Ljubljana",46.05528831,14.51496903,284961,"Slovenia","Osrednjeslovenska"
"Kununurra",-15.76659707,128.7333203,5229.5,"Australia","Western Australia"
"Linxia",35.60000917,103.2000468,368478.5,"China","Gansu"
"Leopoldina",-21.53001788,-42.64004358,37412,"Brazil","Minas Gerais"
"Amman",31.95002525,35.93329993,1060000,"Jordan","Amman"
"Shenyeng",41.80497927,123.4499735,4149596,"China","Liaoning"
