"city","latitude","longitude","population","country","province"
"Manado",1.480024637,124.8499914,449497.5,"Indonesia","Sulawesi Utara"
"Uvinza",-5.119598369,30.39002071,52500,"Tanzania","Kigoma"
"Pinas",-3.670022767,-79.64998092,16981,"Ecuador","El Oro"
"Pabna",24.00038129,89.24999385,137888,"Bangladesh","Rajshahi"
"Noumea",-22.26252776,166.4442852,89742.5,"New Caledonia","Sud"
"Mataro",41.53995668,2.45002071,149826,"Spain","Cataluña"
"Piraievs",37.95002077,23.69998979,320881,"Greece","Attiki"
"Xinyang",32.130376,114.0699776,1411944,"China","Henan"
"El Fuerte",26.42041445,-108.6199956,8326.5,"Mexico","Sinaloa"
"At Taif",21.26222801,40.38227901,594065,"Saudi Arabia","Makkah"
"Antioch",36.23333409,36.11667656,154803,"Turkey","Hatay"
"Louangphrabang",19.88453432,102.1416101,77260,"Laos","Louangphrabang"
"Beijing",39.92889223,116.3882857,9293300.5,"China","Beijing"
"Mocoa",1.149993102,-76.62998438,22035,"Colombia","Putumayo"
"Grudziadz",53.48039064,18.75000769,100964.5,"Poland","Kuyavian-Pomeranian"
"Inongo",-1.939999167,18.28001054,30181,"Congo (Kinshasa)","Bandundu"
"Queretaro",20.63001853,-100.3799817,786392.5,"Mexico","Querétaro"
"Sarapul",56.47914817,53.79872107,92622.5,"Russia","Udmurt"
"Saint Gallen",47.42299807,9.361998557,70572,"Switzerland","Sankt Gallen"
"San Jose de Mayo",-34.34995888,-56.7099858,36462,"Uruguay","San José"
"Pedro Juan Caballero",-22.54458128,-55.75999211,66029,"Paraguay","Amambay"
"Puerto Cabezas",14.03334108,-83.38337061,38318,"Nicaragua","Atlántico Norte"
"Sao Borja",-28.65960854,-56.00997685,48450.5,"Brazil","Rio Grande do Sul"
"Waycross",31.21381695,-82.35490625,17445.5,"United States of America","Georgia"
"Tarija",-21.51668537,-64.749986,155513,"Bolivia","Tarija"
"Nizhnekamsk",55.64043968,51.82003048,210363,"Russia","Tatarstan"
"Coroata",-4.12958128,-44.15000309,34129,"Brazil","Maranhão"
"Moyo",3.650408955,31.72001705,22434,"Uganda","Moyo"
"Helong",42.53475384,129.0043632,83032.5,"China","Jilin"
"El Faiyum",29.31003135,30.83996741,311582.5,"Egypt","Al Fayyum"
"Akureyi",65.66657188,-18.10001693,14754,"Iceland","Akureyri"
"Little Rock",34.73608258,-92.33109318,227555,"United States of America","Arkansas"
"Tianshui",34.60001853,105.9199841,649883.5,"China","Gansu"
"Dolo Bay",4.183348001,42.08331213,11810,"Ethiopia","Somali"
"Cape Coral",26.60290977,-81.97968368,117387.5,"United States of America","Florida"
"Mathura",27.4999868,77.67002885,330511,"India","Uttar Pradesh"
"Southampton",50.90003135,-1.399976849,384417,"United Kingdom","Southampton"
"Longview",46.13871991,-122.9369511,51290,"United States of America","Washington"
"Koror",7.345226355,134.4695009,11200,"Palau",""
"Azare",11.68040977,10.19001339,87912.5,"Nigeria","Bauchi"
"Rybinsk",58.05034426,38.81999711,203874.5,"Russia","Yaroslavl'"
"San Luis Potosi",22.16997622,-100.9999956,834852,"Mexico","San Luis Potosí"
"Kirov",54.08518577,34.30482051,33852,"Russia","Kaluga"
"Simla",31.10002545,77.16659704,173503,"India","Himachal Pradesh"
"Ajaccio",41.92706484,8.728293822,46905,"France","Corse"
"Sensuntepeque",13.88004295,-88.63000126,23687.5,"El Salvador","Cabañas"
"Yellowknife",62.44201418,-114.3969814,18658.5,"Canada","Northwest Territories"
"Troll Station",-72.01629026,2.533323119,25.5,"Antarctica",""
"Malegaon",20.5603587,74.52500118,563103,"India","Maharashtra"
"Kivalina",67.73149224,-164.4859034,374,"United States of America","Alaska"
"Shuozhou",39.30037762,112.4200008,408068.5,"China","Shanxi"
"Kimhyonggwon",40.81752016,128.1553194,3839,"North Korea","Ryanggang"
"Vitoria da Conquista",-14.85001219,-40.83999841,272320.5,"Brazil","Bahia"
