"city","latitude","longitude","population","country","province"
"Lusambo",-4.969581687,23.4300321,26803,"Congo (Kinshasa)","Kasaï-Oriental"
"Volsk",52.03471661,47.37430701,62027,"Russia","Saratov"
"Korce",40.61667601,20.76666353,58259,"Albania","Korçë"
"Mahdia",35.48391304,11.04087662,45977,"Tunisia","Mahdia"
"Ouargla",31.96997235,5.340025186,176271,"Algeria","Ouargla"
"Gornyak",50.98808799,81.48767696,9567,"Russia","Altay"
"Mudgee",-32.58960122,149.5801098,5391,"Australia","New South Wales"
"Crescent City",41.7564551,-124.2004916,9439.5,"United States of America","California"
"Granada",37.16497825,-3.585011435,313269,"Spain","Andalucía"
"Karonga",-9.932896302,33.93331864,33325.5,"Malawi","Chitipa"
"Erymentau",51.63032269,73.10493282,19655,"Kazakhstan","Aqmola"
"Agboville",5.940346699,-4.280033611,73027.5,"Ivory Coast","Agnéby"
"Kurgan",55.45995974,65.34499304,329399.5,"Russia","Kurgan"
"Denton",33.21576194,-97.12883651,138952.5,"United States of America","Texas"
"Puke",42.03330302,19.88330448,6495,"Albania","Shkodër"
"Anatuya",-28.46613198,-62.83330713,14133,"Argentina","Santiago del Estero"
"Apatity",67.57307049,33.39304154,64046.5,"Russia","Murmansk"
"Tiraspol",46.85309491,29.63998897,137097,"Moldova","Bender"
"Nagele",5.316612161,39.58330969,11772,"Ethiopia","Addis Ababa"
"Shira",54.49144004,89.95305172,4836,"Russia","Khakass"
"Dushanbe",38.56003522,68.77387935,882822,"Tajikistan","Tadzhikistan Territories"
"Prokopyevsk",53.89997744,86.70999385,242547,"Russia","Kemerovo"
"Taipei",25.03583333,121.5683333,4759522.5,"Taiwan","Taipei City"
"Senmonorom",12.44999711,107.1999997,7944,"Cambodia","Môndól Kiri"
"Shimanovsk",52.00244468,127.6974662,16574.5,"Russia","Amur"
"Myrtle Beach",33.68891136,-78.8869784,37333.5,"United States of America","South Carolina"
"Marathon",48.75039512,-86.36665104,4627,"Canada","Ontario"
"Itajai",-26.89961261,-48.68001083,241421,"Brazil","Santa Catarina"
"Bo",7.970016092,-11.74001754,170690.5,"Sierra Leone","Southern"
"Garbahaarey",3.327003116,42.22700164,12652,"Somalia","Gedo"
"Reynosa",26.07999595,-98.30003117,458997,"Mexico","Tamaulipas"
"Wabag",-5.490000005,143.7180037,3958,"Papua New Guinea","Enga"
"Khujand",40.2899813,69.6199259,291274.5,"Tajikistan","Leninabad"
"Hall Beach",68.76746684,-81.23608303,654,"Canada","Nunavut"
"Gary",41.58039349,-87.33000309,335737,"United States of America","Indiana"
"Sarqan",45.42033999,79.91490474,61329,"Kazakhstan","Almaty"
"Vishakhapatnam",17.73001467,83.30498205,1296089,"India","Andhra Pradesh"
"Boutilimit",17.55038739,-14.70004358,14142,"Mauritania","Trarza"
"Hobbs",32.71261436,-103.1406143,28375.5,"United States of America","New Mexico"
"Al Ladhiqiyah",35.539987,35.77997595,439664,"Syria","Lattakia (Al Ladhiqiyah)"
