"city","latitude","longitude","population","country","province"
"Stockholm",59.35075995,18.09733473,1258654.5,"Sweden","Stockholm"
"Macon",32.85038373,-83.63004806,104932.5,"United States of America","Georgia"
"Moncton",46.08334861,-64.76667749,89051,"Canada","New Brunswick"
"Lokoja",7.800388203,6.739939737,52650.5,"Nigeria","Kogi"
"Villa Carlos Paz",-31.42000853,-64.50000126,60256,"Argentina","Córdoba"
"Shawnee",35.34278973,-96.93378382,29160,"United States of America","Oklahoma"
"Ruzayevka",54.06433433,44.92437903,44635,"Russia","Mordovia"
"Yopal",5.346999095,-72.4059986,61029,"Colombia","Casanare"
"Bratislava",48.15001833,17.11698075,398712,"Slovakia","Bratislavský"
"Apsheronsk",44.46871848,39.72872717,43163.5,"Russia","Krasnodar"
"Mohembo",-18.29956907,21.8000024,757,"Botswana","North-West"
"Bilaspur",22.09042035,82.15998734,436780,"India","Chhattisgarh"
"Lubao",-5.389556052,25.74999385,26142.5,"Congo (Kinshasa)","Kasaï-Oriental"
"Miskolc",48.10040896,20.78001298,210197,"Hungary","Borsod-Abaúj-Zemplén"
"Qingan",46.87185345,127.5118444,53206,"China","Heilongjiang"
"Puerto Varas",-41.32999795,-72.98999984,19569,"Chile","Los Lagos"
"Jalalabad",34.44152692,70.43610347,401697,"Afghanistan","Nangarhar"
"Kouroussa",10.6530031,-9.891998549,14223,"Guinea","Kankan"
"Willcox",32.25321088,-109.8313945,4451.5,"United States of America","Arizona"
"Sumbe",-11.21002765,13.8499967,29638.5,"Angola","Cuanza Sul"
"Kissimmee",28.29205731,-81.4077806,144589.5,"United States of America","Florida"
"Hodrogo",48.96642845,96.7832808,10,"Mongolia","Dzavhan"
"Peter I Island",-68.83286701,90.49999508,0.5,"Antarctica",""
"Olavarria",-36.90003579,-60.3299974,65059,"Argentina","Ciudad de Buenos Aires"
"Apia",-13.84154504,-171.7386416,49812,"Samoa",""
"San Fernando",24.85043276,-98.16001388,25596,"Mexico","Tamaulipas"
"Pisco",-13.71003009,-76.21998356,71538,"Peru","Ica"
"Muconda",-10.59962563,21.31998002,2324,"Angola","Lunda Sul"
"Gogrial",8.533728454,28.1166711,44318.5,"South Sudan","Warap"
"Iseyin",7.970016092,3.590002806,98071,"Nigeria","Oyo"
"Lamu",-2.26204362,40.91966643,17435,"Kenya","Coast"
"Nimule",3.599998595,32.05002274,242,"South Sudan","East Equatoria"
"Ajaccio",41.92706484,8.728293822,46905,"France","Corse"
"Birobidzhan",48.79742067,132.9507889,75022.5,"Russia","Yevrey"
"Djanet",24.5529057,9.482252969,666,"Algeria","Illizi"
"Taloqan",36.72999904,69.54000364,64256,"Afghanistan","Takhar"
