"city","latitude","longitude","population","country","province"
"Keshan",48.02633079,125.8659501,72403,"China","Heilongjiang"
"Abbottabad",34.1495034,73.19950069,1032323.5,"Pakistan","N.W.F.P."
"Bage",-31.32001463,-54.10001591,102519,"Brazil","Rio Grande do Sul"
"Okahandja",-21.97960285,16.91001664,19691,"Namibia","Otjozondjupa"
"Quito",-0.214988181,-78.50005111,1550407,"Ecuador","Pichincha"
"Zixing",25.96997683,113.4000443,6618,"China","Hunan"
"Port Alfred",-33.59951373,26.8800024,9377,"South Africa","Eastern Cape"
"Jelgava",56.65270347,23.71280554,64499,"Latvia","Jelgava"
"Trento",46.08042889,11.11998246,106377,"Italy","Trentino-Alto Adige"
"Nagele",5.316612161,39.58330969,11772,"Ethiopia","Addis Ababa"
"Sandakan",5.842962462,118.107974,341788.5,"Malaysia","Sabah"
"Dublin",32.53745709,-82.91828272,19258.5,"United States of America","Georgia"
"Oslo",59.91669029,10.74997921,707500,"Norway","Oslo"
"Olongapo",14.82957155,120.2827767,265829,"Philippines","Zambales"
"Casper",42.86661989,-106.3124878,56149,"United States of America","Wyoming"
"Tacna",-18.00000079,-70.25001205,261042.5,"Peru","Tacna"
"Mopti",14.48997988,-4.180039715,93269.5,"Mali","Mopti"
"Luan Chau",21.74000399,103.3430047,7335,"Vietnam","Điện Biên"
"Donetsk",48.00000165,37.82998002,874137.5,"Ukraine","Donets'k"
"Ad Diwaniyah",31.9889376,44.92396562,338604.5,"Iraq","Al-Qadisiyah"
"Az Zawiyah",32.76041506,12.71998816,193061.5,"Libya","Az Zawiyah"
"Muramvya",-3.260997006,29.61199862,18041,"Burundi","Muramvya"
"Charlottetown",46.24928164,-63.13132512,36847.5,"Canada","Prince Edward Island"
"Goya",-29.13999266,-59.26998458,71274.5,"Argentina","Corrientes"
"Vellore",12.92038576,79.15004187,177081,"India","Tamil Nadu"
"Temple",31.10209251,-97.36300826,58432,"United States of America","Texas"
"Koundara",12.4800031,-13.29599643,13990,"Guinea","Boke"
"Seremban",2.710492166,101.9400203,336824,"Malaysia","Negeri Sembilan"
"Plovdiv",42.15397605,24.7539823,319089.5,"Bulgaria","Plovdiv"
"Iskandar",41.55073122,69.68074906,111634.5,"Uzbekistan","Tashkent"
"Maydh",10.98009076,47.09752803,30000,"Somaliland",""
"Polyarnyy",69.20521893,33.45024735,18266,"Russia","Murmansk"
"As Salt",32.03919293,35.72721431,110439,"Jordan","Balqa"
"Bucaramanga",7.1300932,-73.12588302,790410,"Colombia","Santander"
"Rio Claro",-22.40996417,-47.56002751,177710,"Brazil","São Paulo"
"Gulbarga",17.34996035,76.82000321,482546.5,"India","Karnataka"
"Huntsville",34.71995953,-86.60999536,185474.5,"United States of America","Alabama"
"Goure",13.98740074,10.2700085,13291.5,"Niger","Zinder"
"Narathiwat",6.431841246,101.8214229,57941.5,"Thailand","Narathiwat"
"Lismore",-28.81665322,153.2931132,28065.5,"Australia","New South Wales"
"Dhuusa Mareeb",5.741999984,46.5080045,447,"Somalia","Galguduud"
"Waitakere",-36.84959959,174.5500069,83400,"New Zealand","Auckland"
"Progress",49.75038576,129.6166772,146,"Russia","Amur"
"Coral Gables",25.71541872,-80.29107874,98700.5,"United States of America","Florida"
"Jatai",-17.87959471,-51.75000431,57135,"Brazil","Goiás"
"Sarasota",27.33612083,-82.53078699,321223.5,"United States of America","Florida"
"Dayton",39.750376,-84.19998743,466067,"United States of America","Ohio"
