"city","latitude","longitude","population","country","province"
"Apolo",-14.71958087,-68.41999455,4189,"Bolivia","La Paz"
"Arawa",-6.228000033,155.5659907,40266,"Papua New Guinea","North Solomons"
"Mae Hong Son",19.30100405,97.96899665,9109,"Thailand","Mae Hong Son"
"Qingyuan",23.7003996,113.0300927,706717,"China","Guangdong"
"Shulan",44.40910972,126.9487264,78092,"China","Jilin"
"Binjai",3.620359109,98.50007524,405494.5,"Indonesia","Sumatera Utara"
"Essen",51.44999778,7.016615355,1157801.5,"Germany","Nordrhein-Westfalen"
"Lorengau",-2.032001997,147.2799966,5806,"Papua New Guinea","Manus"
"Awka",6.210433572,7.06999711,400828.5,"Nigeria","Anambra"
"Carnarvon",-30.94959796,22.13331539,5785,"South Africa","Northern Cape"
"Cornwall",45.01705711,-74.73333012,47601.5,"Canada","Ontario"
"Tororo",0.710381692,34.1699967,96850,"Uganda","Tororo"
"Havana",23.13195884,-82.36418217,2082458.5,"Cuba","Ciudad de la Habana"
"Pori",61.47889467,21.77493933,71526,"Finland","Satakunta"
"Eidsvold",-25.36621784,151.1333483,459,"Australia","Queensland"
"Bunbury",-33.34428384,115.6502429,26683.5,"Australia","Western Australia"
"San Antonio de los Banos",22.89112083,-82.4990835,37676,"Cuba","La Habana"
"Lop Buri",14.80401756,100.6186023,42130.5,"Thailand","Lop Buri"
"Puerto Deseado",-47.75001951,-65.89996749,3305,"Argentina","Santa Cruz"
"Luohe",33.57000388,114.02998,417356,"China","Henan"
"Moradabad",28.8417912,78.75678422,754069.5,"India","Uttar Pradesh"
"Kananga",-5.890042299,22.40001745,614273,"Congo (Kinshasa)","Kasaï-Occidental"
"Aligarh",27.89221092,78.06178788,779103.5,"India","Uttar Pradesh"
"Villa O'Higgins",-48.46790851,-72.55997441,175,"Chile","Santa Cruz"
"Lahti",60.99385968,25.66493445,97508,"Finland","Päijänne Tavastia"
"Jacksonville",30.33002077,-81.66998682,904953.5,"United States of America","Florida"
"Saint-Georges",3.9104706,-51.81000065,1558,"France","Amapá"
"Hlotse",-28.87800298,28.05599764,47675,"Lesotho","Leribe"
"Malabo",3.750015278,8.783277546,155963,"Equatorial Guinea","Bioko Norte"
"Lerwick",60.15003522,-1.149992108,5604,"United Kingdom","Aberdeen"
"Al Quwayiyah",24.07371014,45.28063635,8712,"Saudi Arabia","Ar Riyad"
"Managua",12.15301658,-86.26849166,920000,"Nicaragua","Managua"
"Zhoukou",33.63041363,114.6300468,377061,"China","Henan"
"Iturama",-19.72997272,-50.2000214,21048.5,"Brazil","Minas Gerais"
"Aurora",41.76539512,-88.29999557,273949.5,"United States of America","Illinois"
"Capitol Hill",15.21125368,145.7505761,1764,"Northern Mariana Islands",""
"Skien",59.19998985,9.600023558,73330,"Norway","Telemark"
"Harar",9.319959533,42.15002641,161150,"Ethiopia","Harari"
"Saidu",34.75003522,72.34999182,1860310,"Pakistan","N.W.F.P."
"Magangue",9.229990864,-74.74002222,94912,"Colombia","Bolívar"
"Castello",39.97041424,-0.05000757,176360,"Spain","Comunidad Valenciana"
"Umtata",-31.57999876,28.79001501,108217.5,"South Africa","Eastern Cape"
"Varzea Grande",-15.65001504,-56.14002059,242088,"Brazil","Mato Grosso"
"Halacho",20.47997601,-90.08001612,8116,"Mexico","Yucatán"
"Larache",35.20042116,-6.160022218,114688,"Morocco","Tanger - Tétouan"
"Orange Walk",18.09043194,-88.5599797,18066.5,"Belize","Orange Walk"
"Korf",60.33206545,165.8183435,400,"Russia","Kamchatka"
"Manacapuru",-3.289580873,-60.6199797,55780.5,"Brazil","Amazonas"
"Magdalena",30.61661826,-111.0499506,13402,"Mexico","Sonora"
"Ivanhoe",-32.89960814,144.3000187,265,"Australia","New South Wales"
"Kivalina",67.73149224,-164.4859034,374,"United States of America","Alaska"
"Pematangsiantar",2.961432921,99.061488,275407,"Indonesia","Sumatera Utara"
"Portel",-1.949972718,-50.81998356,10855,"Brazil","Pará"
"Cape Coast",5.11037152,-1.249986004,139265.5,"Ghana","Central"
"Richmond",-20.71626911,143.1333199,296,"Australia","Queensland"
"Changde",29.02999676,111.6800459,993390,"China","Hunan"
"Floriano",-6.769575176,-43.0299681,35923,"Brazil","Piauí"
"Rolim de Moura",-11.73020262,-61.78063237,24516,"Brazil","Rondônia"
"Fuzhou",26.07999595,119.3000459,1892860,"China","Fujian"
"Ndola",-12.99994424,28.65002356,395428.5,"Zambia","Copperbelt"
"Bairnsdale",-37.82959145,147.6099975,9427,"Australia","Victoria"
"Nizhenvartovsk",60.93497438,76.58001786,136385,"Russia","Khanty-Mansiy"
"Maiduguri",11.84996014,13.16001298,704230,"Nigeria","Borno"
"Hilo",19.69999778,-155.0900273,47720.5,"United States of America","Hawaii"
"Kanab",37.04738853,-112.5254936,2861,"United States of America","Utah"
"Blagoveshchensk",50.26660748,127.5333418,206711,"Russia","Amur"
"San Pablo",14.06956626,121.3226098,224203.5,"Philippines","Laguna"
"Gulkana",62.27135276,-145.3821961,119,"United States of America","Alaska"
"Portland",-38.33999957,141.5900032,10324.5,"Australia","Victoria"
"Chilliwack",49.16664878,-121.949983,51942,"Canada","British Columbia"
"Polatsk",55.48938946,28.78598425,79216,"Belarus","Vitsyebsk"
"Bath",51.3837486,-2.350022218,92679,"United Kingdom","Bath and North East Somerset"
"Eldoret",0.520005716,35.26998124,285913.5,"Kenya","Rift Valley"
"Nikolayevsk na Amure",53.14963564,140.730004,27113,"Russia","Khabarovsk"
"Krasnogorsk",48.4615497,142.0899727,3304,"Russia","Sakhalin"
"Freeport",26.53327578,-78.70001306,25383,"The Bahamas",""
"Anxi",40.50043357,95.79998165,17886,"China","Gansu"
"Huarmey",-10.06958047,-78.15999435,9184,"Peru","Ancash"
"Southaven",34.96891075,-90.00345748,79923,"United States of America","Mississippi"
"Sirjan",29.46996991,55.73002437,171007,"Iran","Kerman"
"Cologne",50.93000368,6.950004434,983697.5,"Germany","Nordrhein-Westfalen"
"Severnyy",67.60828798,64.12325883,11562,"Russia","Komi"
"Hamburg",53.55002464,9.999999144,1748058.5,"Germany","Hamburg"
"Tougan",13.06899899,-3.069998409,17590,"Burkina Faso","Sourou"
"Dalnerechensk",45.92728579,133.7223181,25917.5,"Russia","Primor'ye"
"Port-Menier",49.82257774,-64.34799504,263,"Canada","Québec"
"Isafjordur",66.08331647,-23.14996708,1949.5,"Iceland","Vestfirðir"
"Dubbo",-32.25995726,148.5973274,30467.5,"Australia","New South Wales"
"Guayaramerin",-10.82999917,-65.4099974,36008,"Bolivia","El Beni"
"Chipata",-13.62956989,32.64001257,82455,"Zambia","Eastern"
"Mbamba Bay",-11.2829431,34.76660111,8997,"Tanzania","Ruvuma"
"Bac Lieu",9.280375385,105.7199963,187500,"Vietnam","Bạc Liêu "
"Novolazarevskaya Station",-71.30123475,-11.8502129,35,"Antarctica",""
"Denow",38.27715843,67.88716345,143134,"Uzbekistan","Surkhandarya"
"La Crosse",43.80136904,-91.23942855,69599.5,"United States of America","Wisconsin"
"Singida",-4.81961668,34.74003943,47749.5,"Tanzania","Singida"
"Villa Maria",-32.41002562,-63.26002527,76701,"Argentina","Córdoba"
"Gunsan",35.98176575,126.7160215,243743,"South Korea","Jeollabuk-do"
"Sand Point",55.33970868,-160.4971908,667,"United States of America","Alaska"
"Peshawar",34.00501609,71.53500281,1260886.5,"Pakistan","N.W.F.P."
