"city","latitude","longitude","population","country","province"
"Illapel",-31.62960814,-71.17000757,24578,"Chile","Coquimbo"
"Kristiansand",58.16664207,8.000017862,58292,"Norway","Vest-Agder"
"Las Plumas",-43.41627887,-67.24998845,605,"Argentina","Chubut"
"Szombathely",47.22534609,16.62874182,94526,"Hungary","Vas"
"Trincomalee",8.568999036,81.23300155,108420,"Sri Lanka","Trincomalee"
"Paso de los Toros",-32.8100012,-56.51004968,11450,"Uruguay","Tacuarembó"
"Ratchaburi",13.54189821,99.82154496,99722,"Thailand","Ratchaburi"
"Obihiro",42.93041445,143.1700101,169614,"Japan","Hokkaido"
"Caico",-6.459619935,-37.10001998,42378,"Brazil","Rio Grande do Norte"
"Hamilton",-37.73119953,142.0234135,6992.5,"Australia","Victoria"
"Morshansk",53.4547333,41.80436275,46330.5,"Russia","Tambov"
"Sabaya",-19.01626951,-68.38327844,573,"Bolivia","Oruro"
"Chusovoy",58.2934302,57.81304968,61159,"Russia","Perm'"
"Braila",45.29199615,27.96900354,213569,"Romania","Braila"
"Pati",-6.741514873,111.034659,122785,"Indonesia","Jawa Tengah"
"Librazhd",41.20000211,20.3667036,12691,"Albania","Elbasan"
"Fier",40.73000402,19.5730026,69747.5,"Albania","Fier"
"Artemisa",22.81339947,-82.76188399,46024.5,"Cuba","La Habana"
"Azogues",-2.740002015,-78.84003036,51982,"Ecuador","Cañar"
"Bondoukou",8.030425841,-2.800020591,38501.5,"Ivory Coast","Zanzan"
"Cozumel",20.51000002,-86.95000045,67634,"Mexico","Quintana Roo"
"Toliara",-23.35683144,43.68998409,106278,"Madagascar","Toliary"
"Durban",-29.865013,30.98001054,2729000,"South Africa","KwaZulu-Natal"
"May Pen",17.96661521,-77.23328089,89948.5,"Jamaica","Clarendon"
"Linares",24.86038047,-99.57003117,52349.5,"Mexico","Nuevo León"
"San Ramon de la Nueva Oran",-23.13999713,-64.32001225,69461.5,"Argentina","Salta"
"Sanaa",15.3547333,44.20659338,1921926.5,"Yemen","Amanat Al Asimah"
"Uberaba",-19.7799955,-47.9500037,234807,"Brazil","Minas Gerais"
"Ambatondrazaka",-17.83287921,48.41667232,41843,"Madagascar","Toamasina"
"Asbest",57.02304262,61.45804683,77915.5,"Russia","Sverdlovsk"
"Ifakara",-8.129595521,36.68002437,27929.5,"Tanzania","Morogoro"
"Aybak",36.26100015,68.04000051,24000,"Afghanistan","Samangan"
"Plast",54.36850181,60.80852576,15480.5,"Russia","Chelyabinsk"
"Utsunomiya",36.54997703,139.8700048,558808.5,"Japan","Tochigi"
"Jinshi",29.63210472,111.851715,178453,"China","Hunan"
"Phoenix",33.53997988,-112.0699917,2436022.5,"United States of America","Arizona"
"Pingyi",35.51042808,117.6200451,78254,"China","Shandong"
"Kyakhta",50.35267458,106.4526648,12368,"Russia","Buryat"
"Al Bayda",32.76041506,21.62001339,1794,"Libya","Al Jabal al Akhdar"
"Albany",44.62049217,-123.086942,48066.5,"United States of America","Oregon"
"Tecuala",22.40042727,-105.4599817,12752,"Mexico","Nayarit"
"Durazno",-33.41001626,-56.51004968,33981.5,"Uruguay","Durazno"
"Gombe",10.29044293,11.16995357,260312,"Nigeria","Gombe"
"Irati",-25.47003579,-50.65996749,41602,"Brazil","Paraná"
"Batna",35.56995933,6.170000365,269467,"Algeria","Batna"
"Havana",23.13195884,-82.36418217,2082458.5,"Cuba","Ciudad de la Habana"
"Manica",-18.96960569,32.87999792,3713.5,"Mozambique","Manica"
"Sabaneta",19.50499807,-71.34498854,16380,"Dominican Republic","Santiago Rodríguez"
"Manila",14.60415895,120.9822172,7088787.5,"Philippines","Metropolitan Manila"
"Bekasi",-6.217257468,106.972323,1949165,"Indonesia","Jakarta Raya"
"Madaoua",14.07618085,5.95859208,19954,"Niger","Tahoua"
"Venice",45.43865928,12.33499874,270816,"Italy","Veneto"
"Muynoq",43.76832196,59.0213997,13000,"Uzbekistan","Karakalpakstan"
"Esperanza Station",-63.37532865,-57.02590151,152.5,"Antarctica",""
"Stanley",-51.70001097,-57.8499679,2213,"Falkland Islands",""
