"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",63,144,9,"Senior",0,2,70,11,4,4,52,57,2,"few",25
"Female","Female",59,120,4,"Sophomore",7,2,90,30,8,35,39,48,8,"few",100
"Female","Female",67,163,9.5,"Freshman",1,1,0,100,6,8,47,47,4,"few",70
"Female","Female",64,115,6,"Sophomore",3,1,110,10,7,25,44,46,7,"few",99
"Female","Female",66,130,9.5,"Sophomore",4,3,80,30,7,10,57,61,3,"one",0
"Female","Female",62,185,6.5,"Freshman",0,2,92,130,9,20,53,54,3,"dozens",100
"Female","Female",63,130,8,"Senior",2,2,95,30,6,25,63,64,10,"one",90
"Female","Female",65,122,7.5,"Sophomore",6,1,90,30,7,20,51,54,2,"one",60
"Female","Female",59,120,5,"Freshman",2,2,100,60,8,20,47,44,2,"dozens",0
"Female","Female",62,124,8,"Sophomore",2,1,70,40,7,15,58,58,6,"few",50
"Female","Female",66,120,8.5,"Freshman",1,2,90,78,7,10,48,54,9,"few",100
"Male","Male",71,175,9.5,"Junior",3,0,160,20,7,12,42,45,7,"few",25
"Female","Female",69,140,8.5,"Sophomore",0,2,80,0,8,35,54,54,8,"few",95
"Female","Female",65,165,9,"Sophomore",0,3,117,0,7,6,44,45,9,"few",100
"Female","Female",67,148,8,"Senior",13,2,127,300,5,20,59,60,4,"dozens",10
"Female","Female",68,130,8,"Freshman",1,2,130,10,7,40,50,53,7,"few",90
"Female","Female",64,135,8,"Freshman",2,1,100,20,6,15,47,47,7,"few",100
"Female","Female",63,125,6,"Sophomore",3,1,70,12,8,6,48,54,2,"few",75
"Female","Female",66,130,9.5,"Sophomore",3,2,95,120,7,10,48,52,5,"one",100
"Female","Female",62,110,7.5,"Sophomore",2,2,85,75,8,25,51,55,2,"few",85
"Female","Female",64,175,8,"Junior",2,3,95,4,7,30,56,60,2,"one",80
"Female","Female",65,135,8,"Freshman",4,5,85,20,7,10,54,50,3,"one",100
"Male","Male",70,250,11,"Sophomore",1,2,75,1,7,4,45,48,7,"dozens",40
"Male","Male",76,164,13,"Senior",8,2,85,4,10,4,50,50,4,"millions",10
"Female","Female",65,175,7.5,"Freshman",0,2,0,25,7,25,47,62,7,"few",90
"Female","Female",65,143,7.5,"Sophomore",3,1,85,150,9,15,48,48,6,"one",100
"Male","Male",70,165,12,"Freshman",1,1,100,100,9,15,50,51,2,"one",50
"Female","Female",67,244,10,"Sophomore",0,4,55,3,7,10,37,40,5,"one",50
"Female","Female",66,107,6,"Freshman",7,1,30,1,8,6,43,45,7,"millions",50
"Female","Female",64,143,8,"Freshman",5,1,85,30,7,25,45,47,8,"dozens",90
"Female","Female",64,135,8.5,"Sophomore",6,2,85,2,8,15,46,46,4,"few",90
"Male","Male",69,140,9.5,"Freshman",5,1,80,100,5,2,48,50,7,"dozens",10
"Female","Female",62,160,4,"Junior",2,3,83,6,8,0,50,51,3,"one",50
"Male","Male",68,180,9,"Senior",5,4,95,70,6,3,55,58,3,"dozens",90
"Female","Female",68,117,9,"Freshman",5,4,0,1000,7,4,56,53,8,"one",10
"Female","Female",67,165,9,"Freshman",0,2,98,8,8,12,42,42,7,"one",75
"Female","Female",61,119,6,"Sophomore",4,2,57,9,7,14,42,50,2,"few",7
"Female","Female",69,150,9.5,"Sophomore",3,2,80,40,7,15,50,56,2,"few",100
"Female","Female",66,140,9,"Freshman",4,1,80,16,8,20,51,51,10,"few",20
"Female","Female",61,111,5.5,"Sophomore",0,1,70,300,7,12,48,51,4,"few",50
"Female","Female",61,104,6,"Freshman",1,2,85,20,8,15,49,51,2,"few",25
"Male","Male",69,155,9.5,"Junior",3,2,93,32,7,10,49,50,7,"dozens",25
"Female","Female",65,140,8.5,"Sophomore",6,2,85,50,8,30,47,55,1,"few",50
"Female","Female",63,92,7.5,"Junior",0,3,50,0,6,40,39,42,6,"one",100
"Male","Male",72,180,11.5,"Sophomore",2,1,110,20,8,15,48,49,7,"dozens",10
"Female","Female",69,138,9.5,"Freshman",1,2,80,5,6,9,48,48,4,"dozens",95
"Female","Female",66,150,9,"Freshman",5,3,95,10,6,6,45,48,5,"few",60
"Male","Male",67,118,9,"Freshman",11,0,80,85,7,2,47,47,4,"few",70
"Female","Female",59,125,5,"Freshman",2,0,85,12,7,20,58,60,10,"one",99
"Male","Male",69,115,9,"Sophomore",0,1,140,50,7,4,50,46,7,"one",10
"Male","Male",69,140,9,"Sophomore",0,1,90,10,9,4,57,55,4,"few",40
"Female","Female",65,115,6,"Freshman",1,1,80,56,7,15,50,52,2,"few",50
"Male","Male",67,125,8.5,"Freshman",2,3,75,45,8,2,63,63,4,"thousands",10
"Male","Male",75,188,12,"Junior",2,0,100,0,8,9,51,50,7,"dozens",50
"Female","Female",65,96,7.5,"Junior",0,3,34,0,5,14,39,42,9,"one",100
"Male","Male",79,185,15,"Freshman",3,3,120,50,7,6,48,48,4,"few",100
"Female","Female",65,143,8,"Freshman",1,3,75,25,6,10,48,49,2,"few",75
"Male","Male",68,142,9.5,"Junior",2,5,100,1000,7,5,57,64,8,"one",100
"Female","Female",64,128,7,"Sophomore",2,3,102,110,6,13,56,57,6,"dozens",20
"Female","Female",62,170,10.5,"Sophomore",1,1,122,3,5,10,51,52,3,"few",45
"Male","Male",65,138,8.5,"Sophomore",2,4,140,85,8,5,44,45,4,"few",35
"Female","Female",61,117,7,"Freshman",0,1,50,36,7,15,43,52,9,"one",85
"Male","Male",73,192,12.5,"Sophomore",5,3,65,300,8,7,53,55,9,"few",99
"Male","Male",68,140,10,"Junior",0,3,110,150,7,4,52,58,9,"one",75
"Female","Female",64,118,7,"Freshman",0,1,50,100,6,5,49,50,1,"few",50
"Female","Female",61,146,7,"Sophomore",6,1,60,5,7,20,41,47,3,"dozens",100
"Male","Male",68,142,9,"Junior",2,1,124,82,7,2,61,63,3,"one",84
"Female","Female",70,140,9,"Sophomore",5,1,120,41,8,8,54,53,7,"few",75
"Female","Female",67,130,8.5,"Sophomore",0,1,90,0,7,11,49,51,7,"few",70
"Female","Female",66,109,7.5,"Sophomore",1,2,70,20,8,10,43,46,2,"hundreds",20
"Female","Female",69,125,9,"Freshman",1,2,100,150,8,15,46,47,5,"few",100
"Female","Female",62,135,6.5,"Freshman",0,1,80,140,7,8,44,49,9,"few",95
"Female","Female",65,130,8,"Freshman",3,3,85,11,8,11,46,48,7,"few",95
"Female","Female",63,128,7.5,"Freshman",4,2,70,17,8,20,55,58,2,"one",100
"Female","Female",67,130,10,"Sophomore",1,1,0,150,7,15,47,51,8,"hundreds",90
"Male","Male",75,198,13,"Sophomore",0,1,0,30,7,5,44,44,7,"few",90
"Female","Female",61,126,7,"Freshman",0,1,85,15,8,10,48,47,3,"one",80
"Female","Female",66,120,6.5,"Freshman",0,0,0,200,7,8,49,50,3,"one",50
"Female","Female",64,147,8,"Senior",4,2,90,200,7,20,52,53,5,"one",20
"Female","Female",63,124,7.5,"Sophomore",0,3,80,2,8,9,45,50,7,"few",18
"Female","Female",70,135,10,"Freshman",5,2,70,1,6,7,46,53,5,"dozens",90
"Female","Female",67,125,8.5,"Freshman",4,1,110,50,8,10,49,46,6,"dozens",90
"Female","Female",62,125,6.5,"Freshman",10,5,114,200,9,15,47,49,7,"millions",100
"Female","Female",67,188,7.5,"Sophomore",4,1,88,20,7,15,53,55,4,"few",33
"Female","Female",62,123,7,"Freshman",3,4,80,72,7,7,43,43,2,"few",95
"Male","Male",68,172,11,"Junior",2,1,53,30,7,5,42,55,10,"dozens",15
"Female","Female",67,120,7.5,"Freshman",10,4,95,200,8,20,53,56,6,"thousands",100
"Male","Male",73,133,10.5,"Freshman",1,1,91,27,8,5,53,55,3,"few",33
"Female","Female",64,130,7.5,"Junior",2,1,70,140,7,6,50,48,5,"few",60
"Female","Female",64,128,6.5,"Junior",1,2,105,70,7,35,52,54,7,"one",5
"Female","Female",66,105,7.5,"Sophomore",3,1,50,200,6,30,50,58,7,"few",70
"Female","Female",66,119,8,"Freshman",0,0,0,0,7,5,48,48,7,"few",60
"Male","Male",68,149,8.5,"Junior",2,1,0,100,6,6,53,54,7,"few",50
"Female","Female",69,146,8,"Freshman",4,0,80,13,6,20,37,45,4,"thousands",50
"Female","Female",62,144,7,"Sophomore",4,1,93,35,7,9,54,50,6,"few",75
"Female","Female",64,125,7.5,"Freshman",1,3,90,22,7,55,55,57,9,"few",95
"Male","Male",69,138,8,"Freshman",0,0,0,20,7,3,49,51,3,"few",100
"Male","Male",70,175,10.5,"Sophomore",2,1,85,35,7,6,49,50,9,"thousands",100
"Female","Female",63,116,6,"Sophomore",0,2,120,0,6,16,49,48,4,"thousands",10
"Male","Male",76,150,12,"Sophomore",0,1,130,1000,5,3,61,65,1,"one",100
"Female","Female",63,123,6.5,"Sophomore",0,2,64,13,5,16,51,57,8,"hundreds",80
"Male","Male",70,280,13,"Freshman",2,3,85,5,6,5,39,44,4,"thousands",80
"Female","Female",67,130,9.5,"Freshman",30,2,110,200,7,10,48,57,3,"one",30
"Female","Female",69,149,11,"Freshman",2,1,85,110,8,6,54,46,9,"one",80
"Female","Female",66,130,7,"Freshman",4,4,100,10,7,20,39,42,8,"one",30
"Female","Female",67,112,8,"Freshman",3,4,110,45,7,18,65,65,7,"few",25
"Male","Male",70,190,11.5,"Junior",10,2,120,60,7,5,36,55,2,"millions",20
"Female","Female",64,115,7,"Sophomore",2,1,110,3,8,25,45,46,7,"few",45
"Female","Female",63,130,7,"Senior",1,2,101,0,7,20,60,59,3,"one",0
"Female","Female",67,128,7.5,"Sophomore",2,1,90,15,6,12,57,60,7,"one",100
"Female","Female",66,130,8,"Sophomore",0,2,60,32,6,15,41,47,8,"one",95
"Female","Female",66,138,8,"Freshman",1,2,90,20,7,20,49,57,4,"few",75
"Female","Female",67,152,8,"Sophomore",0,0,70,15,7,12,57,56,7,"one",100
"Male","Male",70,150,8.5,"Junior",3,1,100,50,6,12,55,60,7,"one",30
"Male","Male",70,230,12,"Junior",6,3,110,0,7,4,54,55,2,"None",100
"Male","Male",67,180,8.5,"Junior",7,3,120,100,6,4,49,51,2,"one",100
"Female","Female",63,140,8,"Sophomore",0,1,80,26,4,12,40,51,5,"dozens",1
"Male","Male",71,165,12,"Sophomore",3,2,110,3,7,10,42,50,7,"one",80
"Female","Female",63,155,7.5,"Freshman",3,1,95,5,7,35,39,38,8,"one",40
"Female","Female",66,123,8,"Junior",5,8,85,20,6,50,40,41,3,"one",50
"Male","Male",70,155,11,"Sophomore",0,1,135,100,8,5,55,63,1,"millions",50
"Female","Female",66,230,9.5,"Sophomore",0,3,68,5,6,10,45,55,9,"few",10
"Female","Female",66,170,9.5,"Sophomore",0,2,0,150,6,20,42,43,3,"few",80
"Female","Female",66,143,9,"Freshman",3,3,98,0,7,8,47,48,8,"few",50
"Female","Female",63,108,6.5,"Sophomore",2,0,90,30,8,20,48,49,7,"few",10
"Female","Female",68,127,7,"Freshman",0,1,0,500,7,10,43,44,6,"few",50
"Female","Female",66,129,9,"Sophomore",2,3,100,63,6,10,49,51,3,"hundreds",100
"Male","Male",76,240,13.5,"Sophomore",4,1,110,6,7,12,48,59,4,"few",90
"Female","Female",69,130,9,"Sophomore",2,3,90,5,7,9,46,46,5,"one",50
"Female","Female",62,112,6,"Freshman",7,0,99,0,7,20,60,60,10,"few",100
"Female","Female",62,118,7.5,"Sophomore",4,1,80,40,7,6,42,47,7,"one",100
"Female","Female",61,140,6.5,"Freshman",2,3,85,16,7,10,53,56,6,"few",60
"Female","Female",69,135,9.5,"Sophomore",2,3,85,54,6,8,61,59,4,"few",20
"Male","Male",67,140,9.5,"Freshman",3,1,90,40,8,6,43,48,3,"one",15
"Female","Female",63,110,6.5,"Freshman",3,1,60,4,7,12,53,50,8,"millions",50
"Female","Female",68,140,10,"Sophomore",5,3,90,0,7,20,40,45,2,"few",25
"Male","Male",71,185,9,"Freshman",2,4,122,25,7,8,43,44,6,"hundreds",50
"Female","Female",71,155,10,"Freshman",0,1,80,0,8,16,48,48,7,"one",5
"Male","Male",70,141,8,"Freshman",3,0,0,500,7,6,47,47,3,"one",30
"Male","Male",72,212,11.5,"Sophomore",0,0,108,200,8,10,55,52,5,"few",30
"Female","Female",66,124,8,"Freshman",1,3,90,200,6,40,52,60,4,"few",100
"Female","Female",70,125,9,"Freshman",5,1,95,150,7,7,52,58,9,"few",95
"Female","Female",61,130,6,"Freshman",0,2,150,500,8,32,48,50,9,"few",30
"Male","Male",75,178,11.5,"Sophomore",1,0,115,70,6,7,57,55,7,"thousands",30
"Male","Male",70,140,8.5,"Sophomore",8,0,126,34,8,5,56,51,1,"millions",0
"Female","Female",63,134,7.5,"Sophomore",2,1,110,11,5,10,48,49,2,"few",50
"Female","Female",62,110,7,"Freshman",5,2,90,300,7,6,35,35,4,"few",55
"Female","Female",68,135,7.5,"Freshman",4,2,130,5,6,20,47,53,4,"hundreds",50
"Female","Female",66,120,7,"Freshman",17,3,94,75,8,20,54,55,10,"few",46
"Male","Male",70,141,10,"Sophomore",0,1,60,60,7,3,50,61,7,"None",0
"Female","Female",61,108,8,"Freshman",1,1,110,6,7,20,52,51,1,"thousands",100
"Female","Female",62,150,8,"Freshman",10,1,100,0,8,10,36,40,10,"few",100
"Male","Male",75,195,11,"Junior",1,0,80,120,7,12,46,44,4,"few",50
"Male","Male",74,200,11,"Freshman",4,2,100,60,7,14,46,51,6,"few",50
"Female","Female",61,108,6,"Junior",1,1,90,29,6,12,47,55,8,"dozens",70
"Female","Female",72,150,9,"Sophomore",2,2,100,60,7,24,53,54,9,"few",90
"Female","Female",65,110,6,"Sophomore",10,1,90,9,8,45,50,52,6,"one",30
"Male","Male",67,140,9.5,"Junior",0,0,90,50,8,14,55,56,9,"few",0
"Female","Female",68,220,10.5,"Sophomore",1,0,70,10,7,10,47,49,4,"few",40
"Female","Female",64,225,9,"Sophomore",12,2,110,500,8,13,44,53,6,"few",75
"Male","Male",72,160,11,"Sophomore",2,2,90,15,8,10,50,49,4,"few",50
"Male","Male",68,142,10,"Sophomore",0,1,90,20,7,4,50,51,3,"one",10
"Male","Male",71,132,14,"Sophomore",0,1,75,1000,7,7,52,65,9,"dozens",40
"Female","Female",68,160,10,"Freshman",8,1,100,20,8,10,41,43,6,"hundreds",80
"Male","Male",63,123,9,"Sophomore",0,5,105,100,5,3,42,51,3,"few",11
"Female","Female",62,110,6.5,"Freshman",0,0,100,100,8,6,48,49,3,"few",50
"Female","Female",61,100,5.5,"Sophomore",1,4,60,400,7,25,48,50,3,"few",100
"Male","Male",70,215,12,"Sophomore",2,2,95,5,8,12,50,52,2,"thousands",30
"Male","Male",70,165,10,"Sophomore",1,3,105,45,6,3,52,54,9,"hundreds",100
"Female","Female",61,150,8,"Senior",18,1,125,1,6,35,46,50,7,"few",50
"Female","Female",62,103,5.5,"Freshman",0,0,75,64,8,12,45,45,3,"few",51
"Female","Female",64,110,6.5,"Freshman",1,1,75,110,8,6,52,52,2,"few",45
"Female","Female",70,170,9.5,"Freshman",1,5,77,200,6,8,53,65,4,"few",99
"Female","Female",68,159,10,"Freshman",3,4,80,15,6,15,50,52,6,"dozens",90
"Female","Female",64,125,9,"Freshman",5,1,85,50,4,5,50,57,10,"one",100
"Female","Female",63,140,7.5,"Junior",7,5,75,43,7,17,60,62,5,"few",95
"Female","Female",60,126,7.5,"Sophomore",3,4,93,62,7,29,60,60,8,"few",100
"Female","Female",63,103,5,"Freshman",0,0,0,100,8,6,43,50,8,"few",50
"Female","Female",62,105,7.5,"Freshman",1,2,85,65,6,18,44,44,7,"few",100
"Female","Female",63,110,7,"Freshman",2,1,0,100,6,8,49,49,3,"one",40
"Male","Male",72,175,10.5,"Sophomore",1,1,120,74,9,3,42,48,7,"few",50
"Female","Female",63,128,8,"Sophomore",1,1,85,80,7,20,54,53,10,"few",70
"Female","Female",63,136,8,"Sophomore",2,2,110,26,7,60,55,55,5,"few",90
"Male","Male",75,200,12,"Other",6,2,75,150,7,5,40,48,7,"thousands",10
"Male","Male",68,154,9.5,"Junior",4,3,120,300,7,4,52,58,1,"few",46
"Male","Male",70,173,10.5,"Sophomore",1,2,85,5,7,5,58,65,7,"one",15
"Female","Female",67,130,8.5,"Sophomore",2,1,120,50,8,7,45,50,10,"few",10
"Male","Male",65,175,8,"Sophomore",5,3,112,0,6,10,49,45,4,"dozens",40
"Female","Female",69,179,10,"Sophomore",2,2,98,140,6,25,50,50,9,"one",75
"Female","Female",70,172,8.5,"Sophomore",0,2,90,30,8,20,47,48,7,"one",25
"Male","Male",72,160,10.5,"Freshman",3,1,105,200,7,14,55,55,7,"hundreds",100
"Female","Female",61,122,7,"Sophomore",1,1,106,0,8,15,47,48,3,"few",80
"Female","Female",64,114,6.5,"Freshman",2,1,113,0,7,12,47,51,7,"few",50
"Male","Male",66,178,10,"Junior",0,5,145,150,6,8,62,65,5,"few",50
"Female","Female",63,110,7,"Sophomore",5,2,100,100,7,12,42,39,3,"few",3
"Male","Male",72,150,10.5,"Senior",3,1,120,15,9,8,48,50,8,"millions",50
"Female","Female",66,140,8.5,"Sophomore",0,1,82,100,7,12,50,49,4,"few",80
"Female","Female",68,145,9,"Sophomore",3,3,50,100,6,10,39,43,5,"one",100
"Female","Female",67,145,9,"Sophomore",1,1,90,0,7,15,49,48,5,"few",50
"Female","Female",63,112,7,"Freshman",3,1,0,800,7,10,49,48,3,"few",30
"Male","Male",76,211,14,"Junior",3,0,112,2,7,6,57,58,2,"thousands",100
"Female","Female",66,150,8,"Sophomore",9,1,92,15,7,29,47,48,9,"dozens",100
"Male","Male",71,166,10.5,"Freshman",2,2,80,21,7,5,52,53,2,"one",50
"Male","Male",67,141,9.5,"Freshman",0,1,110,300,7,8,50,53,9,"few",60
"Female","Female",64,135,8,"Freshman",2,2,104,16,7,36,49,52,7,"dozens",100
"Female","Female",67,123,8.5,"Freshman",1,1,70,100,8,27,45,45,5,"few",90
"Male","Male",73,180,10,"Junior",1,0,159,50,9,8,50,52,7,"hundreds",0
"Male","Male",68,145,8.5,"Freshman",6,1,75,20,7,4,51,48,2,"one",0
"Female","Female",65,130,8,"Sophomore",1,2,90,20,8,20,54,55,7,"few",50
"Female","Female",67,130,8.5,"Freshman",1,3,80,45,9,15,49,50,4,"few",60
"Female","Female",69,128,10,"Freshman",7,2,117,0,6,12,53,58,3,"few",100
"Female","Female",61,100,5.5,"Freshman",1,1,60,21,7,20,39,42,5,"few",100
"Female","Female",66,130,8.5,"Freshman",2,1,85,20,7,15,55,63,7,"dozens",100
"Male","Male",68,146,9,"Sophomore",2,2,100,5,8,10,54,54,7,"dozens",50
"Female","Female",64,160,7,"Junior",1,1,100,100,7,9,40,41,7,"one",20
"Female","Female",68,150,11.5,"Freshman",15,4,92,20,7,12,44,60,4,"one",35
"Male","Male",69,150,9,"Freshman",2,0,95,80,7,6,42,44,7,"one",90
"Male","Male",69,200,10,"Senior",0,1,80,65,6,5,47,48,5,"None",50
"Male","Male",71,153,8.5,"Freshman",4,3,70,24,8,3,56,48,6,"millions",100
"Female","Female",64,138,8.5,"Sophomore",1,7,124,25,8,18,49,49,4,"one",100
"Female","Female",70,130,9,"Freshman",1,2,85,70,9,20,52,50,1,"few",90
"Female","Female",67,125,10,"Freshman",3,3,70,20,8,8,55,59,2,"few",100
"Female","Female",67,180,9.5,"Junior",7,2,100,13,7,15,54,58,6,"few",75
"Female","Female",62,160,7.5,"Sophomore",1,2,60,24,8,6,38,40,2,"few",100
"Female","Female",66,160,7,"Sophomore",2,2,120,200,7,20,45,45,10,"dozens",20
"Male","Male",67,168,10.5,"Sophomore",10,1,0,9,8,5,45,48,7,"few",100
"Female","Female",64,120,7,"Sophomore",1,3,92,15,8,13,57,57,9,"few",87
"Female","Female",64,130,7.5,"Freshman",4,1,75,35,7,15,48,55,4,"few",100
"Male","Male",71,173,12,"Sophomore",1,0,63,1000,7,50,48,48,5,"few",50
"Male","Male",68,217,9.5,"Freshman",3,1,88,81,10,3,52,50,1,"millions",50
"Male","Male",76,215,13,"Freshman",0,2,90,25,7,4,55,63,8,"few",50
"Female","Female",62,127,5,"Sophomore",3,3,70,15,8,17,51,55,3,"few",100
"Female","Female",64,140,9,"Freshman",1,2,50,100,7,10,37,42,1,"few",50
"Female","Female",64,94,7.5,"Freshman",1,1,0,600,5,5,50,55,4,"one",50
"Female","Female",67,130,7,"Junior",4,2,75,20,7,5,44,40,1,"thousands",99
"Male","Male",74,215,13,"Sophomore",1,5,70,0,6,6,46,42,6,"few",50
"Male","Male",68,215,10,"Sophomore",4,4,100,200,8,7,51,52,7,"one",100
"Female","Female",61,167,4,"Freshman",9,2,0,24,6,15,50,60,10,"one",100
"Female","Female",63,120,7,"Freshman",3,3,102,50,5,20,60,60,4,"one",90
"Male","Male",73,185,12,"Freshman",2,2,85,15,7,5,47,47,4,"few",99
"Male","Male",74,175,12,"Sophomore",1,2,100,22,7,9,52,54,4,"dozens",50
"Male","Male",70,164,9.5,"Freshman",0,2,80,0,4,10,52,55,7,"few",90
"Female","Female",67,135,10,"Sophomore",5,1,100,5,5,10,45,52,7,"few",10
"Female","Female",66,150,8,"Sophomore",6,2,120,0,6,14,49,48,7,"one",20
"Female","Female",65,130,8,"Freshman",2,3,90,110,8,25,49,51,7,"few",90
"Male","Male",65,120,8,"Sophomore",1,2,30,1000,8,3,41,46,1,"one",1
"Female","Female",68,137,9.5,"Sophomore",1,2,80,1,6,13,51,51,7,"one",10
"Female","Other",64,241,9,"Junior",5,3,0,1000,5,5,51,50,1,"None",100
"Female","Female",67,145,8.5,"Sophomore",6,2,100,1,7,12,53,55,7,"few",85
"Female","Female",68,110,8.5,"Sophomore",4,3,110,20,8,10,60,53,8,"few",50
"Female","Female",64,150,7.5,"Junior",0,3,101,200,6,20,52,53,6,"few",10
"Male","Male",76,185,14,"Freshman",11,2,110,150,9,6,46,52,8,"few",100
"Female","Female",65,109,6,"Freshman",1,0,40,18,8,19,44,39,5,"few",30
"Female","Female",65,140,7,"Freshman",2,1,95,8,6,33,50,50,7,"hundreds",75
"Female","Female",64,110,5.5,"Sophomore",0,1,55,44,8,24,47,51,3,"few",50
"Female","Female",62,130,7,"Freshman",0,1,90,40,7,20,52,53,2,"one",70
"Female","Female",67,142,8,"Sophomore",2,3,82,22,7,13,47,53,8,"hundreds",80
"Female","Female",62,157,7.5,"Freshman",2,1,90,2,6,31,51,52,8,"millions",100
"Female","Female",69,194,11,"Sophomore",0,1,90,78,5,20,59,65,4,"few",75
"Female","Female",62,114,7.5,"Freshman",3,2,0,300,7,6,38,38,6,"few",70
"Male","Other",73,205,12,"Junior",1,2,200,140,11,10,53,54,9,"thousands",100
"Male","Male",75,180,11,"Sophomore",2,2,110,15,7,8,54,51,2,"dozens",80
"Male","Male",68,185,9,"Freshman",5,2,80,53,7,9,43,44,5,"few",99
"Female","Female",63,125,8.5,"Freshman",0,1,100,15,7,10,49,52,4,"one",100
"Female","Female",64,217,9,"Sophomore",2,2,90,20,7,20,52,55,2,"None",50
"Male","Male",72,162,11,"Sophomore",1,1,105,20,7,14,53,56,4,"one",84
"Male","Male",71,190,11.5,"Sophomore",10,1,120,50,6,5,46,56,7,"few",100
"Female","Female",65,136,8,"Sophomore",2,1,95,23,7,10,36,36,4,"one",40
"Female","Female",62,129,9.5,"Junior",15,0,90,10,5,20,53,58,7,"one",50
"Female","Female",64,123,7,"Sophomore",0,1,110,400,7,9,45,45,3,"few",50
"Male","Male",69,175,12,"Sophomore",7,3,0,400,7,6,51,54,1,"dozens",5
"Male","Male",71,180,10.5,"Junior",3,2,110,10,8,10,47,48,7,"dozens",50
"Male","Male",74,187,12,"Senior",1,0,140,400,7,6,53,53,10,"few",30
"Female","Female",67,117,8,"Junior",0,1,80,100,7,50,49,46,1,"few",10
"Female","Female",70,159,10.5,"Sophomore",0,2,95,56,7,17,54,58,5,"one",100
"Female","Female",59,130,6.5,"Junior",9,2,60,150,7,3,53,53,7,"few",50
"Male","Male",66,130,9.5,"Sophomore",1,1,90,40,8,3,45,47,7,"dozens",5
"Female","Female",60,150,8,"Freshman",2,3,70,20,7,25,37,38,1,"few",50
"Female","Female",62,150,6.5,"Sophomore",0,4,0,85,10,25,45,50,7,"few",75
"Female","Female",65,175,8.5,"Sophomore",2,3,110,50,6,35,38,40,8,"one",100
"Male","Male",73,170,9.5,"Senior",1,1,101,1000,7,3,45,51,5,"thousands",50
"Female","Female",64,120,7,"Freshman",16,2,110,15,8,10,55,54,3,"few",100
"Female","Female",63,142,7.5,"Sophomore",3,1,85,0,7,30,45,49,1,"few",75
"Male","Male",71,160,12,"Freshman",5,1,85,50,6,5,50,50,1,"dozens",15
"Male","Male",74,180,11,"Freshman",4,3,120,500,8,8,47,48,7,"one",40
"Female","Female",63,144,7.5,"Sophomore",0,2,35,300,6,10,55,55,6,"one",25
"Male","Male",72,175,11.5,"Sophomore",2,2,128,10,6,7,38,39,2,"millions",69
"Female","Female",65,160,7,"Sophomore",1,2,120,0,6,20,54,55,5,"one",50
"Male","Male",67,147,9.5,"Junior",6,2,105,15,7,6,53,50,4,"dozens",87
"Female","Female",63,130,7,"Junior",1,1,110,6,7,5,59,55,4,"hundreds",100
"Female","Female",63,155,8,"Sophomore",7,2,90,70,8,12,57,60,4,"few",95
"Male","Male",68,168,9.5,"Sophomore",1,2,87,4,8,5,49,49,1,"few",20
"Male","Male",70,195,12,"Junior",2,1,100,50,8,4,59,60,1,"one",50
"Male","Male",74,240,13,"Sophomore",0,5,0,0,7,4,60,55,8,"one",85
"Female","Female",68,135,10,"Freshman",1,1,115,200,8,40,52,54,6,"few",90
"Female","Female",69,220,9.5,"Sophomore",0,2,100,54,6,14,51,52,5,"one",70
"Female","Female",63,132,7.5,"Sophomore",0,1,100,0,6,7,46,47,6,"few",25
"Female","Female",66,131,9.5,"Freshman",5,0,0,10,8,5,47,52,2,"few",95
"Female","Female",67,140,7.5,"Sophomore",1,1,110,10,7,25,43,46,2,"one",75
"Female","Female",65,140,7.5,"Freshman",3,2,90,40,8,15,55,65,6,"few",90
"Female","Female",61,115,7,"Freshman",2,2,60,20,7,20,49,52,8,"one",65
"Male","Male",73,190,12.5,"Freshman",9,2,105,300,7,5,42,43,1,"few",80
"Male","Male",68,144,9,"Sophomore",2,2,121,13,4,3,46,48,9,"few",100
"Male","Male",69,135,11.5,"Sophomore",2,2,95,20,7,3,51,58,3,"millions",10
"Female","Female",60,108,6,"Freshman",12,1,110,100,5,14,49,51,9,"few",50
"Female","Female",64,112,7,"Freshman",4,1,100,1000,8,10,44,49,7,"few",85
"Female","Female",65,140,8.5,"Freshman",1,2,99,110,8,12,50,58,3,"few",8
"Female","Female",61,114,6.5,"Sophomore",0,2,90,20,7,7,52,65,6,"one",85
"Male","Male",72,200,9.5,"Junior",0,12,146,50,4,6,53,65,6,"one",6
"Female","Female",67,155,7.5,"Sophomore",1,2,91,0,8,13,40,39,7,"few",50
"Male","Male",72,240,13,"Junior",10,8,100,0,6,7,51,62,7,"few",100
"Male","Male",74,172,13,"Sophomore",0,1,100,50,6,8,54,63,5,"hundreds",20
"Female","Female",68,104,11.5,"Freshman",0,0,0,800,7,12,48,50,9,"one",30
"Female","Female",69,165,11,"Sophomore",5,1,70,5,7,20,46,46,4,"dozens",90
"Female","Female",66,117,8.5,"Sophomore",0,4,100,0,8,20,60,60,5,"few",90
"Female","Female",66,136,7.5,"Senior",6,2,100,1000,7,15,62,64,3,"few",70
"Male","Male",71,160,11.5,"Freshman",0,2,100,0,6,10,52,59,4,"few",50
"Male","Male",68,160,8.5,"Sophomore",5,12,95,500,7,3,63,65,6,"thousands",50
"Female","Female",67,155,9.5,"Sophomore",5,3,100,18,7,11,53,58,7,"few",100
