"version","gender","ethnicity","expectedIncome","healthCare","flightSearch","TProll","TPconfig","foodPreference","burgers","innocentVsGuilty","animalVsLanguage","vision","sexVsLove","abortion","gayMarriage","deathPenalty"
1,"Female","White",100000,"Somewhat_Negative","Probably_Not","Under","WAD","Mac","King","Innocent_Executed","Talk_Animals","Black_White","No_Sex","Usually_Legal","Strongly_Favor","Neutral"
1,"Male","White",75000,"Somewhat_Positive","Probably_Not","Over","WAD","Mac","Ronald","Guilty_Free","Talk_Animals","Blurry","No_Love","Usually_Legal","Strongly_Favor","Neutral"
1,"Male","Asian",50000,"Neutral","Definitely_Not","Over","FOLD","Mac","King","Innocent_Executed","All_Languages","Black_White","No_Sex","Neutral","Neutral","Favor"
1,"Male","Black",75000,"Somewhat_Positive","Probably_Not","Over","WAD","King","King","Guilty_Free","All_Languages","Black_White","No_Sex","Always_Legal","Strongly_Favor","Favor"
1,"Female","Asian",75000,"Neutral","Probably_Not","Over","FOLD","Mac","Ronald","Innocent_Executed","All_Languages","Blurry","No_Love","Usually_Legal","Neutral","Neutral"
1,"Female","White",100000,"Very_Negative","Unsure","Over","WAD","Mac","King","Innocent_Executed","All_Languages","Black_White","No_Sex","Rarely_Legal","Neutral","Oppose"
1,"Female","White",100000,"Neutral","Probably_Yes","Over","FOLD","Mac","King","Guilty_Free","Talk_Animals","Blurry","No_Sex","Always_Legal","Favor","Oppose"
1,"Female","Black",200000,"Somewhat_Positive","Probably_Not","Over","FOLD","King","King","Guilty_Free","All_Languages","Black_White","No_Love","Rarely_Legal","Favor","Favor"
1,"Male","Other",75000,"Somewhat_Positive","Probably_Not","Over","FOLD","King","Ronald","Innocent_Executed","Talk_Animals","Blurry","No_Sex","Usually_Legal","Strongly_Favor","Favor"
1,"Female","White",125000,"Somewhat_Positive","Probably_Yes","Over","FOLD","Mac","Ronald","Innocent_Executed","Talk_Animals","Blurry","No_Sex","Always_Legal","Strongly_Favor","Neutral"
1,"Female","White",75000,"Very_Negative","Probably_Not","Over","FOLD","Mac","Ronald","Guilty_Free","All_Languages","Black_White","No_Sex","Rarely_Legal","Neutral","Neutral"
1,"Female","Other",75000,"Neutral","Probably_Not","Over","FOLD","King","King","Guilty_Free","Talk_Animals","Blurry","No_Sex","Always_Legal","Strongly_Favor","Favor"
1,"Female","White",125000,"Neutral","Probably_Not","Over","WAD","Mac","Ronald","Guilty_Free","All_Languages","Black_White","No_Sex","Always_Legal","Strongly_Favor","Strongly_Favor"
1,"Female","Asian",200000,"Somewhat_Positive","Probably_Yes","Under","WAD","Mac","Ronald","Guilty_Free","All_Languages","Blurry","No_Sex","Rarely_Legal","Strongly_Oppose","Neutral"
1,"Male","Asian",100000,"Neutral","Probably_Yes","Over","WAD","Mac","King","Innocent_Executed","Talk_Animals","Blurry","No_Sex","Rarely_Legal","Strongly_Favor","Strongly_Favor"
1,"Female","White",200000,"Neutral","Probably_Yes","Under","FOLD","Mac","Ronald","Guilty_Free","Talk_Animals","Black_White","No_Love","Neutral","Strongly_Favor","Neutral"
1,"Male","Hispanic",125000,"Somewhat_Negative","Probably_Yes","Over","FOLD","Mac","King","Innocent_Executed","Talk_Animals","Black_White","No_Love","Usually_Legal","Strongly_Favor","Strongly_Favor"
1,"Female","Asian",50000,"Neutral","Probably_Not","Over","WAD","King","King","Innocent_Executed","All_Languages","Blurry","No_Sex","Always_Legal","Neutral","Oppose"
1,"Female","Hispanic",125000,"Neutral","Unsure","Under","FOLD","King","King","Innocent_Executed","All_Languages","Black_White","No_Sex","Always_Legal","Strongly_Favor","Strongly_Favor"
