"gender","greek","homeTown","ethnicity","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","policitalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Female","No","Medium City","Asian","Atheist",2,100,"some","Hillary Clinton",5,10,10,6,8,8,6,6,8,4,7,2,6,6,5,4,3,2,"Democrat",3,7,5,8,10,80,"Unsure"
"Female","No","Medium City","Asian","Atheist",0,200,"some","Hillary Clinton",3,6,10,8,8,10,5,6,9,8,5,6,7,8,8,8,5,3,"Independent",-1,-1,5,8,15,100,"No"
"Male","No","Big City Subrub","Other","Agnostic",3,100,"some","Hillary Clinton",2,9,8,6,5,5,3,0,10,6,10,0,7,4,4,5,3,6,"Democrat",1,3,5,8,0,100,"Yes"
"Male","Yes","Big City Subrub","White","Jewish",3,10000,"closely","Ben Carson",7,6,8,5,7,6,7,5,3,9,8,5,6,10,9,9,3,4,"Republican",5,9,5,9,10,70,"Yes"
"Male","Yes","Big City Subrub","White","Agnostic",2,100,"very closely","Donald Trump",3,7,7,5,3,5,8,0,2,6,7,5,8,5,10,4,3,6,"Independent",0,3,4,8,0,80,"No"
"Male","No","Big City Subrub","Asian","Muslim",3,100,"very closely","Bernie Sanders",0,10,7,10,10,10,6,0,10,10,10,3,10,0,7,5,5,0,"Democrat",10,10,10,5,0,0,"Yes"
"Male","No","Big City","Asian","Atheist",0,10000,"some","Hillary Clinton",5,9,8,5,5,6,6,4,5,2,7,5,2,4,5,5,5,6,"Other",-1,-1,7,4,20,60,"Unsure"
"Male","Yes","Big City Subrub","White","Christian",1,250,"very closely","Hillary Clinton",5,10,1,8,8,0,5,0,5,8,10,0,10,5,10,0,0,10,"Independent",10,10,5,8,0,80,"Yes"
"Male","Yes","Small Town","White","Jewish",0,11111,"Not at all","Hillary Clinton",10,1,10,10,10,8,0,0,0,9,0,0,0,0,0,0,0,0,"Independent",1,1,2,1,5,100,"No"
"Male","No","Big City","Asian","Hindu",0,300,"very closely","Bernie Sanders",3,8,6,10,10,6,5,1,10,10,10,5,10,5,7,7,10,10,"Independent",-1,-1,4,8,15,100,"Unsure"
"Male","No","Big City","Asian","Atheist",5,500,"some","Bernie Sanders",3,10,9,8,7,6,5,4,3,1,5,3,5,5,4,4,3,0,"Other",-1,-1,7,8,5,100,"Unsure"
"Female","Yes","Big City Subrub","Other","Agnostic",0,300,"some","Hillary Clinton",1,0,10,6,8,2,3,1,9,4,5,3,7,8,10,9,6,4,"Democrat",10,10,5,2,10,10,"Yes"
"Female","No","Small Town","White","Agnostic",0,120,"some","Bernie Sanders",3,8,6,4,10,10,3,1,6,6,10,1,3,3,7,6,5,2,"Democrat",6,6,4,8,40,40,"Yes"
"Female","Yes","Big City Subrub","White","Christian",5,80,"some","Unsure",4,10,10,7,10,10,10,5,10,10,10,2,5,5,0,10,10,0,"Other",0,5,3,10,15,100,"Yes"
"Female","Yes","Big City Subrub","Asian","Hindu",7,90,"some","Bernie Sanders",4,5,7,8,9,6,4,6,2,5,6,2,5,5,5,6,7,8,"Democrat",3,5,5,9,0,80,"Yes"
"Female","No","Big City Subrub","White","Agnostic",0,50,"very closely","Bernie Sanders",0,10,1,10,10,10,0,0,5,6,10,0,10,0,10,1,0,9,"Independent",10,10,8,6,10,20,"No"
"Female","No","Medium City","Asian","Hindu",5,200,"some","Bernie Sanders",5,5,5,8,10,5,5,5,8,3,5,2,3,2,3,10,9,5,"Democrat",10,10,5,6,10,100,"Yes"
"Female","Yes","Medium City","White","Agnostic",0,75,"closely","Bernie Sanders",2,10,7,6,8,9,6,0,9,1,10,3,8,7,9,5,2,8,"Democrat",10,10,7,10,20,30,"No"
"Male","No","Medium City","Asian","Buddhist",0,100,"some","Hillary Clinton",5,5,5,10,5,8,8,7,10,5,8,2,5,5,5,5,5,10,"Independent",-1,-1,5,7,0,100,"Yes"
"Female","No","Big City Subrub","Asian","Other Religion",3,100,"some","Bernie Sanders",3,8,6,8,8,10,6,5,4,4,5,5,8,3,8,5,4,4,"Democrat",10,10,8,8,0,50,"Unsure"
"Male","No","Big City","Asian","Buddhist",8,500,"closely","Ted Cruz",5,3,8,4,10,3,3,3,6,2,4,5,2,2,8,8,2,2,"Republican",-1,-1,5,10,0,100,"No"
"Female","No","Big City","Other","Christian",0,100,"some","Unsure",5,5,5,3,0,3,1,7,2,8,10,1,9,9,2,4,2,5,"Independent",2,10,5,8,10,0,"No"
"Female","No","Big City Subrub","Asian","Christian",7,80,"some","Bernie Sanders",8,10,6,10,10,10,1,1,1,5,8,0,7,0,5,6,5,7,"Democrat",4,7,5,7,0,10,"Unsure"
"Male","No","Medium City","Asian","Atheist",2,1000,"some","Hillary Clinton",5,7,7,7,7,7,7,7,7,8,5,5,5,5,5,5,5,5,"Other",-1,-1,5,8,0,90,"Unsure"
"Male","No","Medium City","Asian","Atheist",0,180,"some","Bernie Sanders",5,8,8,5,3,4,5,0,3,3,2,2,2,2,2,2,2,7,"Democrat",10,3,10,10,0,100,"Unsure"
"Male","No","Big City","Asian","Atheist",2,200,"some","Bernie Sanders",2,8,8,10,8,8,6,3,8,5,10,2,5,5,2,4,7,8,"Other",-1,-1,8,7,15,100,"No"
"Female","No","Big City","Asian","Christian",7,714,"some","Bernie Sanders",5,4,7,8,7,6,3,4,5,7,8,4,4,3,2,8,8,6,"Independent",-1,-1,6,7,0,100,"Unsure"
"Female","No","Big City","Asian","Agnostic",0,60,"some","Unsure",5,7,7,8,8,8,6,5,7,9,5,7,5,5,7,8,5,4,"Other",5,5,7,8,0,100,"Unsure"
"Male","No","Big City","Asian","Other Religion",0,120,"Not at all","Hillary Clinton",7,3,6,0,9,9,10,6,10,2,6,10,5,5,10,10,3,2,"Independent",0,0,5,7,0,100,"Yes"
"Male","No","Big City Subrub","White","Christian",7,10000,"very closely","Donald Trump",3,6,8,8,7,3,1,5,10,6,8,0,7,7,3,8,2,1,"Democrat",5,8,4,10,5,100,"Unsure"
"Male","Yes","Big City Subrub","White","Christian",5,150,"some","Hillary Clinton",3,8,5,8,8,5,3,0,6,3,10,2,7,7,9,6,5,5,"Democrat",1,1,3,7,0,100,"Yes"
"Female","Yes","Medium City","White","Christian",6,100,"closely","Marco Rubio",6,5,7,8,8,8,5,6,4,6,6,4,5,5,5,8,6,5,"Independent",5,10,4,10,0,100,"Unsure"
"Male","Yes","Big City Subrub","White","Christian",3,100,"some","Marco Rubio",7,4,5,4,3,4,4,2,10,9,4,2,1,3,4,8,5,0,"Republican",2,5,3,6,0,90,"Unsure"
"Male","No","Small Town","Asian","Agnostic",2,100,"Not at all","Hillary Clinton",5,8,5,8,9,5,0,9,2,0,5,5,5,5,5,3,3,0,"Democrat",-1,-1,8,8,0,100,"No"
