"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"female",62,116,6.5,"Freshman",7,4,100,20,8.5,15,37,47,4,"one",50
"female",68,160,8.5,"Freshman",3,2,115,0,8,9,40,41,6,"few",2
"female",66,135,7.5,"Freshman",0,3,65,150,6.5,5,47,55,3,"few",20
"female",63,170,8,"Freshman",1,1,106,200,8,10,49,48,3,"one",50
"female",62,130,6.5,"Junior",4,1,80,65,7,8,50,54,6,"few",50
"female",64,134,7,"Freshman",1,4,90,0,5,10,53,61,3,"few",99
"female",62,118,7.5,"Freshman",3,2,70,30,7,15,51,51,4,"one",70
"female",66,117,7.5,"Freshman",0,1,90,30,6.5,10,48,53,2,"millions",100
"male",68,156,10,"Freshman",0,4,100,33,8.5,3,50,52,7,"few",53
"female",65,154,11,"Junior",3,3,105,25,7,30,37,36,4,"dozens",30
"female",65,150,8.5,"Sophomore",1,0,100,75,7,14,53,58,7,"few",50
"female",64,140,8,"Freshman",5,4,65,0,7.5,12,52,46,3,"one",55
"male",67,141,9,"Junior",0,1,25,300,7,2,51,51,7,"one",30
"male",74,205,12,"Freshman",0,1,105,8,6.5,5,51,51,7,"dozens",99
"female",65,135,8.5,"Freshman",0,0,75,60,7,8,53,54,6,"few",40
"female",63,125,6.5,"Freshman",1,2,90,300,8,25,53,55,7,"few",100
"female",65,105,6,"Freshman",1,0,22,400,7,20,45,49,7,"few",80
"female",70,150,10.5,"Sophomore",1,2,100,120,8,12,53,55,6,"few",70
"female",69,126,8.5,"Sophomore",2,2,111,500,8.5,6,50,54,1,"one",90
"male",66,173,9.5,"Sophomore",1,3,96,80,8,4,41,47,3,"few",50
"female",64,160,8,"Freshman",3,3,95,50,8,40,52,47,6,"one",98
"female",62,133,7,"Freshman",0,2,88,20,5,10,53,59,6,"dozens",25
"female",61,107,6.5,"Freshman",4,1,104,130,7,22,50,55,8,"few",65
"female",61,131,8,"Freshman",1,3,70,30,7,7,54,57,3,"one",70
"female",67,125,7,"Freshman",0,1,80,20,7,16,58,58,5,"few",99
"male",72,190,10.5,"Freshman",3,1,105,80,7.5,10,45,51,7,"few",60
"female",68,180,9.5,"Freshman",0,1,91,120,8.5,28,41,41,7,"few",90
"female",65,160,10,"Sophomore",1,3,105,105,7,40,55,59,7,"few",50
"male",70,150,9.5,"Junior",0,2,95,20,8,10,50,49,5,"few",10
"male",72,170,11,"Freshman",0,2,110,11,7.5,3,42,47,1,"one",10
"male",73,132,10,"Junior",2,3,150,20,7.5,13,46,48,1,"one",80
"female",63,175,8,"Sophomore",0,2,50,0,6.5,35,39,42,5,"few",0
"female",63,150,8.5,"Freshman",10,1,115,1,7.5,17,50,60,5,"dozens",25
"female",71,150,9,"Freshman",16,2,85,25,7,15,45,45,4,"few",70
"female",65,130,9,"Freshman",1,0,90,60,8,30,53,55,7,"few",90
"female",62,100,7,"Junior",10,3,109,20,5,15,52,56,8,"few",70
"male",67,158,10,"Freshman",0,0,23,5,7,3,45,49,7,"one",10
"female",69,170,9.5,"Freshman",1,1,80,20,6.5,6,51,50,7,"few",90
"female",63,125,6.5,"Sophomore",0,3,110,200,7,20,51,56,2,"few",90
"male",75,265,14,"Freshman",1,3,108,83,7,6,50,51,3,"few",50
"male",70,190,11,"Freshman",3,2,104,20,7.5,7,52,56,7,"dozens",75
"male",69,120,8.5,"Sophomore",0,0,143,40,9,5,49,49,2,"dozens",50
"female",66,160,8,"Sophomore",1,2,85,60,6.5,12,39,40,8,"one",100
"male",69,125,10,"Freshman",0,2,80,8,6,7,54,61,2,"few",100
"female",60,105,5,"Freshman",4,1,70,0,7,10,58,58,5,"few",50
"male",71,160,10.5,"Freshman",9,5,135,35,9,5,49,50,4,"one",75
"female",69,135,8.5,"Freshman",2,2,100,100,7,12,52,52,8,"one",100
"female",66,128,7,"Freshman",0,1,70,200,8,20,50,52,3,"one",40
"male",67,120,8,"Sophomore",0,1,90,20,7,3,48,48,7,"few",50
"female",67,165,8.5,"Sophomore",5,1,120,15,6,15,50,55,3,"dozens",100
"male",73,180,11.5,"Freshman",3,1,115,30,7,5,50,63,10,"thousands",0
"male",70,184,9.5,"Sophomore",0,2,200,0,7.5,7,48,50,2,"one",38
"female",62,105,6.5,"Freshman",5,3,92,20,7,20,45,46,8,"few",50
"male",73,215,11.5,"Sophomore",4,1,100,0,8,14,56,53,7,"one",20
"male",66,110,9,"Sophomore",2,0,20,5,9,2,48,46,3,"one",0
"female",69,173,9.5,"Junior",2,5,100,24,7.5,5,49,49,4,"thousands",100
"female",66,145,8,"Freshman",4,1,60,0,6,15,55,60,4,"few",30
"male",67,171,9.5,"Sophomore",1,3,80,150,8.5,3,53,52,5,"thousands",10
"female",66,137,8.5,"Junior",0,4,150,1,8,54,49,48,2,"dozens",100
"female",65,130,6,"Freshman",2,1,85,70,6.5,30,42,44,7,"few",85
"female",65,153,8.5,"Sophomore",7,1,100,200,7.5,50,47,45,5,"few",50
"female",67,140,7,"Freshman",0,1,80,50,6.5,35,52,53,5,"few",100
"male",69,186,11,"Sophomore",5,2,115,43,5,4,52,50,2,"thousands",70
"female",68,140,7.5,"Sophomore",2,6,108,35,6,13,56,56,5,"few",15
"female",68,164,11,"Freshman",3,1,90,45,7,15,46,46,6,"few",100
"female",63,106,6,"Freshman",0,2,50,25,7,10,48,52,7,"few",60
"female",70,165,9.5,"Freshman",4,1,100,60,7,20,48,44,7,"few",75
"female",70,145,10,"Freshman",10,2,95,20,9,10,52,52,4,"few",50
"female",70,132,7.5,"Sophomore",1,2,90,80,9,25,57,57,7,"few",60
"male",69,160,9,"Freshman",0,2,110,0,6,10,42,38,8,"dozens",5
"female",63,113,7.5,"Freshman",0,1,85,700,7,12,52,53,10,"dozens",75
"male",75,190,14,"Freshman",0,1,110,0,7,10,50,50,2,"one",49
"female",65,185,9,"Freshman",1,1,70,40,6,25,36,37,7,"few",100
"male",71,220,11.5,"Junior",1,2,100,45,8,7,49,49,5,"dozens",50
"male",68,138,10,"Freshman",1,2,111,100,7.5,3,50,52,7,"few",75
"female",59,110,6,"Junior",1,1,75,55,5,8,50,54,6,"few",90
"male",70,160,10.5,"Freshman",0,1,90,94,6,5,49,49,8,"few",70
"male",70,195,10.5,"Freshman",3,3,100,150,7,5,52,50,8,"few",0
"female",66,140,9,"Sophomore",12,1,75,105,7.5,12,42,45,4,"few",100
"female",64,105,7,"Freshman",0,1,100,64,6.5,11,45,46,5,"one",30
"female",60,120,7,"Freshman",0,1,60,120,8,10,39,42,8,"few",40
"female",68,145,9,"Freshman",3,2,101,6,7,10,52,56,9,"few",99
"female",64,125,8.5,"Freshman",13,1,90,43,6.5,20,52,47,6,"one",100
"female",70,140,9.5,"Freshman",7,1,120,15,5,30,46,48,8,"few",50
"female",68,117,9,"Freshman",3,1,90,60,7,32,51,50,4,"few",30
"female",69,180,10,"Freshman",9,0,130,76,6.5,10,46,46,8,"dozens",100
"female",62,112,7,"Freshman",8,2,100,80,7.5,15,45,45,6,"millions",90
"female",62,125,7,"Junior",0,1,95,4,6,21,54,42,4,"one",95
"female",69,185,8.5,"Freshman",5,3,90,25,8.5,20,49,49,6,"dozens",25
"male",72,215,12.5,"Sophomore",8,2,20,0,6,3,50,45,6,"one",0
"female",64,140,8,"Freshman",3,3,75,15,6,11,43,45,6,"one",25
"female",71,140,9.5,"Freshman",5,1,105,25,7,10,55,56,7,"dozens",95
"female",63,155,8,"Senior",3,2,100,10,9,9,47,48,6,"one",98
"female",64,115,7.5,"Sophomore",1,1,80,80,9,10,52,53,6,"one",70
"male",74,190,13,"Freshman",4,1,115,28,7,7,47,49,2,"thousands",35
"male",74,233,13,"Freshman",0,0,20,6,6.5,9,43,48,6,"few",100
"female",64,115,7.5,"Sophomore",0,1,90,110,5.5,40,51,56,3,"few",100
"female",64,130,6.5,"Senior",3,0,30,0,7,40,52,52,6,"one",100
"female",60,110,5,"Freshman",6,3,90,300,7.5,10,47,47,5,"few",100
"female",67,140,7.5,"Freshman",0,0,20,30,8,20,48,46,7,"few",50
"male",66,180,8,"Freshman",0,1,90,10,6.5,3,50,51,3,"few",100
"female",68,132,6.5,"Freshman",2,2,88,15,8,15,43,50,6,"few",99
"female",64,125,6,"Freshman",3,2,90,5,8,10,52,56,4,"few",50
"female",69,200,9,"Sophomore",5,3,85,100,8,7,49,55,3,"few",70
"female",67,200,11,"Freshman",30,4,85,75,7.5,15,52,53,7,"few",50
"female",69,147,9,"Freshman",5,1,90,40,6.5,20,55,56,9,"few",80
"female",65,120,8,"Freshman",3,5,65,100,6,19,52,53,5,"few",45
"female",62,138,7.5,"Freshman",2,3,120,25,8,12,46,47,8,"few",90
"female",62,125,6.5,"Senior",1,0,70,2,6.5,22,60,55,3,"few",33
"female",66,132,7.5,"Freshman",0,0,100,45,8,15,51,52,1,"few",15
"male",72,210,13,"Freshman",0,1,100,20,6,5,43,53,7,"few",75
"male",73,210,12,"Sophomore",0,2,100,100,6,20,41,40,1,"few",90
"female",65,185,10,"Sophomore",0,8,30,6,6.5,15,41,40,6,"few",30
"female",62,115,6.5,"Freshman",0,1,60,150,7,10,50,62,3,"few",100
"female",60,97,5,"Freshman",4,3,85,40,9.5,13,51,52,2,"few",70
"male",77,180,13,"Freshman",0,2,85,10,6,6,59,58,3,"few",30
"female",64,107,8,"Junior",4,4,90,0,6,5,57,57,2,"one",50
"male",70,180,9.5,"Senior",2,1,150,600,8,10,56,58,6,"hundreds",0
"male",65,140,9.5,"Junior",0,2,105,15,7.5,18,41,38,3,"one",40
"female",57,110,5.5,"Sophomore",0,1,110,50,6,25,43,45,10,"millions",100
"female",65,105,7.5,"Sophomore",4,1,74,1,9,10,45,60,2,"few",16
"male",75,225,12,"Junior",3,5,21,5,5,7,52,62,4,"few",3
"male",88,100,8.5,"Freshman",0,2,37,32,9,8,39,41,5,"dozens",13
"male",73,250,11,"Junior",0,1,120,50,6.5,3,52,46,6,"one",25
"female",66,150,7,"Junior",4,0,90,0,7,6,51,50,7,"few",50
"male",70,166,10,"Sophomore",2,1,70,5,8,5,47,48,8,"few",20
"male",72,140,9,"Sophomore",0,0,100,50,8,6,47,45,7,"few",80
"female",62,134,7,"Freshman",0,2,70,20,6.5,10,48,48,4,"few",100
"female",65,135,8.5,"Freshman",3,2,80,40,6,6,55,55,5,"hundreds",90
"male",72,250,12,"Freshman",1,1,75,130,8,4,55,57,6,"dozens",100
"female",64,120,8,"Sophomore",0,0,62,70,6.5,5,39,40,4,"hundreds",2
"female",71,134,9.5,"Freshman",1,2,100,3,6,11,54,52,8,"few",50
"male",68,160,9,"Freshman",0,2,110,1000,5.5,10,50,46,4,"dozens",0
"female",62,115,6,"Freshman",2,2,20,15,6.5,6,52,50,3,"dozens",100
"female",63,114,7.5,"Sophomore",3,1,80,0,7,16,50,54,7,"few",100
"female",65,195,9,"Sophomore",3,4,75,25,6.5,7,50,49,7,"few",10
"female",64,126,7.5,"Freshman",5,2,80,40,8,25,49,53,5,"few",100
"male",72,180,10,"Freshman",2,2,115,0,5,7,48,51,1,"few",10
"female",60,95,5.5,"Freshman",2,0,80,30,8.5,15,60,62,3,"one",90
"male",72,175,10.5,"Sophomore",4,1,141,25,7.5,7,45,49,7,"few",50
"female",67,145,8,"Freshman",4,2,87,200,6.5,25,46,47,7,"one",50
"female",67,147,7.5,"Freshman",1,2,115,1,6,42,44,48,3,"one",25
"female",67,143,9.5,"Freshman",0,2,90,60,6.5,15,37,39,7,"one",50
"male",67,165,10,"Sophomore",0,2,85,0,6.5,6,54,54,5,"one",25
"male",70,155,10,"Freshman",0,3,80,0,6,5,50,60,7,"few",40
"female",64,140,6.5,"Sophomore",4,3,80,25,7.5,9,49,51,9,"dozens",90
"male",70,185,11.5,"Sophomore",2,1,110,6,7,6,49,51,10,"one",50
"male",68,150,9.5,"Freshman",1,3,143,200,10,9,43,44,7,"thousands",100
"male",73,87,10,"Freshman",1,4,90,1000,7,9,54,56,5,"few",1
"female",70,135,9,"Freshman",3,0,79,150,6.5,46,49,51,3,"one",89
"female",62,115,5.5,"Sophomore",2,2,50,800,10,12,50,49,1,"few",40
"female",69,145,9.5,"Freshman",5,2,85,0,6.5,13,40,44,5,"few",100
"male",71,140,9,"Freshman",1,4,95,60,7,5,52,53,1,"thousands",100
"female",64,127,8,"Freshman",0,1,38,200,6,7,47,47,5,"dozens",40
"female",63,130,7,"Freshman",8,2,80,50,7.5,20,43,46,4,"one",50
"female",63,135,8,"Freshman",0,3,70,40,6,36,44,45,10,"one",49
"female",69,139,9,"Freshman",1,0,60,20,9.5,8,44,46,6,"one",20
"female",69,120,10,"Freshman",1,1,100,10,7,15,53,56,7,"one",85
"male",72,168,11.5,"Freshman",0,2,101,6,8,10,45,48,10,"one",0
"male",73,189,10.5,"Freshman",0,0,50,40,7,4,48,49,1,"few",8
"male",70,127,11,"Freshman",0,0,80,70,7.5,4,58,58,8,"millions",50
"male",76,192,12,"Junior",0,1,100,600,8,7,47,65,8,"few",15
"female",67,130,7.5,"Freshman",2,1,100,300,5,50,51,53,7,"few",50
"male",69,157,10.5,"Sophomore",1,2,110,0,6.5,10,55,65,3,"dozens",75
"male",71,170,11,"Junior",1,2,75,80,8,1,51,51,10,"thousands",0
"female",66,150,8.5,"Freshman",0,4,80,150,8.5,10,40,51,8,"few",50
"male",72,190,12,"Freshman",1,1,90,20,8,5,44,49,8,"few",50
"female",64,164,7.5,"Sophomore",0,4,50,150,8,20,60,65,4,"one",100
"female",76,193,13,"Freshman",1,1,75,3,8,4,48,50,5,"few",50
"male",69,143,9,"Freshman",0,1,90,11,7,5,47,51,7,"millions",70
"female",62,105,6,"Sophomore",1,0,70,200,6,25,46,46,7,"one",80
"female",63,124,8.5,"Sophomore",10,9,70,0,8,16,49,50,10,"one",50
"male",70,152,11,"Freshman",0,1,85,30,7.5,13,50,52,5,"dozens",100
"female",66,162,8.5,"Freshman",3,5,85,76,7.5,28,48,50,3,"few",30
"male",74,170,12.5,"Junior",5,2,115,5,7,6,50,54,5,"few",100
"female",65,125,7.5,"Freshman",0,5,110,25,8,15,56,65,4,"few",50
"female",63,135,8.5,"Sophomore",30,8,108,0,8,38,40,40,6,"few",5
"female",65,113,7.5,"Freshman",1,1,100,100,7.5,30,49,52,7,"hundreds",100
"female",65,152,10,"Sophomore",8,1,100,2,7,8,48,51,9,"dozens",50
"male",71,160,11,"Sophomore",0,4,100,4,8,7,43,45,9,"few",40
"female",62,105,6.5,"Sophomore",4,1,85,10,8,10,51,51,5,"few",50
"female",70,160,12,"Freshman",1,2,80,0,5.5,15,41,46,7,"few",70
"male",71,175,11.5,"Freshman",1,1,125,55,8,10,52,52,6,"dozens",50
"female",62,150,5.5,"Sophomore",30,5,120,0,8,20,53,58,9,"few",40
"female",66,125,7,"Freshman",6,2,110,35,8,20,39,40,2,"few",100
"male",71,175,11,"Sophomore",7,1,115,40,9,10,39,65,7,"few",10
"female",60,90,5.5,"Junior",1,3,85,500,8,9,51,59,7,"few",10
"male",68,140,10,"Freshman",4,3,20,3,7.5,6,40,46,10,"few",100
"female",62,95,8,"Freshman",0,1,85,0,8,10,55,65,7,"few",90
"female",67,134,8,"Freshman",1,2,81,25,7,10,56,51,8,"millions",70
"male",65,127,8.5,"Sophomore",14,2,120,120,7.5,3,55,58,5,"few",4
"female",66,160,8.5,"Sophomore",5,1,100,0,7,10,45,45,2,"few",90
"female",63,115,7.5,"Freshman",3,3,80,5,7.5,9,52,52,2,"few",65
"female",67,126,8.5,"Freshman",0,1,70,60,8,10,56,55,4,"few",95
"male",70,185,12.5,"Sophomore",1,1,120,40,8.5,7,50,50,1,"dozens",10
"female",67,130,8,"Sophomore",2,1,100,10,6,30,47,48,5,"few",50
"male",67,140,9,"Freshman",2,2,100,50,7,6,45,45,5,"dozens",90
"female",64,191,8.5,"Freshman",1,1,60,45,8,5,39,41,5,"one",70
"female",70,135,9.5,"Freshman",0,1,127,85,5.5,13,48,50,8,"dozens",14
"male",69,140,10.5,"Freshman",0,1,120,24,6.5,4,50,55,4,"one",15
"male",66,132,9,"Sophomore",0,3,75,70,7.5,3,49,57,1,"thousands",33
"male",66,156,10,"Freshman",0,0,46,85,7.5,15,45,46,4,"hundreds",35
"female",67,119,7,"Freshman",4,0,100,0,7,30,45,51,6,"few",30
"female",63,120,8,"Freshman",2,12,20,50,6.5,20,37,37,9,"one",70
"female",66,120,8,"Freshman",0,0,22,20,7,8,51,52,2,"one",70
"female",64,140,8,"Freshman",3,1,110,55,7,15,46,48,9,"few",100
"female",67,135,9,"Freshman",0,2,80,25,8,23,51,53,10,"few",50
"female",69,130,9,"Freshman",3,1,80,15,8,30,50,57,7,"hundreds",75
"female",68,140,9,"Sophomore",6,1,90,30,8,20,57,59,7,"one",100
"female",65,150,7.5,"Junior",0,1,80,5,6.5,20,53,52,8,"hundreds",100
"female",68,138,9.5,"Freshman",2,3,100,2,7.5,12,50,54,4,"few",100
"female",67,140,9,"Freshman",2,2,80,7,6.5,7,53,54,9,"few",25
"female",61,130,7,"Sophomore",0,1,90,0,9,15,52,57,1,"dozens",100
"female",62,150,7.5,"Freshman",0,1,90,150,7,10,46,49,3,"few",90
"male",66,142,9.5,"Freshman",0,1,112,0,5,15,44,49,5,"one",50
"female",64,142,8,"Junior",11,1,85,80,8,8,48,50,6,"few",50
"male",67,150,10.5,"Senior",4,4,100,4,7,9,60,65,7,"dozens",25
"female",67,210,8.5,"Freshman",4,2,102,200,8.5,10,47,49,7,"few",75
"female",64,120,7,"Freshman",2,1,85,13,9,35,44,40,9,"one",85
"female",66,166,7.5,"Junior",0,2,101,21,6,7,51,55,3,"few",94
"female",68,175,10.5,"Freshman",3,2,95,12,8,8,52,52,5,"few",75
"female",63,119,7.5,"Sophomore",1,6,102,17,7,17,40,41,2,"few",30
"female",62,110,7,"Sophomore",10,2,110,10,6,30,52,56,4,"hundreds",10
"female",68,150,7,"Senior",4,3,94,0,7,30,39,40,4,"one",80
"male",71,150,11.5,"Freshman",3,2,118,200,6.5,10,45,45,7,"one",10
"female",62,106,6.5,"Freshman",0,1,102,40,6.5,20,52,52,6,"thousands",75
"male",71,175,12,"Freshman",0,1,70,35,8,5,50,54,10,"few",50
"male",72,183,12,"Freshman",4,3,105,50,9,3,54,53,10,"dozens",0
"female",65,144,8,"Freshman",13,2,105,20,8,50,44,43,5,"few",30
"female",69,190,12,"Junior",15,1,95,2,9,20,53,45,8,"few",40
"male",71,215,11,"Freshman",0,0,99,0,6,6,48,52,9,"few",50
"female",67,145,9,"Freshman",5,1,90,60,8,20,51,55,9,"few",50
"female",64,150,8.5,"Freshman",2,1,90,30,6,20,48,49,8,"few",70
"female",68,104,9.5,"Freshman",5,1,80,9,8,14,39,47,6,"few",100
"male",69,280,12.5,"Senior",0,1,140,7,5.5,4,56,64,7,"dozens",90
"female",65,103,7,"Freshman",0,1,50,20,8,15,49,48,8,"few",75
"male",67,158,10,"Sophomore",6,2,95,40,6,6,40,43,9,"thousands",60
"female",65,130,6.5,"Freshman",1,0,80,0,7.5,7,49,49,3,"one",2
"male",70,175,12,"Freshman",0,3,100,40,6.5,4,50,52,8,"thousands",100
"male",67,154,10,"Freshman",0,1,94,0,6,11,49,51,7,"few",60
"female",65,135,8.5,"Freshman",1,2,85,200,4.5,20,56,63,9,"few",40
"male",69,212,9.5,"Freshman",1,0,80,85,8,10,42,43,2,"few",50
"female",67,134,7,"Sophomore",1,5,95,30,7,12,59,59,5,"few",35
"male",68,190,12,"Freshman",0,2,80,0,5.5,4,44,44,3,"dozens",100
"female",68,180,9,"Sophomore",10,4,120,5,6,6,64,64,4,"few",90
"male",72,235,11.5,"Freshman",1,0,110,6,8,4,45,60,3,"one",50
"female",62,138,8.5,"Freshman",0,2,20,2,7.5,8,54,52,5,"one",50
"male",72,170,11.5,"Freshman",0,2,125,5,7,6,57,58,6,"one",100
"male",71,178,10.5,"Freshman",0,1,60,30,7.5,6,49,53,5,"dozens",30
"male",72,138,10,"Freshman",3,1,107,45,7.5,3,55,58,8,"one",85
"female",59,115,5,"Freshman",0,2,42,130,7,20,47,58,3,"few",80
"female",66,125,7.5,"Freshman",0,1,70,10,7,10,42,48,9,"few",20
"female",64,190,9,"Sophomore",2,2,100,3,8,13,53,54,8,"one",95
"female",63,150,8.5,"Freshman",2,1,60,56,9,6,46,48,6,"few",50
"male",73,170,10.5,"Sophomore",0,0,70,400,7.5,6,47,51,5,"thousands",0
"female",71,140,8.5,"Sophomore",6,3,96,3,8,30,56,56,4,"dozens",10
"male",72,143,11.5,"Freshman",0,0,80,13,8,9,61,60,4,"few",30
"female",67,151,10,"Freshman",1,1,20,300,5.5,10,38,51,8,"few",50
"female",73,170,12,"Freshman",5,2,98,21,6,1,48,51,6,"few",50
"female",68,152,9.5,"Freshman",1,1,86,200,8.5,9,55,58,7,"few",50
"female",65,150,7,"Sophomore",2,1,85,0,5,20,46,50,6,"few",75
"female",65,100,7.5,"Freshman",0,1,90,10,6,9,45,46,6,"few",10
"male",70,134,8.5,"Freshman",1,1,20,200,9,5,48,50,7,"few",20
"male",73,165,13,"Freshman",2,1,150,0,6.5,3,47,54,4,"few",70
"female",67,280,11,"Sophomore",2,3,40,0,6,22,43,49,4,"dozens",95
"female",67,145,9.5,"Freshman",2,1,110,0,7,8,46,49,3,"thousands",100
"male",71,155,9.5,"Senior",4,2,110,2,8,3,54,58,9,"few",100
"female",68,127,9.5,"Freshman",0,2,98,35,7.5,15,54,62,8,"few",25
"female",64,155,8.5,"Freshman",4,2,105,35,6.5,14,39,42,3,"few",75
"male",70,160,11.5,"Freshman",7,2,158,15,6.5,4,55,52,4,"few",60
"female",67,130,9,"Freshman",2,1,75,11,8,10,52,53,7,"dozens",100
"male",70,170,12,"Freshman",2,3,110,0,8,3,46,40,7,"dozens",100
"female",68,132,8,"Freshman",1,2,90,42,6,10,51,50,3,"one",75
"female",68,127,7.5,"Freshman",1,3,93,36,6.5,20,51,52,1,"few",100
"male",70,142,9.5,"Freshman",0,2,100,30,7,5,48,52,3,"one",100
"male",72,161,10.5,"Freshman",1,3,105,59,5,3,56,57,2,"hundreds",27
"female",62,116,7,"Freshman",1,3,100,10,6.5,30,52,54,9,"few",40
"male",72,210,11,"Senior",11,1,90,120,7,10,55,57,5,"one",100
"female",62,110,6,"Freshman",4,1,80,40,7,15,48,49,6,"millions",100
"female",67,141,9,"Sophomore",2,8,30,11,6,5,36,42,9,"few",25
"male",73,185,13,"Freshman",5,0,130,4,6,3,38,40,2,"one",25
"female",61,110,6.5,"Junior",0,3,70,15,7,4,51,55,3,"one",50
"female",69,165,8.5,"Freshman",3,2,112,51,6.5,25,48,50,4,"few",100
"female",64,180,8,"Sophomore",2,1,60,100,7,10,50,58,2,"dozens",50
"female",65,150,7,"Freshman",0,0,60,20,6,12,40,38,3,"few",5
"female",65,115,8,"Freshman",1,1,80,61,7,19,56,62,2,"thousands",75
"female",64,135,7,"Freshman",2,2,80,100,8.5,25,52,51,8,"dozens",50
"female",62,119,6.5,"Junior",2,1,85,0,5,30,47,53,6,"few",10
"female",65,160,9.5,"Sophomore",5,1,50,1000,6.5,6,56,57,5,"few",60
"female",64,135,8,"Freshman",1,2,90,5,8,50,54,56,2,"few",50
"male",69,197,8.5,"Freshman",0,1,85,10,6.5,4,52,53,7,"few",5
"female",65,135,7,"Freshman",1,1,90,4,4.5,12,55,56,8,"dozens",100
"female",68,110,7,"Freshman",0,0,70,25,7,6,47,47,8,"few",80
"female",68,163,10,"Freshman",3,2,119,24,5,12,49,51,4,"few",75
"female",66,86,8,"Freshman",0,0,20,1000,5.5,8,47,50,2,"few",20
"female",67,115,8,"Sophomore",3,1,90,20,6,15,51,49,8,"few",75
"male",70,145,10.5,"Freshman",0,1,95,40,8,12,48,50,3,"one",100
"male",65,155,8.5,"Freshman",1,1,90,10,7,6,45,47,7,"dozens",95
"male",71,186,9.5,"Freshman",0,1,28,65,7.5,7,46,50,5,"one",80
"male",63,108,7,"Freshman",0,1,40,200,9,9,50,50,9,"few",0
"male",67,132,9,"Junior",1,1,31,300,6,4,44,47,5,"few",70
"female",61,125,7,"Freshman",0,0,83,25,5,10,65,56,4,"few",100
"male",72,166,11.5,"Freshman",4,6,80,5,7,2,45,36,3,"few",50
"female",67,160,9,"Freshman",6,3,95,300,7,30,49,54,7,"few",90
"male",69,150,9,"Sophomore",0,1,105,5,7.5,10,46,56,3,"thousands",50
"female",71,167,11,"Sophomore",11,2,80,15,10,12,53,52,9,"few",60
"male",71,190,11,"Sophomore",1,3,140,3,5,11,36,48,7,"few",33
"female",66,135,8.5,"Sophomore",1,3,70,11,6.5,8,40,46,7,"millions",30
"female",67,121,8.5,"Freshman",5,0,100,40,7,8,56,57,3,"few",50
"female",66,125,7.5,"Freshman",2,0,90,140,8,15,52,64,8,"dozens",50
"female",63,150,9.5,"Freshman",3,2,100,40,4,30,48,51,6,"few",20
"female",63,126,9,"Sophomore",3,1,85,0,6.5,16,51,55,3,"few",99
"female",60,120,7,"Sophomore",4,7,80,1,11.5,10,56,55,3,"one",100
"male",69,175,8.5,"Sophomore",0,0,85,24,8,7,57,55,3,"one",40
"male",72,180,11,"Sophomore",3,1,120,150,7,4,49,50,5,"dozens",50
"female",64,105,8,"Freshman",0,1,50,150,7,15,47,51,3,"millions",10
"male",69,185,10.5,"Freshman",2,2,105,60,9,8,50,50,6,"one",35
"female",65,104,8,"Sophomore",7,3,40,8,5,35,37,39,3,"few",100
"male",71,120,7,"Freshman",3,1,120,0,8,10,45,45,3,"dozens",10
"female",65,125,8.5,"Freshman",2,1,90,10,8,75,52,52,7,"few",50
"female",66,150,8,"Freshman",2,1,70,40,7,8,49,49,3,"one",100
"female",67,170,9,"Freshman",3,3,70,10,7.5,14,45,42,4,"one",50
"female",65,155,8.5,"Sophomore",2,2,90,150,7,25,48,48,4,"few",45
"male",73,185,11,"Freshman",1,6,105,0,8,5,50,50,4,"dozens",100
"female",68,148,10.5,"Freshman",0,1,63,1,8,6,52,58,8,"few",15
"male",63,120,8.5,"Freshman",0,1,90,40,6,3,40,60,5,"one",20
"male",70,190,11,"Sophomore",4,1,100,0,6.5,5,52,52,5,"one",50
"male",73,186,13,"Freshman",2,2,100,50,7.5,5,38,40,4,"few",20
"female",68,190,10,"Junior",3,3,100,20,7,10,50,52,9,"few",35
"female",56,94,10,"Freshman",0,0,30,30,7.5,5,42,45,8,"one",25
"female",62,100,5.5,"Freshman",3,1,30,100,7,7,47,47,2,"few",10
"female",70,141,8.5,"Freshman",4,1,92,50,6,44,50,53,6,"few",68
"male",68,118,10,"Freshman",1,1,60,30,6,4,55,56,7,"millions",20
"female",66,125,7.5,"Freshman",4,5,100,0,7,10,48,55,4,"few",50
"female",62,164,7,"Freshman",0,2,95,5,6,30,54,54,9,"few",100
"male",68,145,9.5,"Freshman",0,2,80,130,8,17,54,56,7,"one",40
"female",64,110,7,"Sophomore",6,1,90,26,8,15,55,57,8,"few",70
"female",66,138,6.5,"Sophomore",1,2,105,80,6,30,60,60,1,"millions",100
"male",68,125,9.5,"Freshman",0,1,85,5,6,8,46,50,8,"dozens",0
"female",66,131,9.5,"Junior",2,2,90,0,6,10,59,59,7,"one",100
"female",64,145,7.5,"Freshman",0,0,20,4,5,15,53,57,8,"dozens",70
"female",62,113,7,"Sophomore",1,1,110,20,7,50,45,51,3,"one",65
"female",67,120,8,"Freshman",0,1,110,57,7.5,10,50,54,8,"one",99
"male",67,115,8.5,"Sophomore",0,1,100,100,7,10,45,51,1,"one",75
"female",67,135,8,"Sophomore",1,1,100,4,8,20,55,53,4,"few",60
"female",67,140,9,"Sophomore",4,1,96,11,7,11,50,60,3,"few",50
