"gender","Greek","hometown","ethnicity","vote","vote_party","vote_pres_08","VP","vote_mother","vote_father","gay_marriage_rate","abortion","politics_self","religion_self","party","drink","ACT","GPA"
"female","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,1,1,1,18,23,29,3.6
"female","no","big city suburb","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",6,2,3,2,1,0,27,3.7
"female","no","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",7,"don't know","don't know",1,2,4,1,5,3,30,3.7
"male","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",5,5,5,8,0,0,25,3.1
"female","yes","big city suburb","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,1,2,6,12,8,26,3.1
"female","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",2,3,5,2,10,10,27,3.9
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,1,1,5,15,12,27,3.5
"female","no","big city suburb","White",9,"Other","Barak Obama/Joe Biden",7,"don't know","don't know",1,1,5,2,15,15,30,3.2
"female","no","big city","Hispanic/Latino",9,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,7,3,3,1,1,26,3.4
"male","no","medium sized city","White",8,"Other","Barak Obama/Joe Biden",4,"yes","yes",3,5,3,2,3,12,28,3.5
"female","yes","big city suburb","White",4,"Other","Undecided",3,"don't know","don't know",4,7,5,7,12,12,32,3.8
"male","yes","big city suburb","White",2,"Democrat","Won't vote",2,"don't know","don't know",1,3,1,1,25,50,28,3.6
"female","no","medium sized city","White",10,"Other","Barak Obama/Joe Biden",8,"yes","no",1,3,2,5,8,5,26,3.7
"male","no","small town","Other",3,"Other","Undecided",3,"don't know","don't know",5,5,3,1,0,0,31,3.6
"female","no","big city","Hispanic/Latino",9,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",2,4,4,7,8,7,24,3.4
"female","yes","big city suburb","White",7,"Democrat","Undecided",6,"yes","yes",2,3,3,4,11,19,31,3.2
"female","no","big city suburb","White",2,"Democrat","John McCain/Sarah Palin",4,"don't know","no",7,9,5,3,17,18,25,2.5
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",7,"no","yes",3,1,1,7,14,16,24,3.7
"female","yes","big city suburb","Other",8,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,5,7,5,10,10,29,2.4
"female","yes","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",3,4,4,3,15,15,31,3.5
"female","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"no","no",1,1,2,5,10,20,22,2.8
"female","no","big city suburb","Asian",2,"Other","Won't vote",9,"don't know","don't know",1,5,7,9,5,0,29,2.7
"male","yes","big city suburb","White",5,"Democrat","Undecided",1,"don't know","don't know",1,1,4,5,15,30,30,3.3
"female","no","big city suburb","White",5,"Other","Undecided",5,"don't know","don't know",4,4,5,3,8,10,32,3.8
"female","no","big city suburb","White",5,"Republican","John McCain/Sarah Palin",1,"yes","yes",8,3,5,6,5,0,25,3.9
"male","no","big city suburb","Other",1,"Other","Won't vote",1,"yes","yes",1,1,5,2,4,4,33,3.9
"female","no","big city suburb","White",1,"Democrat","Won't vote",1,"yes","yes",2,8,5,4,15,20,28,3.8
"female","no","small town","Hispanic/Latino",4,"Other","John McCain/Sarah Palin",4,"no","no",3,9,2,1,6,0,23,3.1
"female","yes","big city suburb","White",5,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",7,3,8,9,7,3,26,3.5
"female","no","big city suburb","Other",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,1,3,1,12,15,25,3.7
"female","yes","big city suburb","Hispanic/Latino",10,"Republican","Barak Obama/Joe Biden",4,"yes","yes",1,8,5,3,25,30,21,2.8
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"no","don't know",1,2,3,8,4,5,28,2
"male","no","small town","Asian",5,"Other","John McCain/Sarah Palin",4,"yes","yes",6,5,4,5,4,3,31,3.2
"male","no","medium sized city","White",10,"Republican","John McCain/Sarah Palin",3,"yes","yes",10,10,9,10,0,0,27,3.9
"female","no","big city suburb","White",6,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,4,5,5,12,40,28,3.6
"male","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",10,1,3,3,30,50,27,2.6
"male","yes","big city suburb","Hispanic/Latino",9,"Other","Barak Obama/Joe Biden",5,"no","no",1,4,1,2,8,10,28,2.8
"female","no","big city","Asian",1,"Other","Won't vote",1,"don't know","don't know",1,5,5,7,7,5,25,3.4
"female","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,8,8,8,2,0,31,3.8
"male","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",10,5,5,8,5,4,23,2.7
"female","no","big city","Hispanic/Latino",9,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,5,3,2,2,2,24,3.4
"male","no","big city","Asian",5,"Other","Undecided",5,"don't know","don't know",5,7,5,7,15,15,31,4
"female","yes","big city suburb","Black/African American",1,"Democrat","Won't vote",1,"no","no",1,5,5,10,19,18,25,2.5
"female","yes","big city suburb","White",9,"Democrat","Undecided",6,"don't know","don't know",1,1,5,8,2,1,26,4
"female","yes","small town","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","no",6,6,5,8,15,10,32,3.9
"male","no","big city suburb","White",10,"Other","Undecided",5,"no","no",1,1,10,1,0,0,29,3
"male","no","big city","Black/African American",1,"Democrat","Won't vote",1,"yes","yes",7,1,4,3,4,5,17,2
"female","yes","big city suburb","White",10,"Other","Undecided",5,"don't know","don't know",1,1,5,7,8,12,24,2.9
"female","no","medium sized city","White",9,"Democrat","Undecided",3,"don't know","yes",1,3,3,2,10,6,27,3.6
"male","no","medium sized city","White",9,"Other","Barak Obama/Joe Biden",7,"yes","yes",1,9,4,2,2,4,29,3.3
"female","no","big city suburb","White",7,"Republican","Barak Obama/Joe Biden",2,"yes","don't know",3,9,7,7,15,23,28,3.5
"male","no","big city suburb","White",10,"Other","Undecided",3,"yes","no",10,10,5,7,11,12,26,3.8
"female","no","big city","Asian",1,"Republican","Won't vote",5,"no","no",6,4,7,9,3,1,24,2
"female","no","big city","White",9,"Democrat","Barak Obama/Joe Biden",7,"yes","don't know",1,2,3,3,10,9,31,3.8
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",1,5,6,7,2,2,29,3.5
"male","no","big city","White",1,"Other","Won't vote",1,"yes","yes",1,1,3,1,9,11,30,3
"male","yes","small town","White",3,"Republican","John McCain/Sarah Palin",2,"yes","yes",6,10,8,6,10,20,27,3.1
"male","yes","big city suburb","Other",3,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,5,6,6,13,30,33,2.7
"male","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",1,"yes","don't know",1,1,5,1,12,15,30,3.7
"female","yes","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,1,3,7,6,4,31,3.6
"female","no","big city","Asian",1,"Democrat","Won't vote",1,"don't know","don't know",7,7,5,6,0,0,26,3.5
"male","yes","big city","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","no",1,1,4,1,4,6,33,3.4
"male","yes","small town","White",5,"Democrat","Barak Obama/Joe Biden",4,"don't know","don't know",1,3,2,2,20,30,28,3.5
"female","no","big city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,9,2,10,3,1,19,2.5
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,3,3,5,12,12,26,3.3
