"gender","Greek","hometown","ethnicity","vote","vote_party","vote_pres_08","VP","vote_mother","vote_father","gay_marriage_rate","abortion","politics_self","religion_self","party","drink","ACT","GPA"
"female","yes","medium sized city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,3,4,7,10,8,27,3.6
"female","yes","big city","Asian",3,"Other","Barak Obama/Joe Biden",1,"don't know","don't know",1,5,7,1,4,6,24,2.3
"female","no","big city suburb","Other",10,"Democrat","Barak Obama/Joe Biden",5,"no","yes",1,1,3,1,7,10,26,3.6
"female","no","big city suburb","Asian",10,"Other","Undecided",8,"don't know","don't know",8,10,4,7,8,20,23,3.8
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",7,"yes","yes",3,5,7,6,7,9,28,3.6
"female","no","medium sized city","White",9,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,5,3,6,9,4,25,3.1
"female","no","big city suburb","Other",10,"Democrat","Barak Obama/Joe Biden",4,"don't know","don't know",3,7,7,7,6,10,32,3
"female","no","big city suburb","White",7,"Other","Barak Obama/Joe Biden",5,"yes","yes",1,2,3,2,10,15,29,3.9
"male","no","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,4,2,1,5,8,31,3.2
"male","no","big city suburb","Other",1,"Other","Won't vote",1,"no","no",5,5,1,1,1,0,29,2.5
"female","no","big city suburb","White",8,"Republican","Undecided",2,"yes","yes",10,10,7,9,6,1,34,3.9
"female","yes","big city suburb","White",9,"Other","Undecided",3,"don't know","don't know",1,5,1,3,16,20,32,3.6
"female","no","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,2,3,7,10,10,26,3.3
"female","yes","big city suburb","White",10,"Other","Undecided",7,"don't know","don't know",1,5,4,1,14,12,28,3.8
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",4,"yes","yes",1,1,6,3,15,18,30,3.7
"female","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",2,3,2,6,8,10,36,3.8
"male","no","big city suburb","Other",10,"Democrat","Barak Obama/Joe Biden",4,"yes","no",3,7,5,4,12,20,26,3.3
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",5,10,3,8,8,5,31,3.3
"female","yes","big city suburb","White",10,"Other","Barak Obama/Joe Biden",6,"yes","yes",1,5,4,5,9,9,28,4
"female","no","medium sized city","White",1,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,3,1,0,0,20,3.2
"male","no","big city","Asian",1,"Other","Won't vote",1,"no","no",1,5,5,1,0,0,36,3.2
"female","yes","big city","White",8,"Democrat","Barak Obama/Joe Biden",3,"yes","no",1,10,8,8,10,18,27,3.5
"male","no","big city suburb","White",8,"Other","Barak Obama/Joe Biden",4,"don't know","don't know",10,9,4,7,7,9,28,3.1
"female","no","big city suburb","Asian",8,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",3,1,5,3,6,10,32,3.4
"female","yes","medium sized city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",2,"yes","don't know",8,6,4,7,3,3,17,3.1
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",2,"yes","don't know",1,3,4,7,9,10,28,3.4
"male","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,1,3,5,8,8,30,3.7
"male","yes","big city suburb","White",10,"Other","Undecided",3,"no","no",1,3,5,1,24,26,32,3
"female","no","small town","White",3,"Republican","John McCain/Sarah Palin",2,"don't know","yes",2,2,5,6,1,2,27,3.2
"male","no","big city","Asian",1,"Republican","Won't vote",1,"don't know","don't know",5,5,8,1,1,10,30,2.5
"female","no","big city suburb","Asian",1,"Other","Barak Obama/Joe Biden",2,"yes","yes",10,8,5,8,5,2,24,3.4
"female","no","big city suburb","White",10,"Democrat","Undecided",2,"yes","no",1,1,4,1,10,9,28,3.4
"male","yes","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",5,8,4,7,18,25,29,4
"female","no","small town","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,10,9,10,2,0,28,3.9
"female","no","big city","Hispanic/Latino",9,"Democrat","Undecided",5,"yes","no",1,1,1,9,10,7,21,3
"female","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",4,"yes","yes",10,10,7,10,0,0,30,4
"male","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",8,"no","no",1,1,3,1,4,5,31,4
"male","no","big city suburb","White",6,"Other","Undecided",5,"no","yes",10,1,4,5,10,10,28,3.4
"female","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,5,1,10,3,1,26,3.5
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",8,"yes","no",2,3,2,3,25,25,25,3.6
"male","no","big city suburb","White",8,"Other","John McCain/Sarah Palin",3,"yes","yes",5,7,4,1,12,15,31,3.9
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",2,"don't know","no",1,3,2,2,2,0,27,3.6
"male","no","small town","Other",5,"Republican","Barak Obama/Joe Biden",1,"don't know","don't know",3,5,1,6,16,25,25,2.5
"female","no","big city suburb","White",9,"Other","John McCain/Sarah Palin",5,"yes","no",5,5,7,6,10,5,26,3.2
"female","yes","small town","White",9,"Democrat","Barak Obama/Joe Biden",3,"no","no",3,4,4,7,16,20,21,3.4
"female","no","big city suburb","Asian",5,"Democrat","Barak Obama/Joe Biden",10,"no","no",5,5,5,7,0,0,31,3
"male","yes","big city suburb","White",3,"Republican","Undecided",1,"don't know","don't know",8,9,3,3,8,20,24,3
"female","no","small town","White",9,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,5,7,3,10,10,27,3.6
"female","yes","medium sized city","White",10,"Republican","John McCain/Sarah Palin",8,"yes","yes",8,1,8,9,15,15,27,3.3
"male","no","medium sized city","Other",8,"Democrat","Barak Obama/Joe Biden",8,"don't know","don't know",10,8,5,9,2,0,29,3.4
"female","no","medium sized city","Asian",8,"Other","Undecided",3,"don't know","don't know",3,5,5,5,3,0,15,3
"female","no","small town","White",7,"Other","Undecided",6,"yes","no",1,5,5,6,8,15,28,3.6
"female","no","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",2,1,4,7,2,0,25,3.4
"female","no","small town","White",2,"Republican","Barak Obama/Joe Biden",1,"don't know","don't know",1,3,5,1,5,10,25,2.6
"male","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,1,3,7,8,14,31,3.9
"female","no","small town","Asian",5,"Other","Undecided",5,"don't know","don't know",5,5,5,5,1,0,30,3.5
"male","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",4,"yes","don't know",5,3,3,5,5,7,27,3.7
"male","no","small town","Black/African American",8,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",1,5,5,6,10,6,24,2.5
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,2,2,15,20,28,3.2
"female","no","big city suburb","White",3,"Democrat","Barak Obama/Joe Biden",2,"yes","no",1,2,3,3,4,2,26,3.2
"male","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",3,2,3,5,15,30,27,3.6
"female","yes","big city suburb","White",7,"Other","Undecided",7,"don't know","don't know",1,2,4,8,10,14,25,3.3
"female","yes","big city suburb","White",6,"Republican","John McCain/Sarah Palin",3,"yes","yes",7,1,8,1,12,15,31,4
"male","no","big city","White",1,"Republican","Won't vote",1,"yes","yes",9,2,7,8,21,25,28,3.5
"female","yes","big city suburb","White",7,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",1,8,3,9,14,17,29,3.8
"female","no","big city","White",10,"Democrat","Undecided",7,"yes","no",10,8,5,5,2,0,19,3.4
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"no","no",5,1,5,6,10,20,29,3.5
"male","yes","big city suburb","Hispanic/Latino",7,"Republican","Undecided",5,"don't know","don't know",10,6,7,6,28,28,26,3.3
"male","no","medium sized city","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,10,10,5,18,30,28,2.7
"female","no","big city suburb","White",5,"Other","Undecided",5,"don't know","don't know",10,1,5,3,2,10,28,3.7
"female","yes","big city suburb","White",7,"Other","Undecided",2,"yes","no",5,9,4,9,5,0,31,3.6
"male","no","big city suburb","White",10,"Other","Barak Obama/Joe Biden",3,"yes","no",1,5,5,7,10,15,29,3.6
"female","yes","big city suburb","White",2,"Republican","John McCain/Sarah Palin",2,"yes","yes",7,9,8,7,10,10,23,2.5
"female","no","big city suburb","White",10,"Other","Barak Obama/Joe Biden",1,"yes","yes",1,3,3,3,10,8,30,3.9
"female","no","small town","White",7,"Other","Undecided",1,"don't know","don't know",1,9,5,6,0,1,30,3.8
"male","yes","big city suburb","White",1,"Republican","Won't vote",5,"yes","yes",1,6,5,5,8,20,33,2.8
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,2,2,5,5,8,29,3.3
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"don't know","no",1,1,1,1,5,4,28,3.4
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"no","no",1,1,2,8,10,13,27,3.2
"female","no","medium sized city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,5,5,5,10,5,26,3.1
"female","yes","big city","Hispanic/Latino",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,5,1,2,11,7,22,2.6
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,3,4,3,5,10,32,3.2
"female","no","medium sized city","Asian",1,"Democrat","Won't vote",1,"don't know","don't know",1,4,4,3,2,2,26,3
"female","yes","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",5,"yes","no",1,1,1,6,6,11,31,3.3
"male","yes","big city suburb","White",1,"Other","John McCain/Sarah Palin",8,"yes","yes",1,1,4,1,50,50,36,4
"male","no","small town","White",2,"Republican","Won't vote",5,"yes","yes",10,10,9,10,0,0,20,3.4
"male","yes","big city suburb","Asian",7,"Democrat","Barak Obama/Joe Biden",7,"yes","no",10,8,6,9,9,20,31,3.2
"female","no","big city suburb","Asian",1,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",7,8,1,9,4,1,29,3.4
"female","yes","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",5,"no","no",1,6,4,7,7,5,24,3
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",3,"yes","yes",5,10,8,9,1,1,27,3.9
"female","no","big city suburb","White",10,"Republican","Undecided",7,"don't know","don't know",5,1,5,5,20,15,26,3.1
"male","no","big city suburb","Asian",5,"Other","Barak Obama/Joe Biden",3,"don't know","don't know",8,6,7,8,0,0,35,3
"male","no","big city","Black/African American",1,"Other","Won't vote",1,"don't know","don't know",10,10,5,10,4,1,25,3.7
"female","yes","big city suburb","White",10,"Republican","Undecided",6,"yes","yes",3,10,6,8,7,6,28,3.7
"female","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",9,"yes","no",1,5,3,7,10,6,22,3
"male","no","big city suburb","White",5,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,1,4,6,11,9,29,3
"female","no","small town","White",1,"Other","Undecided",4,"yes","no",8,4,5,8,2,1,27,3.7
"male","no","big city suburb","White",7,"Other","Undecided",8,"yes","don't know",1,5,3,8,3,3,27,3.9
"female","yes","big city","Asian",3,"Democrat","John McCain/Sarah Palin",7,"don't know","yes",1,1,4,10,0,0,28,3.4
"female","no","medium sized city","White",4,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,5,4,6,2,1,26,3.4
"male","no","big city","Asian",1,"Republican","John McCain/Sarah Palin",7,"no","yes",3,5,5,6,12,7,34,3.8
"female","yes","big city","Hispanic/Latino",10,"Other","Barak Obama/Joe Biden",1,"don't know","don't know",1,5,1,8,6,2,21,3
"female","no","medium sized city","White",3,"Other","Undecided",5,"yes","yes",1,8,5,8,8,7,30,3.8
"female","no","big city suburb","Asian",1,"Other","Won't vote",1,"don't know","don't know",10,2,5,3,2,2,24,3.5
"female","yes","big city suburb","White",9,"Republican","John McCain/Sarah Palin",2,"yes","no",10,10,7,8,8,4,29,3.2
"male","yes","big city suburb","White",5,"Other","Barak Obama/Joe Biden",5,"don't know","don't know",6,10,5,6,7,11,28,2.7
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",9,6,5,9,15,5,23,3.8
"female","no","big city suburb","Asian",1,"Democrat","Won't vote",1,"yes","yes",1,1,1,3,3,2,28,3.1
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",5,5,5,7,8,5,28,3.9
"male","no","medium sized city","Asian",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,8,6,8,5,0,25,3.3
"female","no","big city","Asian",1,"Democrat","Won't vote",1,"don't know","don't know",1,4,4,1,2,1,24,3.8
"female","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",8,"yes","yes",10,5,9,5,8,6,26,3.5
"female","no","big city suburb","Asian",8,"Other","Undecided",6,"yes","yes",1,4,3,3,0,0,26,3.3
"female","yes","big city suburb","White",3,"Republican","Undecided",2,"don't know","don't know",1,5,5,6,9,9,29,3.9
"male","no","small town","White",4,"Democrat","Undecided",7,"don't know","don't know",4,5,5,7,0,0,23,3.6
"female","no","medium sized city","White",8,"Republican","Undecided",5,"yes","yes",4,7,6,7,4,1,28,3.3
"female","no","small town","White",9,"Other","John McCain/Sarah Palin",7,"yes","yes",9,9,8,8,8,4,24,3.5
"female","no","medium sized city","White",9,"Other","Barak Obama/Joe Biden",5,"don't know","yes",1,10,3,7,6,6,24,3.6
"female","no","small town","White",9,"Democrat","Undecided",7,"no","yes",10,7,6,8,2,0,27,3.2
"male","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,4,4,2,20,30,25,3.3
"female","yes","big city suburb","White",6,"Other","Barak Obama/Joe Biden",5,"yes","don't know",3,7,4,8,2,10,27,2.5
"female","yes","big city suburb","White",6,"Democrat","Undecided",7,"yes","no",10,8,8,9,12,15,22,3.1
"female","no","medium sized city","Asian",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,1,5,3,0,0,30,2.9
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,1,6,5,3,1,19,2.7
"male","yes","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",4,"yes","don't know",7,3,3,6,11,10,29,3.7
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,2,3,4,2,2,29,3.2
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,3,7,5,0,24,2.2
"female","no","big city","White",1,"Democrat","Won't vote",1,"yes","don't know",1,1,4,1,2,0,24,3.1
"female","yes","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",3,"don't know","no",1,5,3,9,15,0,28,3.6
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",1,1,1,6,4,0,24,3.2
"female","no","medium sized city","White",9,"Democrat","Undecided",7,"don't know","don't know",1,2,5,1,5,4,25,3.2
"female","no","big city suburb","White",10,"Republican","Undecided",1,"yes","yes",1,1,6,3,16,18,30,2.5
"female","yes","big city suburb","White",10,"Other","John McCain/Sarah Palin",8,"no","yes",8,3,4,6,11,14,26,3.9
"female","no","medium sized city","White",7,"Republican","John McCain/Sarah Palin",1,"yes","yes",8,8,3,5,2,0,28,3.3
"female","no","medium sized city","White",10,"Other","Barak Obama/Joe Biden",10,"yes","yes",1,1,1,2,3,6,30,3.5
"male","no","big city suburb","White",7,"Republican","John McCain/Sarah Palin",2,"no","don't know",5,5,10,4,8,10,20,2.6
"male","no","big city suburb","White",1,"Democrat","Barak Obama/Joe Biden",7,"yes","don't know",8,4,4,5,5,5,29,2.7
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",7,"yes","yes",7,7,9,7,16,30,29,3.3
"female","no","big city","Black/African American",9,"Democrat","Barak Obama/Joe Biden",9,"yes","yes",10,8,7,8,7,0,19,2.5
"female","yes","big city suburb","White",1,"Other","Won't vote",1,"yes","yes",10,8,6,6,12,16,27,2.7
"female","no","big city suburb","Asian",1,"Democrat","Won't vote",1,"yes","yes",5,7,5,8,0,0,30,3.1
"female","no","big city suburb","White",10,"Other","Undecided",7,"don't know","no",1,1,3,1,13,9,30,3.8
"male","no","medium sized city","Asian",9,"Democrat","Barak Obama/Joe Biden",4,"no","no",3,1,3,1,1,0,30,3.7
"female","no","big city","Asian",2,"Democrat","Won't vote",2,"no","no",3,4,4,5,11,11,24,3.1
"female","no","big city suburb","White",10,"Other","Barak Obama/Joe Biden",6,"yes","yes",1,3,5,7,4,0,25,3
"male","no","medium sized city","White",4,"Other","Undecided",3,"don't know","don't know",3,10,5,6,4,0,24,3
"male","no","medium sized city","Hispanic/Latino",10,"Other","Barak Obama/Joe Biden",1,"yes","no",6,7,5,8,5,4,26,3.3
"female","no","medium sized city","White",10,"Other","Barak Obama/Joe Biden",8,"yes","no",1,1,3,3,0,2,26,3.1
"female","yes","medium sized city","White",10,"Republican","Undecided",7,"don't know","don't know",2,7,6,10,12,20,28,3.3
"female","no","big city suburb","Black/African American",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,1,1,7,6,4,25,2
"female","yes","big city suburb","White",8,"Republican","John McCain/Sarah Palin",5,"yes","yes",10,10,10,10,2,6,26,3.2
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,4,6,6,25,20,31,3.2
"female","yes","small town","White",4,"Other","Undecided",5,"don't know","no",2,1,5,5,20,20,23,3.4
"male","yes","medium sized city","White",9,"Other","Undecided",5,"yes","yes",1,3,3,1,20,20,22,2.5
"female","yes","medium sized city","White",10,"Republican","John McCain/Sarah Palin",4,"yes","no",1,10,5,4,15,18,30,3.2
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"don't know","no",2,6,5,5,10,8,26,3.8
"female","no","small town","White",1,"Other","Won't vote",1,"don't know","don't know",3,3,3,3,0,2,25,2.1
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,7,4,6,30,50,28,3.3
"female","no","big city suburb","Other",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,5,10,10,15,5,18,2.9
"female","yes","small town","White",4,"Other","John McCain/Sarah Palin",9,"no","no",6,5,4,5,3,3,24,3.2
"male","no","medium sized city","White",5,"Democrat","Won't vote",10,"don't know","don't know",1,5,5,7,11,9,30,3.2
"female","no","big city suburb","White",4,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,7,5,4,10,10,24,3.4
"male","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",8,"yes","yes",9,1,1,5,15,10,29,3.4
"female","yes","big city suburb","White",6,"Democrat","Barak Obama/Joe Biden",5,"yes","yes",1,3,4,6,13,12,28,3.8
"female","no","small town","White",5,"Other","Barak Obama/Joe Biden",1,"no","yes",1,5,3,1,10,8,28,3.9
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",4,"yes","don't know",1,1,1,5,0,0,23,3.3
"female","no","small town","White",8,"Democrat","Barak Obama/Joe Biden",4,"no","no",1,9,5,4,4,6,30,3.9
"male","no","big city suburb","Asian",4,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",8,7,3,5,6,6,30,3.6
"female","yes","big city suburb","White",8,"Other","Undecided",4,"no","no",1,1,4,5,15,10,29,3.5
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",7,"no","no",10,6,4,7,6,7,29,3.7
"male","no","medium sized city","Asian",1,"Other","Won't vote",1,"don't know","don't know",5,1,3,1,0,0,27,2.5
"female","yes","big city","Asian",6,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,8,5,8,4,2,31,3.1
"female","no","small town","White",10,"Republican","John McCain/Sarah Palin",10,"yes","yes",10,5,8,6,8,6,28,3
"female","yes","medium sized city","White",10,"Democrat","Undecided",5,"yes","yes",1,1,5,6,15,20,29,3.1
"male","no","big city","Hispanic/Latino",10,"Other","Undecided",8,"no","no",1,4,1,1,0,0,28,3.3
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",7,"yes","yes",1,3,3,3,12,12,26,3.8
"female","no","medium sized city","Asian",1,"Democrat","Won't vote",5,"no","no",3,5,5,4,7,4,30,3.6
"female","no","big city suburb","White",9,"Republican","John McCain/Sarah Palin",8,"yes","yes",9,8,7,10,0,0,29,3.3
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",8,"no","yes",5,5,5,7,6,0,27,3.1
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,1,3,10,3,2,24,3.3
"female","no","big city suburb","Hispanic/Latino",8,"Democrat","Barak Obama/Joe Biden",2,"yes","yes",2,4,3,5,7,6,25,3.4
"female","yes","big city suburb","Asian",10,"Democrat","Barak Obama/Joe Biden",6,"yes","yes",1,2,3,6,10,8,30,3.9
"female","yes","small town","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",8,9,8,8,1,0,27,3.2
"male","yes","big city suburb","Other",4,"Other","Barak Obama/Joe Biden",4,"don't know","don't know",1,1,1,1,6,6,28,3.5
"female","no","small town","White",10,"Republican","John McCain/Sarah Palin",1,"yes","yes",1,9,5,3,0,0,33,3.5
"female","yes","medium sized city","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",8,3,5,7,10,5,26,3.1
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",7,"don't know","yes",6,5,4,7,3,4,25,3.4
"female","no","big city suburb","Asian",1,"Democrat","Won't vote",5,"yes","yes",7,5,5,7,0,0,29,3.4
"female","no","big city suburb","White",10,"Republican","John McCain/Sarah Palin",5,"yes","yes",1,7,7,3,4,3,29,3.1
"female","no","big city suburb","Asian",8,"Democrat","Undecided",8,"don't know","don't know",10,10,8,10,0,0,31,3.7
"female","no","big city suburb","Black/African American",10,"Democrat","Undecided",5,"yes","don't know",10,5,7,9,3,0,19,3.7
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,1,3,1,14,15,28,2.7
"male","yes","big city","White",1,"Democrat","Won't vote",1,"yes","yes",10,8,3,7,27,45,28,3.5
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"don't know","yes",10,1,7,7,12,22,30,2.8
"female","no","big city suburb","Asian",1,"Other","Won't vote",1,"no","no",2,5,5,8,0,0,21,3.3
"female","no","big city suburb","Asian",10,"Other","Barak Obama/Joe Biden",7,"don't know","don't know",10,10,6,8,0,0,28,3
"female","no","medium sized city","Asian",2,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",1,3,6,6,0,0,25,2.8
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",3,"don't know","don't know",1,1,2,1,0,0,28,3.9
"female","no","big city suburb","Asian",8,"Other","Barak Obama/Joe Biden",1,"no","no",1,5,5,3,0,0,19,2.9
"female","no","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",5,"yes","no",4,4,4,6,15,20,22,3.7
"female","yes","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",2,2,4,8,15,15,31,3.1
"female","no","big city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",5,1,1,7,15,4,20,3.3
"male","no","big city","Black/African American",10,"Other","Barak Obama/Joe Biden",4,"yes","yes",4,1,5,8,10,20,36,3.2
"female","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",2,"yes","don't know",1,3,3,7,4,6,34,4
"female","no","big city suburb","Black/African American",5,"Democrat","Barak Obama/Joe Biden",1,"yes","no",5,5,3,5,6,5,26,3.4
"male","no","small town","White",9,"Republican","John McCain/Sarah Palin",3,"don't know","yes",2,5,7,3,5,3,29,3.9
"female","yes","small town","Asian",1,"Other","Won't vote",1,"yes","yes",10,10,7,8,1,0,26,3.1
"male","no","big city suburb","Asian",9,"Other","Barak Obama/Joe Biden",5,"yes","yes",5,5,5,5,1,0,30,2.8
"female","yes","small town","White",8,"Other","Barak Obama/Joe Biden",1,"yes","yes",3,1,3,8,2,2,27,3.2
"male","yes","big city suburb","White",1,"Republican","John McCain/Sarah Palin",10,"no","yes",10,5,8,6,10,25,33,3.4
"female","no","big city suburb","White",5,"Other","Barak Obama/Joe Biden",7,"yes","yes",1,1,4,3,2,1,31,3.6
"female","no","big city suburb","Asian",1,"Democrat","Won't vote",5,"don't know","don't know",1,10,5,10,0,0,29,3.6
"female","no","medium sized city","Black/African American",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",1,4,3,7,6,6,23,2.2
"male","yes","big city suburb","White",9,"Democrat","Barak Obama/Joe Biden",4,"no","yes",9,10,5,8,12,11,27,3.8
"female","yes","medium sized city","White",8,"Republican","John McCain/Sarah Palin",6,"yes","yes",8,8,8,8,4,2,27,3.5
"female","yes","small town","White",1,"Democrat","Won't vote",1,"yes","yes",1,4,7,5,5,5,28,2.4
"female","no","small town","White",10,"Democrat","Barak Obama/Joe Biden",5,"yes","no",10,9,3,2,9,6,29,3.9
"male","yes","big city","Hispanic/Latino",1,"Democrat","Barak Obama/Joe Biden",10,"yes","yes",1,5,2,5,12,24,28,3
"female","no","big city suburb","White",8,"Other","Undecided",5,"yes","yes",3,5,5,5,8,8,28,3.7
"female","yes","medium sized city","White",8,"Democrat","Barak Obama/Joe Biden",1,"no","no",1,5,4,1,13,24,23,3.6
"female","yes","big city suburb","White",5,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",3,1,3,1,15,25,25,2.8
"female","no","big city","Asian",1,"Other","Won't vote",1,"no","don't know",3,2,2,5,5,1,21,2.7
"male","yes","big city suburb","White",8,"Republican","John McCain/Sarah Palin",6,"yes","don't know",5,3,6,3,20,30,31,3.1
"female","no","big city","Black/African American",10,"Other","Undecided",7,"don't know","don't know",1,10,5,8,3,0,24,2.6
"female","no","small town","White",4,"Other","Won't vote",4,"yes","no",1,9,5,7,9,16,36,3.6
"female","no","big city suburb","White",7,"Other","Barak Obama/Joe Biden",5,"no","no",1,7,4,4,6,8,28,3.7
"female","no","big city","White",10,"Democrat","Barak Obama/Joe Biden",3,"yes","yes",1,2,2,9,1,5,34,3.9
"female","no","big city suburb","White",10,"Other","Barak Obama/Joe Biden",4,"no","no",1,5,2,1,18,15,31,3.9
"male","yes","big city suburb","White",8,"Democrat","Barak Obama/Joe Biden",4,"yes","yes",1,1,1,2,20,50,34,3.4
"female","no","big city suburb","Asian",5,"Other","Undecided",6,"yes","yes",7,5,3,1,2,0,26,3
"male","no","medium sized city","White",5,"Other","John McCain/Sarah Palin",10,"yes","yes",1,8,7,7,10,10,25,3.8
"female","yes","big city suburb","White",10,"Republican","John McCain/Sarah Palin",4,"yes","yes",10,10,7,7,5,10,29,3.8
"male","no","big city suburb","White",10,"Democrat","Barak Obama/Joe Biden",1,"yes","yes",5,5,4,7,2,2,29,3.7
"male","no","big city","Asian",1,"Democrat","Won't vote",1,"don't know","don't know",5,5,5,5,9,30,25,3.9
"female","yes","big city suburb","White",10,"Other","Barak Obama/Joe Biden",5,"no","no",1,7,2,7,12,17,32,3.9
"male","no","big city suburb","White",10,"Other","Barak Obama/Joe Biden",1,"don't know","don't know",5,7,5,10,10,0,27,3.7
