"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",71,230,12,6,"Sophomore",6,4,90,40,8,37,44,4,"one",20
"female",64,175,8,5,"Junior",1,2,90,9,6.5,42,50,6,"none",97
"female",67,135,9.5,35,"Sophomore",1,2,112,300,7,47,51,9,"millions",50
"female",61,160,8,50,"Sophomore",0,0,85,140,7,47,47,2,"one",50
"male",72,180,12,8,"Sophomore",4,2,110,5,6,46,49,1,"millions",10
"female",62,125,7,10,"Sophomore",4,1,70,10,7,51,51,6,"few",30
"male",69,180,8,2,"Sophomore",0,1,35,120,8,50,57,8,"one",15
"male",71,178,10.5,6,"Junior",14,0,110,3,7.5,53,58,7,"dozens",92
"male",70,180,10.5,7,"Junior",2,2,117,87,6,51,51,9,"few",10
"male",66,150,8,5,"Sophomore",1,1,62,1000,8,45,48,5,"few",90
"male",75,180,13,3,"Sophomore",0,1,100,50,7,53,50,4,"thousands",0
"female",63,125,7.5,20,"Junior",15,3,60,2,7,45,49,5,"few",25
"male",74,210,12,4,"Junior",3,2,95,20,8,60,63,5,"one",100
"male",70,166,10,10,"Sophomore",1,2,98,1,8,56,55,6,"dozens",100
"female",62,93,5,12,"Sophomore",3,2,110,60,5,48,49,9,"one",100
"female",65,165,8,30,"Junior",6,2,90,29,6,50,53,7,"one",50
"female",64,155,8,8,"Junior",0,1,80,40,8.5,47,52,3,"few",20
"female",64,135,8,8,"Sophomore",1,1,85,22,8,56,55,7,"one",20
"female",66,118,7.5,25,"Sophomore",6,3,85,20,7.5,49,57,6,"few",50
"male",70,192,10.5,3,"Junior",1,1,140,0,7.5,51,53,6,"few",90
"female",68,132,7,21,"Sophomore",0,2,100,0,8,56,56,1,"millions",100
"female",68,145,8.5,25,"Sophomore",5,1,100,5,6,47,51,7,"few",75
"male",73,167,10.5,10,"Junior",1,3,100,2,6.5,51,53,3,"one",100
"female",70,300,10.5,5,"Sophomore",2,2,80,50,7.5,40,45,7,"hundreds",100
"female",66,120,7.5,25,"Sophomore",10,2,90,5,8,43,44,2,"one",50
"female",67,133,9,30,"Sophomore",0,1,60,5,7,46,60,4,"few",50
"male",72,140,11,6,"Sophomore",0,0,85,110,8,52,57,6,"dozens",100
"female",64,135,9,10,"Sophomore",2,2,85,25,6,50,50,7,"few",50
"female",63,140,8,10,"Sophomore",0,2,90,100,7.5,50,51,7,"dozens",90
"female",66,150,9,60,"Junior",3,2,85,20,7.5,43,48,10,"few",50
"female",66,134,8,10,"Sophomore",0,2,90,0,7,58,58,9,"few",20
"male",70,185,11,5,"Sophomore",0,0,85,1,7,55,56,2,"one",5
"female",60,120,6,18,"Sophomore",2,1,90,40,6.5,50,52,10,"thousands",20
"male",73,233,10.5,3,"Junior",6,1,110,110,6.5,56,58,4,"thousands",60
"female",66,138,8.5,8,"Sophomore",3,0,105,60,8,50,50,2,"one",40
"female",67,115,9,20,"Senior",2,2,90,130,8.5,51,52,2,"one",52
"female",62,110,7.5,12,"Sophomore",0,1,90,11,5,49,48,8,"few",75
"female",68,160,9.5,15,"Sophomore",3,2,80,20,6,51,59,6,"few",90
"female",66,129,8,7,"Junior",5,2,115,200,6.5,51,57,8,"dozens",99
"female",67,140,8.5,20,"Sophomore",4,2,100,15,6,53,52,4,"few",60
"female",63,125,9,15,"Junior",3,2,90,0,7.5,50,54,7,"hundreds",50
"female",69,130,9,15,"Sophomore",3,1,90,20,8,53,59,4,"few",30
"female",64,160,6.5,25,"Junior",1,0,90,1,7,54,55,2,"none",40
"female",61,120,7.5,11,"Sophomore",0,3,85,2,6,56,56,5,"one",100
"female",67,155,10,15,"Sophomore",2,1,90,0,7,49,55,6,"few",60
"female",62,130,7,70,"Sophomore",0,2,60,0,7.5,43,48,7,"dozens",100
"female",68,195,9.5,20,"Sophomore",1,1,90,30,5.5,53,55,5,"few",10
"female",63,170,9,74,"Sophomore",7,2,90,30,7.5,51,51,6,"one",50
"female",64,136,7,15,"Freshman",8,4,91,0,7,59,55,7,"few",50
"female",67,148,9.5,15,"Junior",2,1,100,0,6.5,51,53,4,"one",90
"female",66,133,8.5,17,"Sophomore",7,5,90,30,8.5,47,46,3,"hundreds",90
"female",60,100,4,30,"Sophomore",2,2,75,20,7,53,53,6,"one",10
"female",70,145,9.5,22,"Sophomore",9,2,95,4,6,49,50,8,"few",50
"female",66,128,11,8,"Sophomore",0,6,75,15,6.5,47,65,8,"one",70
"female",66,125,8.5,13,"Junior",1,1,90,56,7,54,64,4,"few",50
"female",62,125,7.5,10,"Sophomore",1,2,75,10,6,53,52,7,"dozens",75
"male",72,155,12,6,"Senior",1,1,105,20,7,46,56,1,"few",30
"male",70,180,12,7,"Junior",1,2,120,0,5.5,48,48,2,"dozens",100
"male",70,192,10.5,5,"Sophomore",4,8,100,45,7.5,51,53,4,"one",50
"female",66,150,10,25,"Sophomore",1,2,75,20,8,49,52,9,"few",85
"male",74,130,11,22,"Sophomore",2,1,101,83,7,51,50,2,"millions",0
"female",64,118,9,4,"Senior",1,3,98,25,6.5,53,54,4,"few",95
"female",62,125,6.5,23,"Junior",0,1,120,14,7.5,53,60,7,"few",50
"female",68,145,9,14,"Sophomore",0,2,90,20,6.5,59,60,7,"none",50
"female",66,115,8,30,"Sophomore",3,1,110,0,8,48,49,4,"few",90
"female",64,116,7,22,"Sophomore",2,1,80,20,9,51,49,4,"few",50
"female",62,95,5,15,"Sophomore",0,3,90,12,9,53,62,6,"few",3
"female",65,130,8,10,"Sophomore",0,2,100,120,6,50,51,8,"thousands",50
"male",70,150,10,6,"Junior",0,1,80,0,7.5,49,57,3,"few",90
"female",64,138,8,10,"Sophomore",3,3,100,3,7.5,54,54,8,"dozens",100
"female",66,140,9,20,"Sophomore",3,1,128,300,6.5,54,52,7,"few",75
"female",64,170,9.5,10,"Sophomore",1,3,80,1,8.5,50,60,6,"hundreds",85
"female",65,118,7,10,"Senior",2,2,60,20,7,53,58,7,"few",60
"female",70,175,9,15,"Sophomore",1,1,120,20,7,46,48,8,"few",50
"female",63,115,8.5,10,"Sophomore",5,2,90,0,8,61,56,10,"few",20
"female",67,155,8,15,"Junior",3,1,100,5,8,48,48,7,"few",75
"male",73,190,11.5,4,"Senior",4,3,110,20,8,46,49,1,"few",30
"female",69,160,10,25,"Senior",0,1,97,17,6,58,58,7,"one",90
"male",77,250,17,4,"Sophomore",2,1,135,2,8,51,54,10,"thousands",5
"female",70,150,9.5,11,"Sophomore",6,1,20,18,7,52,56,2,"few",50
"female",70,130,8,20,"Junior",5,1,83,0,8,56,65,5,"few",50
"male",65,214,10.5,4,"Sophomore",4,3,105,54,7.5,62,62,6,"few",40
"female",62,124,7,56,"Senior",2,0,100,35,8,59,65,7,"few",85
"female",68,160,9,20,"Sophomore",2,1,100,23,7.5,47,48,6,"few",40
"female",67,130,8.5,25,"Sophomore",1,1,90,500,6.5,49,51,8,"few",20
"female",63,110,6.5,9,"Sophomore",0,1,20,10,7,48,52,9,"few",20
"female",63,120,7.5,30,"Sophomore",5,1,101,0,8,45,47,7,"one",99
"female",62,125,7,20,"Junior",1,10,90,0,6,48,44,7,"few",10
"female",60,103,5,22,"Sophomore",0,1,90,40,6.5,54,60,8,"few",80
"male",76,185,12,5,"Sophomore",2,1,90,2,8,48,51,5,"one",5
"female",65,117,7.5,15,"Sophomore",0,1,85,0,6,46,46,8,"one",100
"male",67,150,10,5,"Sophomore",0,2,85,3,8,51,51,4,"few",50
"female",66,130,8,30,"Sophomore",4,2,100,20,6,52,53,3,"one",100
"female",64,135,7.5,8,"Sophomore",1,0,80,18,8,60,58,7,"few",0
"female",65,145,8,8,"Sophomore",0,0,80,40,7,46,44,7,"few",10
"female",70,150,10,25,"Senior",1,2,86,0,7.5,54,58,3,"few",25
"male",70,165,12,6,"Sophomore",1,3,92,0,6,49,50,9,"one",100
"male",71,150,13,5,"Sophomore",2,3,110,8,7,52,53,7,"millions",50
"male",68,150,11,5,"Junior",0,2,110,50,6.5,45,43,6,"few",32
"female",65,128,8,25,"Junior",5,1,115,1,8,52,51,7,"few",10
"female",67,119,8.5,16,"Sophomore",0,1,95,1000,8.5,54,49,6,"few",3
"female",66,145,8,17,"Sophomore",0,2,110,20,8,51,50,2,"few",60
"male",72,170,11.5,4,"Sophomore",0,1,105,300,6,53,56,10,"few",100
"female",63,130,7,15,"Sophomore",0,1,65,30,6,48,49,8,"few",50
"male",71,163,11,11,"Junior",4,7,90,8,7,50,65,6,"few",90
"female",65,118,8,23,"Freshman",1,1,95,23,7,54,58,5,"few",50
"male",74,160,12.5,5,"Sophomore",0,0,65,25,7.5,50,57,6,"hundreds",10
"female",65,125,9,10,"Junior",6,3,100,100,6.5,47,57,7,"few",95
"male",75,155,12,5,"Sophomore",0,2,82,20,7.5,52,52,7,"few",65
"female",66,139,8,25,"Junior",3,2,75,0,7,59,54,3,"thousands",90
"male",73,200,12,6,"Sophomore",6,2,100,0,6,50,58,4,"dozens",75
"male",77,178,13.5,14,"Sophomore",4,1,124,140,8,48,48,7,"dozens",20
"male",73,225,11.5,6,"Junior",10,0,90,15,6,60,60,7,"few",10
"male",70,145,10,5,"Sophomore",2,1,100,6,9,45,46,3,"one",25
"female",63,112,8,22,"Sophomore",2,3,70,50,7,53,55,2,"dozens",65
"female",60,105,6,20,"Junior",6,3,100,1,7.5,43,43,5,"few",50
"male",75,190,12,8,"Sophomore",0,1,135,7,7,43,47,4,"one",75
"male",72,172,11.5,20,"Sophomore",3,1,120,2,6,59,56,7,"one",30
"female",64,132,7.5,10,"Sophomore",4,2,95,0,6,55,60,9,"one",15
"male",70,183,13,6,"Junior",0,3,90,1,7,47,47,3,"dozens",20
"female",66,120,8.5,15,"Sophomore",1,1,100,30,6.5,49,49,7,"few",75
"female",64,125,6.5,40,"Sophomore",3,0,40,200,8,50,50,3,"few",50
"female",70,165,11,30,"Sophomore",0,1,98,6,7,51,52,8,"dozens",10
"male",73,162,11.5,2,"Sophomore",0,2,95,92,6,57,58,6,"dozens",100
"male",71,148,11,4,"Junior",14,2,83,37,7,54,56,9,"dozens",30
"male",75,165,11,6,"Sophomore",0,2,110,20,9,49,49,7,"thousands",0
"female",68,145,8.5,15,"Junior",9,3,90,10,6,51,53,7,"few",70
"female",64,130,6,12,"Junior",0,0,80,0,7,52,55,4,"thousands",30
"male",73,175,10.5,4,"Sophomore",3,1,100,60,6,42,50,4,"few",10
"male",72,160,9.5,5,"Sophomore",3,3,105,27,8.5,54,57,2,"thousands",100
"female",67,247,9.5,10,"Senior",0,4,30,0,6,44,44,9,"one",30
"female",64,105,7.5,28,"Sophomore",5,1,100,600,8,46,50,2,"few",15
"male",72,225,11.5,7,"Sophomore",5,5,102,22,5.5,50,48,3,"few",50
"female",59,85,5,20,"Freshman",2,0,80,40,9,55,54,8,"few",25
"female",67,130,7.5,8,"Junior",1,1,90,1,4,53,56,6,"millions",0
"female",66,155,11,13,"Sophomore",4,1,95,30,7,52,58,7,"dozens",100
"female",64,113,9,12,"Sophomore",2,0,80,60,4.5,44,47,4,"few",30
"male",72,165,12,1,"Sophomore",0,0,100,200,7,46,57,1,"few",50
"female",66,190,10,55,"Sophomore",3,1,115,20,8,51,52,7,"few",40
"male",66,125,8.5,4,"Sophomore",0,2,90,40,7,48,48,5,"one",30
"female",62,115,8.5,20,"Junior",1,1,102,14,5,54,54,4,"few",20
"female",67,120,9.5,24,"Sophomore",1,2,70,0,7,48,48,5,"one",0
"female",60,90,5.5,25,"Sophomore",1,1,75,60,6,50,56,7,"dozens",10
"female",63,145,8,10,"Sophomore",3,2,80,0,8,43,45,7,"few",50
"female",63,143,9,17,"Sophomore",1,1,95,120,6.5,50,54,2,"few",10
"female",61,119,7.5,5,"Sophomore",2,3,90,200,8,57,55,7,"few",75
"male",66,170,9.5,3,"Sophomore",10,1,110,0,6,45,45,7,"few",0
"male",73,184,12,6,"Sophomore",3,2,120,15,6.5,50,56,6,"few",45
"male",72,160,12,4,"Sophomore",1,1,80,18,8,52,55,2,"thousands",100
"male",71,200,11.5,3,"Junior",28,2,100,3,6.5,48,48,7,"one",0
"male",74,190,14,6,"Sophomore",0,2,20,5,5,39,40,1,"hundreds",10
"female",66,155,9,15,"Sophomore",15,7,67,0,8,46,51,6,"few",75
