"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"male",71,115,10.5,1,"Sophomore",0,1,33,12,8.5,42,44,6,"few",99
"female",64,169,8.5,14,"Sophomore",5,3,95,1,6.5,60,65,7,"none",15
"male",72,200,12,5,"Freshman",1,3,95,80,10,48,50,2,"one",5
"female",67,150,8,12,"Sophomore",6,1,98,50,7,49,52,2,"one",100
"female",62,152,8,17,"Sophomore",3,1,92,50,7.5,49,51,2,"few",80
"female",64,123,8.5,16,"Freshman",3,2,116,50,7.5,47,49,4,"hundreds",85
"male",73,175,11,10,"Freshman",0,2,100,0,8,48,48,10,"one",0
"female",65,125,7,25,"Sophomore",0,2,90,0,6,53,65,8,"few",70
"female",62,130,7,17,"Sophomore",3,1,96,86,6,42,45,3,"few",50
"female",56,98,6.5,13,"Senior",2,2,91,35,5.5,51,50,4,"one",60
"female",62,144,7.5,6,"Sophomore",10,5,50,35,7,57,58,5,"one",30
"female",67,143,7.5,15,"Sophomore",3,2,85,0,9,53,64,8,"dozens",95
"female",64,142,8.5,10,"Junior",0,1,93,51,7,43,44,5,"one",100
"female",61,92,5.5,10,"Sophomore",4,1,110,25,7.5,47,52,4,"one",100
"male",71,119,10,7,"Freshman",1,1,79,13,8,44,52,7,"few",50
"female",66,117,9,12,"Freshman",0,6,85,15,7,41,41,3,"few",50
"male",69,148,9,5,"Junior",0,0,100,62,7,48,50,6,"thousands",60
"female",62,124,7.5,10,"Sophomore",0,1,102,1,7,46,49,9,"hundreds",90
"female",67,125,8.5,15,"Freshman",4,3,90,27,7,44,45,6,"few",90
"female",63,176,8.5,65,"Senior",8,1,81,0,8,53,54,6,"few",75
"female",68,134,9,30,"Sophomore",0,3,97,15,7.5,49,48,4,"one",50
"female",61,174,9,10,"Senior",3,2,100,15,5,46,47,3,"few",50
"female",62,97,5.5,11,"Sophomore",3,3,50,20,7.5,44,45,2,"one",75
"female",64,128,7.5,21,"Sophomore",2,3,103,8,7,51,51,1,"one",8
"male",67,150,10.5,20,"Sophomore",0,1,75,106,7,53,53,2,"few",46
"female",61,130,7,15,"Sophomore",1,0,90,10,7.5,54,54,6,"few",70
