"reason","god","devil","heaven","hell","miracles","angels","ghosts","reincarnation","astrology","psychics","witches","zombies","vampires","UFO","afraidWalkAtNight","debate","debateWinner","likelyVote","candidate","environment","terrorism","economy","racism","policeBrutality","lawAndOrder","genderEquality","borderSecurity","familyValues","bigMoney","gunRights","voteParents","section"
5,8,0,9,0,6,6,0,0,0,0,0,0,0,0,"Yes","No","Hillary Clinton",9,"Hillary Clinton",8,10,7,10,10,9,7,4,8,9,5,"Yes","L1"
6,7,6,7,6,7,8,0,4,4,3,0,0,0,8,"No","No","Unsure",10,"Hillary Clinton",6,6,5,8,6,6,3,3,2,5,3,"Yes","L1"
8,4,2,5,1,6,3,2,5,0,0,0,0,0,2,"Yes","No","No opinion",6,"Donald Trump",7,7,4,7,8,5,5,2,10,5,4,"Unsure","L1"
5,0,0,0,0,6,0,0,2,0,0,0,0,0,0,"Yes","No","No opinion",-1,"Unsure",8,5,5,7,4,7,5,3,6,0,0,"Unsure","L1"
10,5,5,2,2,5,2,5,0,2,4,0,0,0,5,"Yes","All of it","Unsure",7,"Donald Trump",5,10,5,8,5,8,10,8,5,4,10,"Yes","L1"
8,0,0,5,3,6,6,8,1,1,0,4,0,1,6,"No","All of it","Hillary Clinton",10,"Hillary Clinton",10,8,10,9,8,5,10,2,0,3,1,"Yes","L1"
8,10,10,10,10,10,10,10,0,0,10,3,0,0,5,"Yes","All of it","No opinion",10,"Hillary Clinton",6,8,7,10,9,5,2,0,4,3,1,"Yes","L1"
10,7,6,7,6,10,10,10,10,10,6,0,9,0,10,"Yes","Just a few clips","No opinion",10,"Hillary Clinton",10,10,10,10,10,9,8,5,10,10,10,"Yes","L1"
10,8,5,9,5,7,10,6,3,6,6,2,0,0,3,"Yes","Just a few clips","Unsure",7,"Hillary Clinton",5,7,9,8,8,10,10,8,9,6,6,"No","L1"
10,10,10,10,10,10,10,4,10,10,0,0,0,0,0,"Yes","No","Donald Trump",5,"Donald Trump",5,10,5,10,10,5,10,10,10,5,10,"Yes","L1"
7,2,0,5,0,10,0,8,9,8,4,0,0,0,0,"Yes","No","Donald Trump",4,"Donald Trump",6,10,8,5,10,8,7,9,10,5,9,"Yes","L1"
5,0,0,0,0,2,0,5,2,0,3,0,0,0,3,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",7,7,7,9,10,6,7,0,0,5,0,"Yes","L1"
10,10,10,6,6,7,10,3,0,4,0,0,0,0,0,"Yes","All of it","No opinion",10,"Hillary Clinton",6,8,10,10,10,4,8,1,7,4,3,"Yes","L1"
7,9,2,7,1,10,7,7,1,0,0,0,0,0,0,"No","Most of it","Hillary Clinton",-1,"Hillary Clinton",7,3,7,8,3,2,2,2,1,6,1,"Yes","L1"
10,10,10,10,10,10,10,10,4,5,6,0,0,0,5,"Yes","Most of it","Hillary Clinton",6,"Hillary Clinton",10,10,10,10,10,10,10,10,10,10,10,"Yes","L1"
