"Final","ExamAve"
89,92.66666667
97,93.33333333
88,96.66666667
94,94.5
77,93
82,91.66666667
88,95
83,91.16666667
92,91.83333333
100,99.66666667
96,97.66666667
86,97.33333333
95,92.66666667
87,94.16666667
90,92.66666667
87,94.66666667
95,99
84,92
93,88
84,89
81,93.83333333
78,91
100,99
90,90.66666667
94,93.58333333
93,99
88,95.5
69,89.83333333
73,81.66666667
61,72.66666667
93,99.66666667
78,93.83333333
71,80.5
94,96.33333333
83,94
86,92
97,95.66666667
96,97.33333333
83,87.66666667
87,94.66666667
94,99.66666667
75,86.83333333
96,93.66666667
80,86
94,95.66666667
77,76.66666667
97,95
92,98.66666667
60,76.83333333
89,92.66666667
91,97
58,83
94,92.83333333
90,94.66666667
86,95.66666667
90,88.16666667
91,97.66666667
73,87.66666667
93,89.66666667
67,91.33333333
74,84.33333333
86,95
88,87.66666667
87,98.5
86,95.66666667
89,96
49,76
85,95.33333333
84,94.66666667
85,100
93,99.33333333
88,95.83333333
89,91.66666667
97,94.33333333
70,85.83333333
81,92.16666667
80,97
53,68.83333333
89,97.33333333
69,83
89,97
94,99
93,95
73,89.33333333
54,73.83333333
65,86.16666667
72,84.66666667
82,91.5
92,92.66666667
94,96.83333333
88,92.33333333
90,90.33333333
91,82
79,72.5
60,64.83333333
92,90
91,92
79,90
82,86.33333333
61,76.5
90,89
86,82.16666667
91,90.66666667
90,97.83333333
89,94.33333333
71,82.66666667
78,86.75
97,97.33333333
91,91.66666667
91,94
66,75.16666667
95,97.66666667
95,98.83333333
99,100.3333333
71,70.16666667
56,81.5
90,91.83333333
77,91.66666667
79,89.33333333
80,91
91,98
65,80.83333333
68,78.66666667
66,82.5
93,97
76,81.33333333
92,93.33333333
90,96.33333333
83,93.5
95,93.5
86,97.33333333
93,98.66666667
88,89
57,72
85,88
90,92.83333333
84,91.66666667
69,78
93,92.33333333
91,96.16666667
84,93.5
70,84.16666667
91,96.16666667
91,99.33333333
66,78.83333333
47,52.16666667
77,91.16666667
83,89.5
59,72.16666667
81,81.33333333
97,100
83,93.5
93,95.5
91,89.66666667
72,92.83333333
71,87.33333333
93,91.33333333
85,83.66666667
102,100.6666667
82,91.66666667
78,88.66666667
83,85.16666667
90,95
90,95.66666667
49,73.5
97,99.33333333
74,74.33333333
63,70
96,89.16666667
80,79.66666667
87,97.16666667
68,89
87,85.16666667
102,101.3333333
77,93.33333333
73,78.5
90,90.5
85,92.33333333
94,98
94,96.33333333
66,74
87,91.83333333
94,92.66666667
90,98
82,84.5
85,95.16666667
69,85
90,93
96,100
85,89.33333333
85,85.16666667
93,99
63,84.66666667
85,94.66666667
102,98.66666667
91,95
92,91.33333333
76,89.16666667
78,89.66666667
84,96.33333333
55,67.83333333
70,88.33333333
90,95.66666667
87,95.33333333
84,94.16666667
91,97.16666667
95,91.66666667
69,97.33333333
74,87.83333333
92,92.66666667
46,54.66666667
74,86
74,70.83333333
84,83.5
80,90.66666667
86,93.5
63,78
94,95.66666667
85,93
90,93.33333333
61,53
69,78
74,79.5
48,79.83333333
83,92
89,95.83333333
100,100.6666667
92,91.33333333
89,96.66666667
100,99
94,93
65,84.33333333
74,85.16666667
72,90.33333333
93,94.66666667
79,88.83333333
77,79.66666667
87,90.33333333
85,88.66666667
86,90.66666667
66,82
93,84.83333333
82,89.16666667
82,90
96,97
81,80.5
74,79.5
72,85
80,89
90,94
70,89.16666667
85,93.5
80,76.66666667
93,97
91,94.66666667
58,90.83333333
91,94.66666667
83,91.83333333
75,88.08333333
98,100
87,93.33333333
85,88.5
94,100.3333333
91,99.33333333
96,94.33333333
89,92.83333333
80,90.5
93,96.66666667
60,64.33333333
86,97.66666667
67,94.66666667
97,96
42,71.66666667
81,89.66666667
91,95.33333333
89,92.5
60,75.33333333
87,93
76,78.16666667
92,95.66666667
95,95.66666667
87,96.66666667
85,93.33333333
90,96.66666667
85,92.33333333
93,94.66666667
87,84
81,84.5
78,81.33333333
60,86.33333333
57,88.66666667
61,75.66666667
93,99.33333333
60,88.83333333
71,87.66666667
76,80.66666667
97,97.66666667
98,92.66666667
100,99.16666667
85,82
86,89.66666667
94,96.16666667
100,100.6666667
85,95
70,90.33333333
79,84.5
87,96.33333333
82,92.66666667
69,80.66666667
80,85.5
84,89.66666667
97,101
89,89
84,96.33333333
89,90.33333333
100,99.33333333
77,82.33333333
83,86
87,96.16666667
94,97
94,96.66666667
85,95.66666667
95,92.66666667
92,93.5
89,96
93,98.66666667
61,79
90,93.33333333
86,90.5
83,92.66666667
76,88
87,94.33333333
96,96.33333333
93,100.3333333
98,99.83333333
74,85.66666667
