"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",61,105,6.5,30,"Freshman",0,2,70,86,7,55,57,7,"few",40
"female",62,115,6,50,"Sophomore",8,4,80,0,8,56,60,6,"few",50
"female",68,165,8.5,5,"Freshman",4,1,88,20,8,51,51,8,"dozens",99
"female",67,128,7,14,"Junior",3,0,72,120,8,47,47,5,"few",60
"male",71,165,11,10,"Sophomore",2,2,120,20,9,49,50,6,"one",20
"male",68,150,11,7,"Freshman",5,2,96,200,8,38,41,5,"thousands",100
"female",63,119,7.5,20,"Sophomore",1,2,85,58,7,52,53,8,"few",50
"female",68,135,9.5,10,"Sophomore",1,1,70,0,7,39,40,2,"few",40
"female",67,158,10,20,"Freshman",2,1,100,20,6,47,47,8,"few",60
"male",69,165,10.5,4,"Sophomore",4,1,85,0,6,56,59,8,"thousands",30
"female",61,125,7,40,"Freshman",2,2,65,60,8,51,51,3,"few",80
"male",70,167,11,4,"Junior",2,1,90,15,9,56,57,2,"thousands",100
"male",66,135,10,16,"Junior",0,2,125,0,5,47,59,3,"hundreds",50
"female",66,124,8,66,"Sophomore",8,3,83,0,8.5,45,44,3,"few",100
"female",67,150,8,4,"Freshman",2,1,88,20,5,47,51,2,"few",2
"female",66,153,7.5,8,"Sophomore",0,1,35,40,5,40,45,5,"few",30
"female",66,140,8.5,15,"Sophomore",3,2,95,20,8,56,55,6,"few",10
"female",66,165,9.5,4,"Freshman",0,1,65,20,6.5,46,46,6,"one",75
"male",73,162,10.5,15,"Sophomore",0,1,86,23,7,53,56,9,"dozens",2
"female",63,145,6.5,30,"Freshman",5,2,85,0,6,49,51,7,"dozens",100
"female",67,110,8,100,"Freshman",0,2,50,20,7,44,56,5,"few",10
"male",70,140,9.5,3,"Freshman",0,1,90,24,8,47,51,10,"one",20
"male",69,160,10,6,"Sophomore",2,3,105,0,8.5,51,53,7,"millions",10
"male",68,200,8.5,8,"Freshman",0,3,60,1000,6,43,43,2,"few",70
"female",65,160,9,15,"Freshman",1,0,90,0,6,55,56,1,"few",20
"male",74,145,12,5,"Freshman",0,1,110,5,5,50,59,2,"few",50
"female",63,113,8,42,"Freshman",2,1,91,30,8,49,52,8,"thousands",95
"male",72,158,9.5,11,"Freshman",1,2,85,75,7,42,44,4,"few",90
"male",68,135,9,11,"Junior",2,1,105,94,6,51,53,9,"millions",0
