"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"male",72,265,14,6,"Freshman",10,2,120,12,6,46,45,7,"few",75
"female",64,130,6,40,"Sophomore",6,0,100,60,6,51,54,2,"few",50
"male",65,135,9.5,10,"Sophomore",0,2,110,0,6,50,51,6,"dozens",25
"female",64,128,7.5,8,"Sophomore",1,5,90,22,6,40,40,6,"few",75
"female",64,158,8.5,5,"Freshman",0,2,86,42,6,62,62,2,"few",95
"female",63,105,8,20,"Senior",0,1,105,150,6,44,51,10,"few",95
"female",60,125,4,20,"Sophomore",4,3,80,0,6,40,42,9,"one",99
"female",66,150,8.5,60,"Sophomore",0,2,78,200,6,40,41,10,"one",80
"female",65,158,11,11,"Sophomore",0,2,76,200,6,47,58,3,"few",40
"male",67,130,10,3,"Freshman",0,1,65,95,6,40,45,1,"thousands",45
"female",65,140,7.5,20,"Sophomore",1,2,85,150,6,55,55,7,"few",75
"female",65,120,7.5,16,"Sophomore",0,0,90,400,6,45,47,8,"few",1
"male",71,180,11.5,4,"Senior",2,3,110,3,6,53,52,4,"hundreds",50
"female",62,114,6,30,"Freshman",3,3,55,300,6,55,55,4,"one",60
"female",72,165,11,20,"Freshman",3,4,85,30,6,45,46,3,"few",50
"female",67,165,8.5,25,"Sophomore",0,2,60,0,6,47,49,3,"one",50
"female",64,130,8.5,22,"Senior",4,2,108,0,6,51,51,2,"hundreds",100
"male",77,157,11.5,5,"Freshman",0,2,73,200,6,45,46,3,"millions",100
"male",69,145,10,6,"Freshman",0,1,115,26,6,53,47,8,"few",50
"female",63,135,8,20,"Freshman",4,1,95,35,6,52,65,4,"one",10
"female",68,140,8.5,35,"Junior",4,2,90,9,6,56,58,4,"few",50
"male",74,175,13,4,"Freshman",0,0,100,35,6,49,53,4,"few",80
"female",62,131,8,10,"Sophomore",0,2,85,5,6,53,54,5,"few",100
"female",70,150,10.5,31,"Junior",1,2,92,46,6,51,55,2,"millions",95
"female",59,102,6,13,"Sophomore",4,3,70,20,6,35,40,8,"few",50
"female",63,118,7,18,"Junior",0,0,75,200,6,45,55,5,"dozens",0
"female",68,140,8.5,6,"Sophomore",23,2,110,100,6,50,50,8,"dozens",60
"female",62,130,8.5,10,"Sophomore",0,3,85,16,6,52,54,6,"dozens",80
"female",63,110,6,40,"Senior",0,1,100,105,6,48,51,8,"few",100
