"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","No","Small_Town","White","Christian",3,28,4,0,0,0,1,16,"High_School",0,2,30,1,"No",3,5,7,7,9,10,90
"Female","No","suburbs","Asian","Hindu",5,33,3.8,6,4,0,2,16,"High_School",7,1,50,0,"No",1,2,5,6,10,0,30
"Female","No","suburbs","White","Christian",10,25,4,0,0,0,0,0,"College",2,0,10,10,"No",10,9,2,0,10,0,100
"Male","No","big_city","Black","Christian",6,22,2.5,4,1,2,3,14,"High_School",1,0,5,3,"No",0,5,2,3,10,0,0
"Female","No","suburbs","White","Christian",1,25,3.8,10,11,3,2,13,"High_School",2,1,50,0,"No",5,5,5,1,9,0,30
"Female","No","Small_Town","White","Christian",8,31,2.5,0,0,0,0,0,"High_School",1,2,2,9,"No",7,9,8,2,7,15,90
"Female","Yes","suburbs","Asian","Christian",6,30,2.9,3,1,0,1,17,"College",1,0,25,5,"No",5,3,7,4,9,0,100
"Male","No","suburbs","Hispanic","Atheist",0,30,4,4,0,2,1,12,"High_School",2,35,25,0,"No",0,4,5,0,7,30,70
"Female","No","suburbs","White","Agnostic",0,27,4,0,0,0,0,0,"College",2,1,7,0,"No",0,1,0,4,4,0,50
"Female","No","big_city","Hispanic","Other",6,24,3.6,5,0,2,1,18,"College",7,0,25,0,"Yes",0,5,4,4,10,15,0
"Female","No","big_city","Hispanic","Atheist",1,22,3,5,3,1,1,13,"High_School",4,0,50,0,"No",3,2,3,1,7,15,0
"Female","No","big_city","Black","Christian",8,22,3,4,0,2,2,13,"High_School",7,0,50,1,"No",10,5,6,2,7,25,0
"Female","No","Small_Town","White","Christian",7,26,3.7,4,5,1,1,17,"College",5,7,20,8,"No",8,8,8,5,9,5,30
"Male","No","Small_Town","White","Christian",7,32,3.4,5,5,6,1,14,"College",2,0,15,0,"No",2,3,4,5,7,15,70
"Female","No","suburbs","White","Christian",5,29,3.5,20,20,6,1,14,"College",4,0,30,6,"No",10,3,3,5,8,0,90
"Female","Yes","suburbs","White","Christian",7,29,3.8,12,10,0,0,18,"College",2,0,50,5,"No",2,5,6,3,8,0,80
"Female","No","suburbs","White","Agnostic",1,26,3.1,8,6,1,1,11,"High_School",1,10,40,0,"No",0,2,0,2,9,20,0
"Male","No","Small_Town","Other","Atheist",0,29,4,0,0,0,0,19,"College",5,1,20,0,"No",0,2,4,4,7,0,20
"Female","No","suburbs","Asian","Christian",10,29,3.8,0,0,0,2,17,"College",4,0,50,10,"No",8,8,7,2,9,15,80
"Male","No","suburbs","White","Christian",3,34,4,12,2,2,3,14,"College",2,0,30,0,"No",2,7,3,4,9,0,80
"Female","No","Medium_City","Other","Agnostic",2,24,4,0,0,0,1,13,"middle_school",20,0,50,0,"No",5,5,4,5,10,0,80
"Female","No","big_city","Asian","Christian",7,23,3.5,2,3,2,2,18,"middle_school",2,0,30,5,"No",2,5,8,6,10,0,100
"Female","No","suburbs","White","Agnostic",0,34,2,5,10,1,0,18,"0_Kindergarten",15,0,30,0,"Yes",0,0,2,8,4,10,0
"Female","No","big_city","Asian","Atheist",0,29,3.3,2,0,0,2,18,"High_School",3,0,20,0,"No",0,4,6,7,10,0,100
"Female","Yes","Small_Town","White","Christian",4,28,3.4,10,30,3,2,16,"College",1,4,50,0,"No",0,7,7,0,9,0,30
"Female","No","suburbs","Other","Christian",4,28,3.2,5,2,2,2,13,"College",2,0,50,0,"No",3,4,7,2,8,10,90
"Male","No","Medium_City","Asian","Christian",3,30,2,0,0,0,0,0,"High_School",4,0,20,10,"No",3,4,7,5,9,0,100
"Female","No","suburbs","Asian","Christian",8,23,2.5,0,0,0,0,12,"High_School",0,0,15,3,"No",8,2,7,5,8,0,90
"Female","No","suburbs","Asian","Agnostic",5,32,3,5,2,2,0,18,"College",2,5,8,0,"No",1,4,7,3,5,10,100
"Male","No","big_city","Asian","Atheist",1,28,3,5,5,2,1,13,"High_School",1,0,50,3,"No",3,5,10,9,9,0,0
"Male","No","big_city","Asian","Buddhist",2,29,3.6,4,0,5,1,18,"College",4,2,10,8,"No",2,8,8,9,9,0,100
"Female","No","Small_Town","White","Christian",7,28,3.8,8,5,1,2,13,"middle_school",2,0,9,0,"No",2,2,0,2,10,10,70
"Female","No","suburbs","Black","Christian",8,30,1.3,4,5,5,2,0,"College",50,33,10,5,"No",5,5,5,5,8,40,50
"Female","Yes","suburbs","White","Jewish",6,31,3.6,8,5,4,2,16,"College",6,5,50,0,"No",0,4,5,5,7,0,100
"Female","No","Medium_City","Black","Christian",6,25,3.5,3,0,0,0,0,"College",2,0,15,0,"No",3,3,2,5,4,10,90
"Female","No","big_city","Hispanic","Christian",5,29,2.9,8,3,2,0,18,"College",5,6,25,0,"No",5,4,5,5,6,40,100
"Female","No","Small_Town","White","Atheist",0,32,4,1,0,1,2,17,"High_School",5,0,50,0,"No",3,5,7,6,3,20,10
"Female","No","suburbs","Other","Christian",7,23,3.3,5,1,1,1,16,"College",7,40,50,0,"No",5,2,5,6,8,15,0
"Male","No","suburbs","Other","Christian",6,32,4,7,4,0,0,0,"High_School",7,0,50,8,"No",9,7,7,7,9,0,100
"Male","Yes","suburbs","White","Christian",4,26,2.7,6,40,6,2,13,"College",1,0,50,0,"No",0,2,4,2,10,15,90
"Female","Yes","Small_Town","White","Christian",5,31,3.8,7,12,0,1,19,"College",8,20,40,2,"No",3,3,7,4,9,10,90
"Female","No","Small_Town","White","Agnostic",0,28,3.7,15,9,0,2,15,"College",2,0,10,0,"No",9,7,6,3,5,15,90
"Female","No","Small_Town","White","Christian",7,28,2.4,2,4,3,1,17,"College",1,15,50,0,"No",1,6,4,3,5,10,90
"Female","No","Small_Town","White","Christian",8,22,3.7,0,0,0,0,0,"College",7,0,5,9,"No",9,7,2,2,10,5,60
"Female","No","Small_Town","White","Christian",3,24,3.5,4,4,1,0,18,"College",2,2,14,10,"No",5,5,5,2,10,0,100
"Male","No","Medium_City","Asian","Atheist",0,23,3.8,0,0,0,0,16,"College",0,0,5,3,"No",4,2,4,6,6,0,100
"Female","Yes","suburbs","White","Christian",3,24,3.5,5,6,1,0,15,"College",4,10,50,0,"No",5,6,6,3,10,10,90
"Female","No","Medium_City","White","Christian",1,30,3.2,12,21,4,2,13,"College",3,7,50,0,"No",0,5,2,3,10,15,0
"Female","No","suburbs","White","Christian",4,33,3.7,12,14,0,1,14,"College",8,2,35,0,"No",9,3,2,5,8,15,10
"Female","No","suburbs","Hispanic","Christian",9,25,2.2,10,3,1,1,16,"High_School",5,5,50,10,"No",10,3,4,4,8,15,10
"Male","No","big_city","Asian","Buddhist",7,30,3.9,2,0,0,1,16,"High_School",5,2,10,4,"No",5,5,7,1,9,0,90
"Female","No","Small_Town","White","Christian",7,25,3.7,10,10,1,1,15,"High_School",4,4,50,0,"No",3,5,6,6,10,10,50
"Female","Yes","suburbs","White","Christian",3,28,3.7,18,10,2,2,15,"College",7,0,50,0,"No",2,5,7,2,9,0,30
"Female","No","suburbs","Hispanic","Other",5,23,3,2,0,1,1,17,"High_School",14,0,50,0,"No",2,3,4,5,10,15,20
"Female","No","suburbs","White","Christian",6,26,4,12,10,1,1,15,"College",5,5,50,0,"No",3,3,4,5,9,0,100
"Female","No","suburbs","Asian","Christian",6,31,3,1,0,2,2,14,"College",1,2,30,0,"Yes",3,2,8,5,8,0,50
"Male","No","Medium_City","Asian","Buddhist",5,17,2.8,6,17,2,0,16,"0_Kindergarten",3,0,25,2,"Yes",1,1,1,2,5,0,0
"Male","No","suburbs","White","Christian",5,33,3.5,0,0,0,2,15,"High_School",4,1,50,0,"No",5,7,6,8,8,0,0
"Male","No","Small_Town","White","Christian",6,27,3.8,2,0,6,1,15,"0_Kindergarten",2,0,10,5,"No",4,8,8,5,8,0,100
"Female","Yes","suburbs","White","Christian",1,29,2.8,20,30,3,1,16,"College",1,2,20,0,"No",0,0,4,2,9,15,40
"Female","Yes","suburbs","White","Jewish",5,31,3.8,16,15,3,1,13,"College",4,0,45,1,"No",2,2,3,1,8,0,100
"Male","No","suburbs","White","Agnostic",0,25,3,0,0,0,0,0,"College",1,0,5,0,"No",0,2,5,5,10,25,90
"Female","Yes","big_city","Hispanic","Other",2,26,3.5,6,7,0,0,15,"College",6,0,50,0,"No",6,2,2,5,5,0,0
"Female","No","suburbs","Asian","Hindu",6,27,3.5,15,10,1,1,13,"College",6,2,50,6,"No",4,6,6,7,6,10,90
"Female","Yes","suburbs","White","Christian",8,29,3.1,4,1,1,3,13,"College",15,0,20,9,"No",9,8,5,7,10,0,60
"Male","Yes","Medium_City","Asian","Christian",7,33,4,19,2,2,1,17,"High_School",1,6,10,5,"Yes",9,9,3,8,5,0,90
"Female","No","suburbs","White","Christian",7,33,4,20,10,1,2,12,"middle_school",4,1,50,0,"No",3,3,7,2,8,0,90
"Female","No","suburbs","Asian","Atheist",0,27,4,0,0,0,0,15,"1st_5th_grade",2,0,20,0,"No",5,2,5,8,8,0,70
"Female","No","suburbs","White","Atheist",0,29,4,6,10,3,2,12,"College",3,0,50,0,"No",0,0,6,0,10,0,50
"Male","No","big_city","Hispanic","Other",4,20,1,2,0,1,1,8,"High_School",4,0,10,5,"No",10,5,6,8,9,0,10
"Male","No","big_city","Hispanic","Christian",7,23,1.9,4,1,1,1,17,"High_School",5,0,10,1,"No",9,2,8,1,9,0,10
"Female","No","big_city","Asian","Agnostic",2,29,3.5,3,0,0,0,0,"College",7,0,0,0,"No",0,5,5,8,10,0,100
"Female","No","Medium_City","Black","Christian",9,17,3.2,10,11,1,1,19,"College",4,10,50,5,"Yes",4,4,3,5,7,0,90
"Female","No","suburbs","Other","Christian",8,24,4,0,0,1,1,16,"0_Kindergarten",3,4,30,5,"No",2,2,5,6,10,30,50
"Male","Yes","suburbs","White","Christian",5,24,2.1,4,10,2,1,16,"0_Kindergarten",25,3,50,4,"Yes",5,5,10,0,10,0,30
"Female","No","suburbs","White","Other",3,27,4,10,15,0,0,17,"High_School",2,0,40,0,"No",3,3,7,7,9,0,50
"Female","No","suburbs","White","Jewish",7,24,3.8,10,5,2,1,17,"College",6,50,50,0,"No",0,2,5,5,10,0,100
"Female","Yes","suburbs","White","Christian",2,28,4,10,10,1,1,14,"High_School",1,2,25,0,"No",0,8,8,6,8,0,100
"Female","Yes","Medium_City","White","Christian",8,29,3.8,15,9,1,1,18,"College",5,0,50,10,"No",9,5,4,0,10,10,10
"Female","No","Small_Town","White","Christian",7,23,2.9,6,8,3,3,13,"High_School",1,1,50,2,"No",7,8,5,5,6,0,60
"Male","No","Small_Town","White","Christian",0,20,2.9,3,6,1,1,16,"High_School",5,3,50,0,"No",1,3,5,7,8,0,90
"Female","No","suburbs","White","Christian",4,23,3.9,0,0,2,2,15,"High_School",4,0,50,0,"No",0,5,4,3,8,0,100
"Female","No","suburbs","White","Other",4,34,3.8,12,12,11,1,12,"College",4,36,50,0,"Yes",0,0,0,0,10,0,90
"Female","No","big_city","White","Christian",4,22,3.3,3,0,2,2,14,"College",7,0,50,0,"No",0,6,6,6,8,10,100
"Female","No","suburbs","Hispanic","Christian",4,26,3.4,4,1,2,0,14,"middle_school",12,3,9,0,"No",1,0,3,4,10,0,30
"Female","No","big_city","Black","Christian",7,28,2.5,2,1,4,2,12,"College",20,0,25,2,"Yes",8,4,5,2,9,15,0
"Male","No","Medium_City","White","Agnostic",2,29,3.9,4,3,1,1,14,"High_School",5,2,50,0,"Yes",1,6,8,5,8,30,70
"Female","Yes","suburbs","White","Other",0,26,2.8,5,5,0,0,18,"1st_5th_grade",5,0,30,0,"Yes",0,5,7,3,9,10,80
"Female","No","big_city","Asian","Atheist",3,28,3.3,0,0,0,0,0,"College",1,0,20,5,"No",1,5,3,5,5,0,100
"Male","No","Small_Town","White","Christian",4,30,3.9,3,2,1,4,13,"High_School",4,9,49,4,"No",5,4,6,5,10,20,10
"Male","No","suburbs","Asian","Atheist",0,23,3.5,2,3,3,3,19,"College",1,0,3,5,"No",5,5,5,5,5,0,100
"Female","No","suburbs","Black","Christian",3,22,3,3,3,3,1,16,"middle_school",4,0,40,4,"Yes",9,5,7,2,7,15,30
"Female","Yes","Medium_City","White","Christian",7,28,3.7,20,25,2,0,14,"College",7,3,35,3,"No",5,5,7,4,9,10,70
"Male","No","suburbs","White","Christian",5,26,3.2,3,2,4,5,15,"middle_school",1,0,50,1,"No",5,3,6,1,5,10,0
"Female","No","Medium_City","White","Christian",5,26,3.5,8,6,1,1,16,"High_School",12,12,50,0,"No",0,4,7,9,10,25,70
"Female","No","big_city","Hispanic","Other",4,26,3.3,1,2,2,1,12,"High_School",7,0,30,0,"No",1,0,1,0,10,0,0
"Male","No","suburbs","Asian","Other",5,31,3.6,3,0,1,1,18,"High_School",3,0,30,3,"No",5,5,6,7,6,0,100
"Female","No","suburbs","White","Christian",1,27,3.5,10,0,2,2,14,"College",7,1,50,0,"No",0,5,8,5,10,0,100
"Female","No","suburbs","White","Agnostic",0,31,3.2,4,4,1,1,13,"0_Kindergarten",5,0,50,0,"Yes",2,4,7,5,8,0,90
"Female","No","big_city","Asian","Atheist",0,30,4,0,0,0,1,0,"High_School",3,3,1,3,"No",0,5,1,10,9,0,100
"Female","No","Small_Town","White","Christian",9,33,4,0,0,0,3,14,"College",4,5,50,5,"No",10,9,2,3,9,0,90
"Female","No","suburbs","White","Agnostic",0,21,3.4,5,4,2,3,15,"College",1,30,50,0,"No",0,3,5,10,10,15,100
"Female","No","Medium_City","White","Christian",7,30,4,5,2,0,2,14,"High_School",2,5,50,0,"No",3,5,5,5,10,0,90
"Female","No","big_city","Black","Christian",7,25,3.7,6,5,1,3,18,"High_School",7,4,50,2,"No",2,2,2,6,10,0,0
"Female","No","suburbs","White","Christian",1,31,4,3,0,0,1,15,"1st_5th_grade",3,26,35,0,"No",1,4,5,5,8,10,90
"Female","No","big_city","Hispanic","Christian",4,24,4,3,3,0,0,0,"College",5,0,10,0,"No",8,3,6,4,9,0,20
"Female","Yes","Small_Town","White","Christian",9,26,3.4,3,3,0,0,14,"College",9,1,50,5,"No",10,5,5,0,10,0,100
"Female","No","big_city","Other","Other",0,24,3.8,8,0,5,3,10,"High_School",2,0,50,0,"No",0,0,5,5,9,20,0
"Female","No","Medium_City","White","Christian",4,25,3.4,0,0,0,0,17,"High_School",3,0,16,1,"No",5,3,7,5,7,10,60
"Male","Yes","big_city","White","Atheist",0,24,2.8,10,30,4,1,14,"College",2,2,50,0,"No",0,5,4,5,8,10,70
"Female","Yes","suburbs","White","Christian",0,30,3.1,25,38,5,1,17,"College",1,0,50,0,"No",3,3,4,0,4,0,50
"Female","No","suburbs","Asian","Buddhist",7,29,3.8,1,0,0,1,0,"1st_5th_grade",3,0,10,3,"No",0,7,3,3,7,0,100
"Female","No","big_city","Black","Christian",6,26,2.3,0,0,0,0,12,"High_School",8,2,1,1,"No",2,4,4,7,8,10,10
"Female","No","suburbs","White","Agnostic",0,27,4,20,10,1,1,15,"College",2,1,30,0,"No",0,4,7,7,8,20,80
"Female","No","Medium_City","White","Christian",8,28,4,0,0,0,0,0,"College",2,7,35,0,"No",9,6,5,2,6,15,50
"Female","No","big_city","Black","Christian",8,24,2.7,5,1,1,1,16,"College",4,50,50,5,"No",0,4,5,10,6,20,100
"Female","No","suburbs","White","Agnostic",5,32,4,0,0,0,1,14,"College",2,0,40,0,"No",2,2,1,3,7,20,100
"Female","No","big_city","White","Christian",5,26,2.8,12,10,5,2,14,"High_School",7,0,50,1,"No",9,1,7,3,7,30,0
"Male","No","suburbs","Asian","Muslim",5,27,2.9,3,4,2,2,14,"College",4,0,15,3,"Yes",0,1,5,5,6,10,0
"Female","Yes","Small_Town","White","Christian",7,31,4,2,1,1,1,18,"High_School",1,0,15,5,"No",10,8,5,4,9,10,10
"Female","Yes","suburbs","White","Jewish",2,28,3.7,8,6,3,1,13,"High_School",6,0,30,10,"No",0,5,5,10,10,0,90
"Female","No","big_city","Hispanic","Agnostic",0,20,3.2,8,4,3,2,14,"College",6,0,30,0,"No",0,3,2,3,8,10,0
"Male","No","big_city","Hispanic","Christian",5,33,3.9,8,20,1,2,13,"High_School",7,20,40,0,"No",3,4,3,2,10,0,30
"Female","No","suburbs","Asian","Christian",8,34,3.5,4,1,0,0,16,"High_School",21,0,30,0,"No",8,6,0,5,9,0,90
"Female","No","suburbs","Black","Christian",7,30,3.5,2,0,0,0,0,"0_Kindergarten",15,0,6,7,"No",1,0,1,1,5,0,30
"Male","No","Small_Town","Asian","Christian",7,29,4,7,10,1,1,16,"High_School",1,0,30,10,"No",4,4,4,10,8,0,100
"Female","Yes","suburbs","White","Christian",6,29,3.4,10,15,6,1,16,"College",5,0,50,5,"No",4,7,4,4,10,20,70
"Female","No","suburbs","White","Christian",6,27,3.9,4,2,0,0,17,"College",10,10,50,4,"No",5,5,4,5,8,0,70
"Male","No","suburbs","White","Christian",8,26,4,10,20,0,3,13,"High_School",1,1,10,5,"No",7,7,7,6,8,0,90
"Female","No","big_city","Hispanic","Other",6,22,3.6,15,50,0,0,16,"0_Kindergarten",2,1,50,5,"No",9,7,7,10,9,5,40
"Female","Yes","suburbs","White","Christian",6,27,4,18,20,0,0,14,"High_School",7,4,50,2,"Yes",0,7,6,9,10,0,100
"Female","No","Medium_City","Black","Christian",7,32,2.3,1,1,1,4,15,"College",2,0,30,0,"Yes",0,3,0,0,6,15,0
"Female","No","suburbs","White","Christian",3,31,3.6,7,7,1,1,16,"College",1,0,25,0,"No",5,3,5,4,5,5,90
"Female","No","Small_Town","White","Christian",7,25,3.7,4,0,0,1,16,"College",15,0,50,6,"No",9,10,10,8,8,10,100
"Female","No","suburbs","White","Christian",5,23,3.3,10,15,4,1,18,"College",7,3,26,5,"No",5,5,5,8,6,0,20
"Female","No","Small_Town","Other","Agnostic",5,21,2.4,4,4,1,2,15,"High_School",6,0,50,2,"Yes",3,5,6,6,9,10,10
"Female","Yes","Small_Town","White","Christian",9,27,3,5,6,0,1,15,"College",4,0,30,0,"No",6,6,4,0,10,0,90
"Female","Yes","Small_Town","White","Christian",5,26,3.4,13,24,7,3,15,"High_School",4,4,40,10,"No",5,10,10,10,3,0,100
"Female","No","suburbs","White","Other",10,25,4,0,0,0,1,15,"High_School",3,0,30,5,"No",10,9,7,0,10,0,0
"Female","No","big_city","Asian","Other",2,28,4,0,0,0,0,0,"1st_5th_grade",5,0,10,0,"No",5,7,7,9,10,0,100
"Male","No","Medium_City","White","Atheist",0,31,3.4,1,1,5,3,13,"High_School",2,1,50,0,"No",0,5,7,5,5,0,10
"Female","No","suburbs","White","Jewish",7,27,3.8,14,18,2,3,14,"High_School",4,0,50,0,"No",0,7,5,5,10,0,100
"Male","No","suburbs","Asian","Christian",5,30,4,5,3,1,1,16,"College",1,0,50,6,"No",2,6,6,6,5,0,30
"Female","No","big_city","Asian","Agnostic",3,31,3.3,0,0,0,2,0,"High_School",0,0,20,0,"No",8,3,4,4,6,0,80
"Female","No","big_city","Asian","Christian",2,31,3.5,0,0,0,0,18,"College",1,0,30,8,"No",6,7,5,5,3,0,100
"Female","No","suburbs","Hispanic","Atheist",0,32,3.6,5,2,0,0,13,"College",6,0,25,0,"No",0,1,2,0,9,0,100
"Male","No","big_city","Asian","Muslim",3,26,2.8,0,0,0,1,11,"High_School",2,0,25,0,"No",6,5,5,10,10,0,100
"Female","Yes","Small_Town","White","Christian",1,23,3.2,10,5,2,2,15,"College",7,2,40,0,"No",0,5,8,6,8,0,0
"Female","Yes","Small_Town","White","Christian",5,29,4,12,20,1,2,14,"College",7,3,50,0,"No",1,2,4,6,10,0,50
"Female","No","Medium_City","Asian","Buddhist",5,30,3.6,2,1,0,2,18,"0_Kindergarten",6,0,5,5,"No",5,3,6,6,10,0,100
"Female","No","Small_Town","White","Christian",8,27,3.6,4,0,0,0,0,"High_School",1,8,23,9,"No",10,8,7,5,8,0,90
"Female","Yes","suburbs","White","Christian",5,24,2.8,13,15,2,2,17,"College",3,10,48,0,"No",0,6,6,5,8,0,100
"Male","No","big_city","Asian","Atheist",2,29,3.8,6,3,3,1,17,"High_School",1,0,50,5,"No",8,3,5,5,5,0,100
"Female","No","suburbs","White","Christian",2,30,4,10,9,4,2,16,"College",6,10,50,5,"No",3,5,7,5,7,0,60
"Male","No","suburbs","White","Agnostic",0,30,2.8,20,50,1,1,17,"College",3,20,50,0,"No",0,0,5,5,10,0,50
"Female","No","suburbs","White","Christian",6,29,4,2,0,0,0,0,"High_School",6,0,9,3,"No",5,2,4,5,10,0,90
"Male","No","suburbs","Asian","Christian",5,31,3,0,2,3,2,19,"High_School",1,0,43,5,"No",3,5,4,8,9,0,100
"Female","No","Medium_City","Black","Christian",5,19,2.5,6,2,3,2,17,"High_School",14,1,45,0,"No",5,4,4,5,8,30,10
"Male","Yes","suburbs","White","Christian",5,25,3.5,20,30,2,3,14,"College",2,5,35,10,"No",10,10,5,7,8,20,90
"Female","No","suburbs","Hispanic","Christian",8,25,3.4,20,7,2,2,15,"College",3,2,38,0,"No",10,8,9,5,8,15,30
"Male","No","Small_Town","White","Atheist",0,33,3,0,0,1,1,15,"College",0,2,50,3,"No",0,5,10,10,0,0,100
"Male","No","suburbs","Black","Christian",6,27,3.3,0,0,0,0,10,"0_Kindergarten",2,10,5,1,"No",5,5,7,4,10,10,0
"Female","Yes","suburbs","White","Christian",2,26,3.4,10,10,1,1,18,"College",4,1,30,9,"No",3,5,5,4,10,0,90
"Female","No","Small_Town","Hispanic","Christian",8,32,4,0,1,0,0,14,"College",2,1,4,0,"No",1,1,1,2,8,0,10
"Female","No","Medium_City","Asian","Christian",8,27,3.2,0,0,0,0,0,"College",3,0,20,6,"No",6,6,3,3,9,5,20
"Female","No","big_city","Other","Christian",8,23,3.4,0,0,2,2,14,"1st_5th_grade",50,0,50,4,"No",0,9,0,0,10,0,0
"Female","No","big_city","Asian","Atheist",1,31,3.8,1,0,0,0,0,"1st_5th_grade",2,0,3,1,"No",1,4,5,4,9,0,100
"Female","No","suburbs","White","Christian",0,27,3.9,0,0,2,2,13,"High_School",8,0,50,0,"No",4,8,8,9,10,20,50
"Female","No","big_city","Asian","Buddhist",1,27,3.7,1,0,3,3,15,"College",2,0,0,2,"No",1,0,6,7,8,0,100
"Female","Yes","big_city","Hispanic","Christian",5,27,3.1,6,10,1,1,14,"High_School",3,4,40,0,"No",1,2,2,6,6,20,90
"Female","No","suburbs","Asian","Agnostic",3,30,3.8,5,5,1,1,17,"High_School",7,0,50,0,"No",0,2,4,4,8,10,0
"Female","No","Small_Town","White","Christian",5,30,4,5,5,1,1,15,"High_School",5,3,50,9,"No",9,7,9,5,9,0,90
"Female","No","suburbs","White","Jewish",0,27,2.9,0,0,6,2,13,"College",15,0,40,0,"Yes",4,1,5,3,7,0,80
"Female","No","suburbs","Other","Muslim",6,25,3.2,2,0,0,1,21,"College",2,2,20,0,"No",1,3,1,3,6,10,10
"Female","No","suburbs","Asian","Hindu",6,30,4,10,6,0,1,16,"College",5,2,40,5,"No",5,5,6,8,9,0,100
"Female","No","suburbs","White","Christian",4,29,3.3,4,6,1,1,16,"High_School",1,10,50,0,"No",8,4,7,5,10,10,10
"Female","No","suburbs","Asian","Muslim",1,27,4,10,6,0,0,18,"College",7,2,50,0,"No",8,5,5,5,6,0,100
"Female","No","suburbs","White","Christian",7,26,3,0,1,1,1,17,"High_School",1,0,50,0,"No",0,4,4,0,10,0,100
"Female","Yes","big_city","White","Agnostic",1,30,3.2,12,10,1,1,15,"High_School",4,5,40,0,"No",4,5,6,5,7,5,0
"Female","No","Medium_City","Asian","Atheist",0,32,4,0,0,0,0,0,"1st_5th_grade",7,0,50,5,"No",0,5,5,5,7,0,100
"Female","Yes","suburbs","White","Christian",6,21,3.6,4,5,2,2,17,"College",7,3,50,5,"No",5,5,6,6,8,0,50
"Female","Yes","suburbs","Hispanic","Christian",4,21,2.7,13,22,0,0,16,"College",2,3,12,3,"No",8,5,4,2,10,0,100
"Female","No","big_city","Asian","Buddhist",4,28,3.2,3,2,1,1,18,"College",2,0,5,2,"No",2,5,5,9,5,0,100
"Female","Yes","Small_Town","Asian","Christian",6,25,3.4,0,0,0,1,19,"College",1,0,4,0,"Yes",0,4,4,3,8,0,100
"Male","No","Small_Town","White","Other",3,24,3.6,3,0,0,0,15,"College",7,0,5,0,"No",5,5,5,3,10,0,50
"Female","No","Medium_City","Asian","Agnostic",0,29,4,7,1,1,6,14,"middle_school",7,1,50,10,"No",0,5,5,5,7,0,60
"Male","No","suburbs","White","Jewish",0,31,3.9,20,30,1,1,13,"1st_5th_grade",6,0,50,0,"No",5,3,5,0,10,0,100
"Female","Yes","big_city","Hispanic","Other",6,24,2.3,6,4,0,1,14,"College",2,10,50,0,"No",10,6,5,8,9,0,10
"Female","No","suburbs","White","Christian",7,29,3.9,0,0,0,1,15,"High_School",7,0,20,8,"No",10,8,5,5,8,10,0
"Female","No","suburbs","Black","Christian",7,26,3.2,2,0,1,1,16,"College",10,0,10,0,"No",2,0,5,0,10,20,10
"Female","Yes","Medium_City","Asian","Agnostic",0,32,3.8,15,15,7,1,13,"College",0,0,50,0,"No",0,5,5,5,3,15,100
"Male","No","big_city","Asian","Atheist",1,30,3.7,0,1,2,3,19,"middle_school",2,0,5,1,"No",6,3,8,10,5,0,100
"Male","No","Medium_City","White","Agnostic",0,26,3.4,6,11,2,2,16,"College",1,10,50,0,"No",3,2,4,0,9,0,10
"Female","Yes","suburbs","White","Christian",7,29,3.3,5,6,0,0,18,"College",5,4,36,0,"No",9,8,8,7,8,15,100
"Female","No","suburbs","Asian","Christian",6,26,3.7,1,0,0,1,0,"1st_5th_grade",4,0,50,8,"No",5,5,6,5,9,0,70
"Male","Yes","Medium_City","Asian","Christian",3,31,3.4,12,10,4,1,12,"College",4,0,50,5,"No",2,5,5,5,10,10,50
"Female","Yes","Small_Town","White","Jewish",2,25,3.8,8,8,0,0,18,"High_School",10,3,50,0,"No",2,3,3,10,8,5,100
"Male","Yes","suburbs","Hispanic","Christian",4,24,3.1,10,20,0,0,18,"College",17,0,50,0,"No",5,3,4,6,9,15,80
"Female","Yes","big_city","Black","Other",4,29,3.8,0,1,1,1,16,"College",4,1,50,0,"No",0,5,0,4,7,15,10
"Female","No","suburbs","White","Christian",7,27,3.5,6,6,0,0,17,"High_School",10,0,15,2,"No",9,9,8,5,10,0,100
"Female","No","big_city","Other","Atheist",0,27,3.6,10,8,1,1,17,"College",1,3,50,0,"Yes",2,1,3,5,8,15,0
"Female","No","suburbs","White","Christian",5,30,3.7,6,6,1,1,13,"High_School",3,1,40,0,"No",2,5,6,7,7,0,90
"Female","Yes","suburbs","White","Other",5,28,3.7,20,30,3,3,13,"College",4,10,50,0,"No",0,4,5,5,8,0,100
"Female","Yes","suburbs","White","Christian",3,26,3.3,6,10,2,0,16,"College",4,1,46,5,"No",0,1,5,2,7,30,100
"Female","No","suburbs","Asian","Christian",9,29,3.3,0,1,2,1,15,"College",1,3,35,5,"No",7,2,7,5,7,5,50
"Female","Yes","Small_Town","White","Christian",6,24,3.5,15,21,8,3,16,"College",8,10,25,0,"Yes",8,5,5,8,8,0,10
"Male","Yes","Medium_City","Other","Christian",8,33,3,0,0,0,0,0,"College",2,0,8,6,"No",8,3,2,2,9,0,100
"Male","No","big_city","Black","Muslim",7,22,3.5,5,1,10,3,16,"College",1,4,50,5,"No",5,5,5,7,8,10,10
"Female","No","big_city","Other","Christian",2,27,4,7,10,4,3,15,"High_School",5,8,31,0,"No",2,5,5,5,8,0,70
