"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","No","Small_Town","White","Christian",7,30,4,12,20,1,2,15,"College",5,0,50,1,"No",5,2,5,4,9,0,50
"Female","No","big_city","Asian","Christian",8,30,3.6,3,0,0,0,0,"College",3,12,6,7,"No",5,5,6,7,9,0,100
"Female","Yes","suburbs","White","Jewish",5,28,3.7,8,6,3,2,14,"High_School",6,0,50,8,"No",9,3,9,4,10,0,90
"Male","No","Small_Town","Asian","Christian",7,26,4,0,0,1,1,18,"High_School",3,1,50,5,"No",9,6,6,7,8,0,90
"Female","No","suburbs","White","Christian",7,26,3.9,15,5,4,2,13,"1st_5th_grade",10,0,50,5,"No",9,4,6,2,10,0,90
"Female","No","Medium_City","White","Other",1,32,3.5,0,0,0,2,13,"College",3,0,50,0,"No",1,3,8,0,10,0,100
"Female","No","Small_Town","Asian","Christian",3,27,3,0,0,1,1,13,"High_School",3,0,50,0,"No",5,3,7,3,3,0,100
"Female","Yes","Medium_City","White","Christian",6,25,3.7,12,20,7,1,14,"College",9,4,40,7,"No",3,10,2,8,9,40,100
"Female","No","Medium_City","White","Christian",4,30,3.8,10,5,1,1,15,"High_School",2,2,50,0,"No",3,5,5,7,5,0,80
"Female","No","suburbs","White","Christian",2,23,2.5,0,0,0,0,0,"College",1,10,15,0,"No",0,5,5,5,7,0,100
"Female","Yes","suburbs","Hispanic","Christian",6,25,3,20,18,1,1,14,"College",7,4,50,3,"No",1,5,4,5,9,0,100
"Female","No","Medium_City","Black","Christian",5,21,4,0,0,0,0,0,"College",10,5,40,10,"No",10,5,5,5,10,0,100
"Female","No","Small_Town","White","Christian",6,26,3.5,4,2,3,1,15,"College",3,1,50,2,"No",10,6,5,5,5,20,0
"Female","No","big_city","White","Christian",1,29,4,10,7,3,2,13,"College",1,0,50,0,"Yes",0,8,8,10,1,0,100
"Female","No","Medium_City","White","Christian",4,28,3.9,2,0,0,2,16,"College",3,0,20,0,"Yes",3,2,2,0,10,5,90
"Male","Yes","Small_Town","White","Christian",3,28,3.9,9,40,0,0,18,"High_School",0,1,30,3,"No",1,8,7,6,9,10,10
"Female","No","big_city","Hispanic","Other",5,25,3.5,0,0,1,1,17,"High_School",5,2,10,0,"No",10,1,5,5,7,10,0
"Male","No","big_city","Hispanic","Atheist",0,25,3.5,12,2,4,1,16,"College",2,0,50,0,"No",0,3,8,6,5,0,10
"Male","No","suburbs","Hispanic","Christian",3,23,2.9,20,20,9,3,12,"College",7,0,50,0,"No",2,3,5,7,10,15,100
"Female","No","Small_Town","White","Christian",10,31,3.8,0,0,1,2,14,"College",14,4,40,2,"No",4,5,2,2,10,5,10
"Female","Yes","suburbs","White","Christian",8,27,3.7,10,11,3,1,15,"College",12,1,30,0,"No",2,8,6,8,10,40,90
"Female","No","suburbs","White","Christian",3,31,4,5,2,2,1,16,"College",2,0,50,0,"No",0,7,5,5,10,0,100
"Female","No","big_city","White","Christian",8,30,3.5,1,0,0,0,0,"High_School",3,30,50,0,"No",0,3,3,4,7,0,70
"Female","No","suburbs","Asian","Christian",9,24,3.7,0,0,0,0,0,"middle_school",3,0,4,10,"No",10,5,3,1,8,0,80
"Female","No","suburbs","Other","Atheist",0,27,3.3,4,3,2,3,11,"College",5,10,50,0,"Yes",4,5,8,6,10,0,80
"Female","No","suburbs","Asian","Muslim",3,27,1.9,11,10,2,2,17,"College",7,7,50,3,"No",0,2,5,9,7,0,100
"Female","No","suburbs","Black","Christian",7,25,2.7,5,0,0,1,17,"High_School",7,6,50,10,"No",10,8,7,5,8,20,0
"Female","No","Medium_City","Asian","Buddhist",2,31,3.5,2,0,1,2,17,"middle_school",1,2,0,6,"Yes",5,8,7,10,7,0,100
