"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",65,116,7.5,"Freshman",4.5,4,28,2,2,110,0,7.5,17,54,54,1,"few",20
"Female","Female",63,120,8,"Sophomore",3,3.3,25,3,3,100,25,7,20,47,42,2,"few",60
"Female","Female",65,120,8,"Sophomore",5,3.5,23,3,4,92,5,8,20,45,46,7,"few",85
"Female","Female",67,110,5.5,"Freshman",7,3.5,33,0,0,0,1000,7.5,10,50,56,2,"none",50
"Female","Female",69,135,8,"Sophomore",1,3.7,29,4,1,100,0,7,20,45,45,5,"one",50
"Female","Female",63,144,8,"Freshman",4,3.7,20,4,6,0,0,6,24,54,61,5,"dozens",90
"Female","Female",67,160,9,"Sophomore",3,2.9,22,1,3,0,0,6,10,55,63,3,"few",50
"Female","Female",65,134,7.5,"Sophomore",2.5,3.6,28,3,2,110,500,8,15,54,55,7,"dozens",40
"Female","Female",65,111,7.5,"Sophomore",4,3,27,0,1,95,5,7.5,30,59,57,7,"one",84
"Female","Female",63,201,7.5,"Senior",2.5,3.3,21,2,0,90,50,6.5,12,48,48,9,"few",50
"Female","Female",62,120,6,"Sophomore",3.5,3.7,26,2,0,75,25,7,7,58,65,7,"few",80
"Female","Female",68,130,9.5,"Sophomore",3,3.7,25,2,3,85,200,8,17,49,51,2,"dozens",40
"Female","Female",68,125,8.5,"Freshman",2,4,28,4,2,97,70,9,30,44,45,2,"few",80
"Male","Male",72,240,12,"Freshman",2.5,3,24,3,4,115,14,6.5,7,38,40,8,"one",85
"Female","Female",61,100,6,"Freshman",2,4,22,0,1,90,300,7.5,7,50,50,7,"one",97
"Female","Female",67,125,7.5,"Freshman",2,4,28,8,2,100,100,8,10,51,57,2,"hundreds",100
"Male","Male",73,192,12.5,"Sophomore",2,3.3,29,0,2,100,5,6.5,7,53,53,5,"hundreds",100
"Female","Female",64,150,8,"Sophomore",4,3.4,27,4,1,70,20,9,15,44,46,7,"few",10
"Male","Male",72,160,11,"Senior",4,3.1,20,1,2,100,0,7.5,6,58,63,3,"few",40
"Male","Male",72,151,10.5,"Junior",3,4,21,0,1,0,0,7,5,51,51,9,"thousands",10
"Female","Female",66,125,6.5,"Freshman",3,4,26,1,2,95,500,8,26,44,45,7,"thousands",85
"Female","Female",63,156,8,"Freshman",3,3.4,27,1,2,45,10,6,10,40,40,1,"few",70
"Female","Female",62,120,6.5,"Sophomore",4.5,3,30,1,2,90,5,6.5,20,50,54,7,"dozens",50
"Female","Female",59,115,6,"Freshman",5,3.8,29,2,1,80,40,6,7,63,63,2,"few",100
"Female","Female",66,135,10,"Sophomore",2,3.6,30,3,3,115,15,7.5,10,53,57,8,"few",55
"Female","Female",62,113,7,"Freshman",3,4,24,0,2,85,60,7,30,55,57,5,"one",30
"Male","Male",67,153,11,"Sophomore",3.5,3.6,16,1,2,80,110,6.5,4,45,45,10,"one",25
"Female","Female",70,145,10,"Sophomore",2,3.7,26,15,2,85,22,8,12,57,62,5,"few",100
"Female","Female",63,112,6.5,"Freshman",2,3.3,32,0,1,92,200,5,10,50,51,7,"one",90
"Male","Male",70,170,9.5,"Sophomore",0.5,2.4,27,6,1,100,4,9.5,6,53,57,7,"hundreds",20
"Female","Female",68,115,8,"Sophomore",3,3,31,0,1,120,53,9,8,54,60,7,"few",99
"Female","Female",62,106,6.5,"Junior",6.5,3.4,20,0,1,77,5,5.5,6,52,52,8,"few",68
"Female","Female",64,150,9,"Freshman",5,4,27,3,3,70,30,7,25,53,56,7,"few",80
"Female","Female",61,105,7,"Freshman",1,3.6,24,2,2,80,40,7,8,37,41,2,"one",55
"Female","Female",64,129,7.5,"Freshman",1,4,23,4,1,80,10,6,7,56,54,3,"few",60
"Female","Female",65,130,7.5,"Sophomore",1.5,2.3,22,1,1,90,0,8.5,18,38,39,5,"one",100
"Male","Male",72,153,10.5,"Sophomore",1.5,3,21,4,2,100,11,7,20,56,57,5,"one",25
"Female","Female",62,145,7.5,"Sophomore",3,2.8,21,1,1,90,10,7,9,56,55,6,"few",30
"Male","Male",67,129,9.5,"Sophomore",2,3.3,27,1,1,80,200,8,30,53,51,3,"one",40
"Female","Female",69,140,11,"Sophomore",3,2.6,28,0,1,70,150,8,2,52,50,8,"few",80
"Female","Female",67,110,8.5,"Freshman",6,4,31,3,0,75,150,7,14,52,54,7,"few",90
"Male","Male",64,130,8,"Freshman",1.5,3.1,25,1,3,130,0,8,11,53,53,4,"few",100
"Female","Female",60,122,7.5,"Sophomore",5,3.6,25,4,2,105,0,9,15,49,49,7,"few",75
"Female","Female",63,106,7,"Sophomore",4,2.3,28,0,1,0,60,4,12,45,53,3,"one",60
"Female","Female",67,130,8,"Freshman",3.5,4,28,8,3,70,60,8,15,55,57,6,"few",70
"Female","Female",65,130,8.5,"Junior",4,3.6,21,1,0,75,23,7,30,53,54,3,"few",80
"Male","Male",69,130,10,"Sophomore",2,3.2,25,0,2,40,1000,8,6,48,51,3,"few",10
"Female","Female",64,150,8.5,"Freshman",1,3.4,32,0,3,102,150,6,7,52,52,10,"few",87
"Female","Female",65,135,8,"Freshman",2,4,29,3,0,104,30,6.5,20,48,55,4,"one",50
"Female","Female",67,145,8,"Freshman",3.5,4,32,2,1,80,20,6,20,54,55,4,"few",25
"Male","Male",69,120,9.5,"Sophomore",2,2.7,26,0,2,85,40,7,5,48,48,9,"few",70
"Female","Female",64,135,9,"Sophomore",3,3.2,23,2,1,100,35,7,15,55,57,2,"thousands",100
"Female","Female",66,170,11,"Sophomore",4.5,3,24,5,3,100,200,6,10,46,52,9,"one",25
"Female","Female",62,110,6,"Freshman",1.5,3.9,32,1,1,80,30,6,16,50,50,9,"few",20
"Female","Female",64,155,7,"Freshman",4,3.9,24,1,1,65,2,6,10,39,40,7,"one",50
"Female","Female",66,125,6.5,"Sophomore",3.5,3.1,27,4,1,100,14,8.5,12,53,54,4,"one",100
"Female","Female",67,150,9.5,"Freshman",3,3.6,26,2,2,115,30,8,12,50,51,7,"few",97
"Female","Female",60,99,5.5,"Freshman",1.5,3.9,21,1,2,30,12,7,16,59,65,8,"one",80
"Female","Female",64,139,5,"Freshman",3,4,22,4,5,0,20,7.5,8,39,40,8,"dozens",50
"Female","Female",69,132,8.5,"Sophomore",4,3.9,27,2,1,92,40,7,25,51,54,4,"dozens",80
"Female","Female",64,125,8,"Sophomore",2,3.7,23,0,1,100,30,8,50,47,52,7,"one",25
"Female","Female",64,115,6,"Freshman",2,3.4,24,2,1,100,300,7,30,60,58,4,"few",50
"Male","Male",71,149,10.5,"Sophomore",5,3.8,33,1,0,60,50,8,14,45,47,5,"few",33
"Female","Female",63,125,8,"Freshman",4,4,26,2,1,102,25,6,20,48,52,10,"dozens",20
"Female","Female",77,274,9.5,"Sophomore",5,3.8,18,8,8,30,23,6.5,3,39,40,7,"few",40
"Male","Male",66,145,9.5,"Sophomore",3.5,2.6,24,0,3,70,200,8,5,40,46,7,"few",95
"Female","Female",62,152,8,"Sophomore",3,3.6,25,2,1,90,60,7.5,25,48,54,4,"few",50
"Male","Male",70,179,13,"Sophomore",4.5,3.1,27,9,2,98,60,7.5,11,46,48,7,"one",5
"Female","Female",62,190,9,"Sophomore",0.5,3.6,27,7,1,60,20,6,15,57,56,6,"one",25
"Female","Female",65,150,7.5,"Junior",2,3.8,29,1,1,111,0,7,15,45,53,3,"millions",35
"Male","Male",66,198,10,"Freshman",2,3.7,24,5,1,110,200,7.5,13,48,48,3,"dozens",20
"Female","Female",66,145,7.5,"Freshman",1.5,4,24,2,1,30,20,7,5,45,46,6,"few",50
"Male","Male",74,190,12,"Freshman",3,3.7,16,2,4,110,200,5.5,4,59,65,1,"one",50
"Female","Female",59,104,4,"Junior",6,3.5,22,2,3,20,150,7.5,20,43,45,5,"few",100
"Female","Female",65,120,7,"Junior",1,2.9,19,4,2,75,12,7,8,48,51,5,"few",50
"Male","Male",66,172,10,"Junior",2,3.2,21,4,2,80,140,7,6,55,55,2,"one",25
"Female","Female",63,100,7,"Freshman",2.5,3.7,31,0,0,0,120,7.5,7,46,49,6,"few",55
"Female","Female",67,121,8,"Freshman",3,3,33,0,0,63,50,8,5,45,48,3,"few",25
"Male","Male",68,165,8,"Sophomore",2.5,3,27,1,1,0,11,7,3,49,54,6,"few",30
"Female","Female",65,131,8,"Freshman",5,4,25,4,0,82,200,5,20,54,49,3,"few",75
"Female","Female",64,125,6,"Freshman",1,3.5,25,3,4,100,200,10,20,43,48,3,"one",50
"Male","Male",73,159,10.5,"Sophomore",1.5,4,30,1,1,0,20,9,10,45,48,6,"few",20
"Female","Female",64,143,8,"Freshman",4.5,4,27,0,1,0,500,8.5,20,42,41,10,"hundreds",70
"Female","Female",63,135,7,"Sophomore",2.5,3.7,26,3,1,65,30,7,10,54,56,8,"few",85
"Male","Male",72,285,13,"Sophomore",3,2.7,19,0,2,120,0,8,12,50,52,3,"one",79
"Male","Male",71,170,11,"Junior",2,3.1,30,0,1,105,43,7,7,51,57,3,"thousands",80
"Female","Female",62,125,7.5,"Sophomore",5,2.9,21,0,3,40,9,7,22,42,40,4,"few",50
"Female","Female",62,130,7,"Freshman",4,4,29,0,1,80,35,8.5,12,47,50,2,"dozens",15
"Male","Male",71,185,11.5,"Junior",0.5,3.8,27,5,1,97,1,6,10,52,56,5,"thousands",100
"Female","Female",69,170,9.5,"Freshman",1,3.3,22,1,6,0,0,7,7,38,50,5,"few",70
"Female","Female",64,117,7,"Sophomore",3,3.3,22,2,5,85,2,7,10,51,49,5,"dozens",75
"Male","Male",72,160,11,"Junior",3,3.3,28,6,1,100,80,7,4,55,62,6,"one",10
"Male","Male",71,120,10,"Junior",2.5,2.9,27,5,2,60,20,8,5,52,52,9,"dozens",70
"Female","Female",62,125,7,"Junior",3.5,2.6,22,2,0,85,1,6.5,6,62,61,6,"one",60
"Female","Female",63,117,6.5,"Senior",6,3.3,23,0,4,90,0,7.5,6,50,53,8,"one",50
"Female","Female",67,140,7,"Sophomore",2,3.9,23,1,3,55,0,7,15,53,56,8,"one",100
"Female","Female",60,125,7,"Junior",1,2.7,28,7,7,90,48,8,7,41,43,5,"one",90
"Male","Male",68,144,7.5,"Sophomore",2,1.7,23,0,7,90,0,7,5,57,58,7,"one",50
"Female","Female",65,105,8,"Freshman",2.5,3.4,29,1,2,70,72,7.5,20,47,48,7,"dozens",80
"Female","Female",66,120,7.5,"Sophomore",2.5,3.6,27,1,3,85,0,6.5,43,60,60,8,"few",15
"Female","Female",61,115,5.5,"Sophomore",4.5,2.8,22,1,3,30,0,6.5,7,40,38,6,"millions",30
"Female","Female",66,105,6.5,"Sophomore",3,3.8,32,0,1,75,13,8,8,54,56,6,"few",15
"Female","Female",65,130,8,"Freshman",2,4,27,1,6,80,40,7,4,53,54,6,"one",75
"Female","Female",63,143,7,"Junior",5,3.3,22,12,3,120,50,7,9,44,49,9,"none",100
"Female","Female",63,109,6.5,"Freshman",3,4,28,2,0,90,21,6.5,28,52,58,6,"few",100
"Female","Female",63,120,7.5,"Sophomore",3,2.7,23,0,2,25,0,7.5,9,42,37,7,"few",50
"Female","Female",69,175,9.5,"Sophomore",1.5,3.2,29,2,1,101,103,8,12,53,52,9,"one",99
"Female","Female",62,126,6,"Freshman",3.5,4,27,4,3,75,20,5,7,51,52,7,"hundreds",99
"Male","Male",66,132,9.5,"Junior",5,3.5,31,0,1,84,55,6.5,3,55,58,3,"few",53
"Female","Female",57,107,5,"Freshman",3,3.4,23,7,2,0,53,5.5,20,46,47,5,"dozens",95
"Male","Male",75,170,11,"Freshman",3,3.6,29,0,1,120,150,6,5,47,49,7,"one",40
"Female","Female",69,160,12,"Freshman",4,3.7,28,3,1,80,2,7.5,18,54,59,5,"few",90
"Male","Male",71,170,10.5,"Sophomore",2,2.9,23,0,3,155,1000,7.5,7,57,60,5,"few",0
"Male","Male",66,139,9.5,"Sophomore",10,3.3,18,1,2,0,30,8,8,45,60,5,"none",20
"Male","Male",73,155,12,"Sophomore",2,2.9,23,1,1,105,1,8.5,5,49,45,2,"few",60
"Female","Female",67,140,10,"Freshman",10,3.5,31,5,0,85,100,7,7,49,50,7,"thousands",76
"Male","Male",76,165,13,"Sophomore",3,2.5,27,3,3,93,1000,7,16,60,65,7,"hundreds",10
"Female","Female",65,115,7,"Sophomore",4,3.4,24,1,1,102,20,8.5,25,46,45,10,"one",100
"Male","Male",69,140,9,"Junior",0.5,3.3,22,3,1,90,2,6.5,4,65,63,8,"none",0
"Female","Female",60,135,6.5,"Sophomore",3,3,27,2,2,40,20,5,10,48,50,5,"few",0
"Female","Female",72,155,10,"Freshman",4,4,30,1,1,90,100,7,25,48,52,7,"millions",100
"Male","Male",76,170,13,"Sophomore",4,2.7,27,2,5,110,0,7,8,48,49,7,"few",50
"Male","Male",70,141,9.5,"Freshman",2,4,25,4,1,80,100,8,3,52,55,3,"few",25
"Female","Female",64,112,7,"Freshman",2.5,3.9,27,3,1,90,1000,6.5,5,50,54,8,"dozens",50
"Male","Male",73,172,11,"Sophomore",3,3.8,28,2,1,102,5,7.5,7,56,55,7,"one",75
"Male","Male",74,230,12.5,"Sophomore",4,3.4,24,7,1,85,0,7,15,44,43,7,"few",30
"Female","Female",63,129,6,"Senior",3,3.8,28,2,1,120,87,8.5,25,55,59,7,"few",70
"Male","Male",70,158,9.5,"Sophomore",7,3.9,31,0,0,100,5,7.5,18,49,56,4,"hundreds",30
"Female","Female",63,158,8,"Sophomore",3,2.6,21,0,2,90,0,6.5,8,48,50,8,"few",75
"Female","Female",65,125,6.5,"Junior",3,3,27,1,2,70,0,5,10,44,43,8,"one",50
"Male","Male",69,135,9,"Senior",4,3.3,33,0,0,125,10,6.5,4,46,50,5,"few",50
"Female","Female",61,140,6,"Sophomore",2.5,3.8,21,0,1,83,40,7,50,51,51,3,"one",20
"Female","Female",66,155,10,"Freshman",1.5,4,25,0,2,100,57,7.5,26,53,53,4,"few",75
"Female","Female",65,140,7.5,"Freshman",3.5,3.8,34,1,1,70,31,6,9,56,59,7,"few",90
"Female","Female",63,109,7,"Sophomore",3,2.8,26,5,0,95,0,6.5,12,53,55,7,"few",50
"Female","Female",61,119,6,"Sophomore",2,2.8,25,2,2,0,15,6.5,4,46,44,3,"few",90
"Female","Female",59,120,6,"Sophomore",1,2.7,25,4,6,45,1,7,7,41,46,7,"few",90
"Male","Male",70,165,10,"Sophomore",2.5,3.4,24,2,1,85,24,8.5,7,55,58,7,"one",20
"Female","Female",68,188,8.5,"Graduate",1.5,3.7,24,2,1,100,0,7,20,54,55,7,"dozens",10
"Female","Female",72,165,12,"Sophomore",4,3.6,25,0,0,0,35,5.5,8,50,55,9,"few",50
"Female","Female",65,150,8.5,"Junior",2.5,3.6,25,5,4,115,24,5,20,42,44,3,"one",50
"Female","Female",68,140,9.5,"Freshman",3.5,4,26,2,4,107,110,7.5,14,53,57,2,"dozens",53
"Female","Female",58,117,5,"Junior",4.5,3.9,28,6,3,122,20,7.5,10,53,56,7,"few",90
"Female","Female",66,120,9,"Sophomore",5,3.9,25,1,1,70,65,7.5,10,59,59,7,"one",100
"Female","Female",72,135,9.5,"Sophomore",2,3.8,31,2,2,84,6,7,15,54,55,5,"dozens",100
"Female","Female",66,135,8,"Freshman",1.5,4,25,0,2,90,150,8,50,48,49,5,"one",50
"Female","Female",66,150,8,"Sophomore",2,3,25,10,2,95,8,5,5,47,50,9,"dozens",20
"Female","Female",64,125,6,"Freshman",1,4,23,4,3,90,20,7,20,51,52,8,"few",80
"Female","Female",67,145,8,"Sophomore",1,3.6,24,9,2,105,10,6.5,30,46,50,3,"dozens",20
"Male","Male",74,180,13,"Sophomore",1,2.4,22,0,6,100,10,8,8,50,56,4,"one",7
"Male","Male",75,206,14,"Junior",10,3.2,34,21,9,40,23,14,22,56,58,7,"hundreds",22
"Female","Female",66,150,10,"Senior",2,3.8,24,1,2,100,12,7.5,30,49,50,8,"few",60
"Female","Female",65,137,8.5,"Freshman",4,3.8,25,0,3,70,50,8,11,50,48,7,"few",50
"Male","Male",71,260,10.5,"Freshman",3,4,27,1,2,0,200,6,5,41,40,10,"few",0
"Female","Female",64,130,6.5,"Sophomore",3,3.9,30,4,2,108,60,6,12,55,55,3,"hundreds",100
"Female","Female",66,123,8.5,"Sophomore",1,2.9,28,4,0,95,0,7,15,56,65,7,"few",40
"Female","Female",63,120,5.5,"Freshman",2.5,3.7,28,7,1,100,25,7,30,48,54,3,"one",100
"Male","Male",65,130,9,"Freshman",4,4,30,0,0,55,10,9,4,46,46,8,"millions",13
"Female","Female",61,135,6,"Sophomore",0.5,3,25,8,3,110,30,8,13,40,48,9,"few",100
"Female","Female",66,135,8,"Sophomore",4,3.8,28,2,3,90,20,7,20,51,56,5,"few",0
"Female","Female",66,135,7,"Freshman",2,3.3,27,0,3,0,24,9,5,36,38,4,"thousands",15
"Male","Male",72,185,11.5,"Senior",2,3.8,24,2,4,90,34,8,5,48,50,4,"few",100
"Female","Female",63,130,8.5,"Senior",2,2.5,22,0,4,40,0,5,10,40,44,5,"few",10
"Female","Female",61,127,5.5,"Freshman",3,3.8,28,2,2,92,15,6,5,55,57,5,"hundreds",35
"Female","Female",62,150,6.5,"Sophomore",5,2.3,24,1,2,35,63,8,10,39,45,8,"few",100
"Female","Female",66,152,9,"Sophomore",2,3.9,27,5,2,110,70,8,20,43,46,4,"hundreds",99
"Female","Female",71,148,9.5,"Freshman",5,4,32,4,1,80,20,7.5,25,54,53,4,"few",60
"Male","Male",71,148,11.5,"Sophomore",3,2.4,19,3,1,85,25,6.5,4,54,60,7,"thousands",100
"Male","Male",69,190,11,"Junior",3,2.3,30,1,2,80,80,6,10,58,56,9,"hundreds",50
"Male","Male",66,136,8,"Junior",3,2.7,30,2,1,80,65,7,2,50,51,8,"one",20
"Female","Female",65,130,8,"Sophomore",2,3.9,25,0,1,65,26,8.5,8,60,59,6,"millions",100
"Female","Female",61,115,7,"Sophomore",2,3.1,27,1,2,75,0,8,12,59,60,9,"few",50
"Female","Female",63,110,6,"Freshman",2,4,29,3,2,90,15,8,30,50,47,9,"one",80
"Female","Female",65,130,7,"Freshman",3,4,23,0,4,90,30,8.5,15,41,56,7,"few",65
"Male","Male",70,150,10.5,"Freshman",3.5,3.9,21,0,1,110,16,6.5,11,46,47,7,"one",25
"Female","Female",69,133,8.5,"Sophomore",3.5,3.9,24,0,3,90,300,7.5,20,49,49,2,"one",10
"Male","Male",71,130,10.5,"Junior",5,3.3,26,1,1,125,80,7,4,55,60,6,"one",20
"Male","Male",71,210,11,"Sophomore",2,2.9,28,3,3,80,130,8.5,4,41,41,5,"few",50
"Female","Female",66,245,10,"Freshman",1.5,3.4,24,3,2,105,41,7.5,6,43,46,8,"few",50
"Female","Female",60,145,6.5,"Freshman",1.5,3.7,24,4,5,95,0,7,12,52,52,5,"one",30
"Female","Female",65,109,9,"Freshman",2,4,30,5,2,90,20,6.5,22,45,49,7,"few",3
"Male","Male",70,145,11.5,"Sophomore",2,4,28,5,2,100,0,7.5,12,48,51,6,"few",80
"Male","Male",67,180,10,"Junior",2,3.5,32,0,2,120,300,7.5,4,54,58,8,"few",100
"Female","Female",66,265,10,"Junior",3,2.9,24,9,3,100,5,7,10,47,50,3,"one",100
"Female","Female",63,125,9.5,"Freshman",1.5,4,28,6,2,115,0,8.5,20,49,55,9,"hundreds",90
"Male","Male",73,225,13,"Sophomore",3,3.7,30,1,2,100,42,8,6,52,53,8,"one",25
"Female","Female",64,135,7,"Freshman",1,3.5,24,3,1,80,10,7,20,46,47,2,"few",25
"Male","Male",74,169,10.5,"Sophomore",3.5,2.6,23,0,4,60,1000,7,4,50,55,3,"hundreds",100
"Female","Female",60,106,6.5,"Freshman",3,4,30,6,1,80,20,7,10,50,54,1,"dozens",100
"Female","Female",67,150,8.5,"Sophomore",5,3.3,24,1,2,105,400,8,10,50,50,7,"few",60
"Female","Female",63,106,6.5,"Junior",5,3.8,24,0,0,140,10,8,16,48,48,5,"few",50
"Female","Female",64,144,8,"Freshman",2.5,4,28,0,1,100,87,6.5,15,53,54,7,"few",100
"Female","Female",68,180,9.5,"Sophomore",0,3.9,32,4,4,70,23,7,15,58,59,7,"few",50
"Female","Female",61,102,6.5,"Freshman",2.5,4,25,1,1,80,10,6,24,51,53,7,"one",100
"Female","Female",67,140,10.5,"Sophomore",4,3.4,27,1,3,60,3,8,13,49,55,6,"few",100
"Male","Male",71,163,10,"Sophomore",10,2.7,26,5,1,121,22,6.5,11,54,54,2,"thousands",60
"Female","Female",65,155,8,"Sophomore",1.5,3.4,26,1,3,110,40,7.5,35,45,64,8,"few",40
"Male","Male",70,210,10.5,"Sophomore",2,1.9,24,3,4,105,12,7,18,43,46,7,"dozens",75
"Female","Female",65,150,6.5,"Freshman",1,3.7,27,8,2,180,20,5.5,18,52,53,3,"few",40
"Male","Male",76,290,13,"Junior",2,3.1,29,3,2,110,3,7.5,8,47,48,7,"few",50
"Female","Female",64,115,7.5,"Freshman",4,3.5,31,0,2,100,3,6.5,6,48,52,5,"few",50
"Female","Female",62,125,6,"Sophomore",0.5,4,26,2,4,85,30,6.5,20,52,53,7,"few",25
"Male","Male",71,140,10.5,"Freshman",2,4,26,8,5,110,0,5.5,3,42,45,7,"millions",100
"Female","Female",71,172,10,"Freshman",2,3.9,19,3,1,105,0,7.5,20,57,61,1,"few",50
"Female","Female",64,114,6,"Sophomore",3,3.8,27,0,2,75,30,6.5,12,51,53,7,"few",75
"Male","Male",69,135,9.5,"Sophomore",1,3.4,32,1,2,110,45,7,4,49,50,7,"hundreds",0
"Female","Female",66,108,8,"Freshman",3,3.7,30,1,1,85,130,7,16,54,59,8,"few",50
"Female","Female",65,165,10,"Junior",2,3.2,23,5,0,85,100,7,30,51,51,7,"thousands",50
"Female","Female",69,163,9.5,"Freshman",3.5,4,28,7,3,177,120,8.5,30,44,44,7,"dozens",30
"Female","Female",66,160,8,"Junior",0,2.6,18,4,2,90,700,7,14,41,43,7,"few",0
"Male","Male",72,230,11,"Freshman",2,4,27,1,1,75,60,4,4,51,52,3,"dozens",20
"Female","Female",63,118,7.5,"Sophomore",3,3.3,27,4,3,120,0,8.5,20,52,49,2,"few",100
"Female","Female",69,150,11,"Sophomore",4,3,29,2,3,112,75,9,20,48,48,8,"few",60
"Female","Female",60,98,5.5,"Junior",3,3.2,23,6,1,100,0,7.5,10,56,56,2,"few",80
"Male","Male",69,185,11,"Sophomore",6,2.9,23,5,1,103,17,6,10,49,49,4,"one",50
"Male","Male",71,150,12,"Freshman",4,3,23,8,3,175,68,8.5,6,39,43,1,"one",100
"Female","Female",65,130,8.5,"Freshman",3,4,27,1,2,100,100,6,20,49,55,10,"dozens",40
"Female","Female",67,126,7,"Sophomore",2.5,3.5,28,2,1,120,16,8,12,59,62,6,"few",50
"Female","Female",64,140,7.5,"Sophomore",2,3.7,27,2,2,101,35,6,20,54,48,3,"none",75
"Male","Male",71,138,10.5,"Freshman",3,4,29,2,2,72,500,7,3,50,50,6,"few",5
"Female","Female",59,117,4.5,"Sophomore",3,3.1,23,10,3,0,20,7.5,25,48,55,7,"one",50
"Female","Female",60,125,7,"Sophomore",5.5,3.2,21,2,4,50,200,5.5,10,35,40,7,"few",75
"Female","Female",61,104,6.5,"Freshman",2.5,3,21,7,9,90,200,8.5,6,56,65,4,"few",25
"Female","Female",62,118,7,"Sophomore",4,2.9,34,1,3,110,3,6,13,49,50,6,"few",35
"Male","Male",68,155,8,"Sophomore",1,2.9,19,3,2,80,1000,8.5,9,44,46,8,"few",1
"Male","Male",64,155,9,"Sophomore",4,3,26,0,1,75,10,7.5,6,50,53,7,"hundreds",50
"Female","Female",62,160,8,"Freshman",1,4,23,1,1,40,13,7,11,60,62,5,"few",50
"Female","Female",66,147,10,"Sophomore",4,2.5,30,2,0,95,3,8,10,38,44,9,"hundreds",10
"Female","Female",69,142,8.5,"Sophomore",3.5,3.7,29,2,2,110,10,14,14,52,51,5,"thousands",75
"Male","Male",71,140,9.5,"Senior",3.5,3.8,33,0,4,79,85,4,27,46,50,5,"hundreds",0
"Female","Female",68,148,8,"Sophomore",2.5,3.5,25,3,3,88,30,7,20,51,53,8,"dozens",40
"Male","Male",67,170,9.5,"Sophomore",3,2.2,21,0,1,120,0,7,9,39,42,3,"one",20
"Male","Male",71,130,10,"Freshman",2.5,4,20,3,0,80,600,6,14,46,47,10,"one",20
"Female","Female",61,95,6,"Freshman",3,3,30,0,1,95,20,6.5,12,51,53,5,"one",50
"Male","Male",71,153,10.5,"Freshman",2,3.7,27,4,3,110,0,9,9,50,53,10,"thousands",100
"Female","Female",65,118,8,"Freshman",2.5,4,30,2,1,90,25,8,20,52,52,7,"one",15
"Male","Male",73,190,12.5,"Sophomore",2.5,3.3,29,2,2,101,1,7,5,49,52,2,"thousands",50
"Male","Male",67,142,11,"Freshman",2,3.7,27,1,2,100,60,7.5,6,58,62,10,"thousands",25
"Female","Female",66,140,8,"Junior",4,3.7,29,0,1,85,40,8.5,9,53,58,7,"one",55
"Female","Female",62,120,7.5,"Sophomore",3.5,3.7,29,2,2,95,9,7,20,50,55,3,"one",90
"Female","Female",62,97,6,"Freshman",4,1,21,0,1,90,150,8,15,50,47,8,"one",25
"Male","Male",69,165,10.5,"Freshman",2,4,31,2,0,85,100,7,43,60,59,5,"few",20
"Female","Female",63,100,7,"Freshman",2,3.7,29,0,1,85,30,7,15,48,49,7,"one",55
"Male","Male",64,120,8.5,"Sophomore",1.5,3.7,19,0,2,70,30,8,5,42,42,6,"dozens",50
"Male","Male",69,175,11,"Junior",1.5,3.7,23,0,3,120,120,8.5,7,50,57,4,"few",50
"Female","Female",65,130,8,"Freshman",1,4,28,5,1,90,70,8.5,10,46,46,7,"few",75
"Male","Male",72,147,10.5,"Freshman",1.5,4,31,1,5,110,11,8.5,6,53,53,7,"thousands",0
"Female","Female",67,160,9.5,"Sophomore",5,3.7,28,0,0,100,20,7,10,47,50,2,"few",51
"Male","Male",73,170,12,"Junior",2,2.8,23,1,0,120,40,6.5,12,49,50,6,"millions",90
"Female","Female",63,111,7,"Junior",3,3.3,22,3,6,55,2,8,12,57,58,5,"millions",30
"Male","Male",71,174,12,"Sophomore",3,3.9,27,0,1,155,300,7.5,8,40,55,9,"thousands",4
"Female","Female",67,128,7,"Freshman",3,3.7,33,0,1,95,120,7,12,48,49,9,"few",100
"Female","Female",62,123,5.5,"Sophomore",1.5,3.5,23,1,2,80,50,7,30,43,48,3,"thousands",50
"Female","Female",68,138,7.5,"Sophomore",0.5,3.3,30,5,3,110,120,7.5,15,46,47,7,"few",20
"Male","Male",69,200,10,"Junior",2,2.6,28,3,6,109,40,7,10,55,65,9,"thousands",25
"Female","Female",63,125,8.5,"Sophomore",2,3.9,30,4,1,85,30,8.5,20,49,48,4,"few",50
"Female","Female",67,136,7.5,"Freshman",2.5,4,32,0,0,60,0,7.5,5,48,53,7,"dozens",99
"Female","Female",70,150,9,"Freshman",3,1,20,30,12,50,3,7,4,45,46,6,"dozens",100
"Female","Female",61,100,8.5,"Freshman",2,4,21,30,4,120,25,5,25,56,50,7,"dozens",10
"Female","Female",75,180,12,"Freshman",2,3.8,21,3,2,99,2,7,10,50,56,4,"one",50
"Female","Female",65,125,7,"Senior",5,3.5,19,0,1,80,15,6,20,42,47,6,"few",90
"Female","Female",62,128,6,"Freshman",4,4,28,11,1,90,100,7.5,25,51,58,9,"dozens",80
"Female","Female",64,110,7,"Freshman",4,3,26,1,2,65,45,8,12,48,49,7,"one",75
"Female","Female",67,100,7,"Sophomore",3.5,3.3,26,0,1,0,0,8,10,48,47,9,"one",10
"Female","Female",64,102,7,"Freshman",2.5,1,21,0,4,0,15,6.5,10,54,59,7,"hundreds",62
